#,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
1,2025-04-21,"1,078.54",0.45,"1,089.90","1,059.00","1,089.90","4,108","4,418,369.80"
2,2025-04-20,"1,073.71",-0.49,"1,095.00","1,060.00","1,061.00",773,"826,688.20"
3,2025-04-17,"1,079.00",1.03,"1,087.00","1,052.00","1,052.00","3,268","3,509,994.00"
4,2025-04-16,"1,067.98",0.19,"1,087.30","1,060.00","1,087.00",993,"1,063,906.10"
5,2025-04-15,"1,066.00",-0.1,"1,088.30","1,057.10","1,060.00",769,"825,269.30"
6,2025-04-13,"1,067.03",-0.6,"1,094.00","1,055.20","1,080.00","2,684","2,876,218.70"
7,2025-04-10,"1,073.50",1.67,"1,076.10","1,046.60","1,070.00","3,117","3,308,573.20"
8,2025-04-09,"1,055.90",0.49,"1,088.90","1,051.00","1,051.00","1,701","1,800,631.50"
9,2025-04-08,"1,050.76",-0.42,"1,060.00","1,036.00","1,045.00","2,869","2,994,598.00"
10,2025-04-07,"1,055.24",-2.31,"1,101.80","1,053.00","1,101.80","4,073","4,359,772.50"
11,2025-04-03,"1,080.24",-1.56,"1,108.90","1,077.00","1,077.00","2,976","3,222,675.50"
12,2025-04-02,"1,097.34",1.28,"1,117.90","1,083.00","1,104.00","1,613","1,778,506.40"
13,2025-04-01,"1,083.49",-1.95,"1,090.00","1,070.00","1,085.00","3,625","3,922,306.40"
14,2025-03-30,"1,105.00",1.41,"1,125.00","1,068.00","1,089.65","3,473","3,857,831.90"
15,2025-03-27,"1,089.65",3.97,"1,097.60","1,050.00","1,055.00","4,730","5,099,653.20"
16,2025-03-26,"1,048.00",0.83,"1,050.00","1,021.00","1,021.00","2,042","2,131,625.60"
17,2025-03-25,"1,039.38",-1.95,"1,060.00","1,039.00","1,060.00","2,092","2,190,639.50"
18,2025-03-24,"1,060.10",0.97,"1,075.00","1,031.00","1,031.00","2,327","2,473,186.00"
19,2025-03-23,"1,049.94",-4.34,"1,080.00","1,030.00","1,077.30","6,343","6,705,995.70"
20,2025-03-20,"1,097.60",-0.22,"1,115.00","1,095.40","1,101.00","1,301","1,433,960.30"
21,2025-03-19,"1,100.00",-0.9,"1,131.50","1,095.20","1,110.00","3,826","4,215,405.20"
22,2025-03-18,"1,110.00",-0.45,"1,137.30","1,105.10","1,115.00","2,129","2,379,177.10"
23,2025-03-17,"1,115.00",0.9,"1,126.90","1,112.00","1,114.00",925,"1,031,258.80"
24,2025-03-16,"1,105.00",-1.34,"1,142.40","1,098.00","1,142.40","2,385","2,630,421.40"
25,2025-03-12,"1,120.00",1.82,"1,122.00","1,089.00","1,089.00","2,775","3,069,982.50"
26,2025-03-11,"1,100.00",-3.51,"1,136.00","1,099.70","1,121.10","5,643","6,312,584.90"
27,2025-03-10,"1,140.00",-0.78,"1,169.00","1,140.00","1,145.00","2,786","3,191,680.60"
28,2025-03-09,"1,149.00",-2.54,"1,175.00","1,140.00","1,170.00","4,799","5,539,749.70"
29,2025-03-06,"1,179.00",1.64,"1,199.00","1,151.00","1,151.00","4,686","5,509,070.10"
30,2025-03-05,"1,160.00",-0.51,"1,170.00","1,148.00","1,148.00","4,592","5,337,932.60"
31,2025-03-04,"1,166.00",-4.74,"1,224.00","1,160.00","1,224.00","12,012","14,213,518.20"
32,2025-03-03,"1,224.00",-1.12,"1,245.00","1,211.10","1,245.00","7,462","9,138,206.20"
33,2025-03-02,"1,237.90",0.64,"1,243.90","1,224.00","1,230.10","5,035","6,181,929.60"
34,2025-02-27,"1,230.00",-1.2,"1,269.00","1,224.00","1,250.00","6,513","8,123,179.40"
35,2025-02-25,"1,245.00",1.14,"1,250.00","1,222.00","1,239.00","7,403","9,189,053.10"
36,2025-02-24,"1,231.00",-1.91,"1,280.00","1,231.00","1,256.00","14,253","17,910,105.70"
37,2025-02-23,"1,255.00",-1.03,"1,269.00","1,225.00","1,245.00","17,354","21,637,029.00"
38,2025-02-20,"1,268.00",1.04,"1,280.00","1,240.00","1,245.10","13,624","17,218,676.90"
39,2025-02-18,"1,255.00",-0.71,"1,284.90","1,240.00","1,260.00","12,313","15,442,864.70"
40,2025-02-17,"1,264.00",4.2,"1,275.00","1,218.00","1,218.00","24,237","30,378,113.70"
41,2025-02-16,"1,213.00",2.8,"1,216.20","1,176.10","1,203.00","11,747","14,179,298.90"
42,2025-02-13,"1,180.00",-0.67,"1,195.00","1,177.00","1,177.00","4,041","4,796,599.30"
43,2025-02-12,"1,187.90",2.32,"1,193.40","1,170.00","1,179.00","6,375","7,553,199.10"
44,2025-02-11,"1,161.00",0.96,"1,169.00","1,154.00","1,169.00","6,982","8,115,585.30"
45,2025-02-10,"1,150.00",-1.58,"1,170.00","1,140.00","1,170.00","7,484","8,641,596.50"
46,2025-02-09,"1,168.50",-1.07,"1,200.00","1,158.00","1,181.10","6,593","7,739,845.40"
47,2025-02-06,"1,181.10",-0.75,"1,200.00","1,170.00","1,170.00","3,530","4,179,097.10"
48,2025-02-05,"1,190.00",-0.08,"1,195.00","1,160.00","1,175.00","16,045","18,765,566.00"
49,2025-02-04,"1,191.00",-1.2,"1,214.00","1,172.00","1,210.00","11,535","13,706,050.00"
50,2025-02-03,"1,205.50",-0.78,"1,232.00","1,195.00","1,195.00","16,338","19,852,328.00"
51,2025-02-02,"1,215.00",7.05,"1,230.00","1,121.00","1,157.70","28,875","34,366,014.80"
52,2025-01-28,"1,135.00",1.61,"1,162.00","1,117.00","1,139.00","5,850","6,650,994.30"
53,2025-01-27,"1,117.00",-2.45,"1,162.10","1,117.00","1,145.00","21,208","24,026,173.90"
54,2025-01-26,"1,145.00",9.68,"1,147.00","1,057.00","1,058.00","29,999","33,684,946.40"
55,2025-01-23,"1,043.90",0.67,"1,044.00","1,024.00","1,024.00","6,823","7,092,167.60"
56,2025-01-22,"1,037.00",1.18,"1,040.00","1,019.00","1,020.00","5,468","5,655,441.50"
57,2025-01-21,"1,024.90",-0.01,"1,035.00","1,007.20","1,010.00","2,342","2,404,318.40"
58,2025-01-20,"1,025.00",1.69,"1,035.00","1,011.00","1,012.00","3,330","3,402,414.70"
59,2025-01-19,"1,008.00",-0.2,"1,014.00","1,000.00","1,001.00","5,294","5,316,077.00"
60,2025-01-16,"1,010.00",-0.49,"1,020.00","1,002.00","1,002.00","4,321","4,362,542.50"
61,2025-01-15,"1,015.00",-0.61,"1,040.00","1,013.20","1,040.00","2,100","2,145,949.50"
62,2025-01-13,"1,021.20",-0.37,"1,035.00","1,014.30","1,035.00","1,490","1,523,844.30"
63,2025-01-12,"1,025.00",0.29,"1,040.00","1,018.00","1,040.00","2,522","2,583,556.70"
64,2025-01-09,"1,022.00",-1.61,"1,045.00","1,010.00","1,020.00","2,537","2,596,466.10"
65,2025-01-08,"1,038.70",1.04,"1,050.00","1,030.00","1,048.00","3,947","4,109,790.10"
66,2025-01-07,"1,028.00",0.59,"1,028.00","1,012.00","1,023.00","3,935","4,022,175.20"
67,2025-01-06,"1,022.00",-0.2,"1,029.00","1,011.00","1,029.00","4,447","4,536,970.30"
68,2025-01-05,"1,024.00",-0.1,"1,035.00","1,020.10","1,020.10","2,741","2,810,137.10"
69,2025-01-02,"1,025.00",0.1,"1,034.30","1,005.00","1,005.00","1,845","1,891,995.60"
70,2025-01-01,"1,024.00",0.69,"1,039.50","1,001.00","1,001.00","2,066","2,115,436.60"
71,2024-12-31,"1,017.00",-0.49,"1,033.50","1,000.00","1,011.00","3,222","3,275,972.60"
72,2024-12-29,"1,022.00",-0.39,"1,064.80","1,007.00","1,007.00","3,436","3,564,432.30"
73,2024-12-26,"1,026.00",1.09,"1,040.00","1,015.00","1,020.00","2,188","2,252,192.40"
74,2024-12-24,"1,014.90",1.49,"1,014.90",988.00,"1,008.00","4,298","4,337,397.40"
75,2024-12-23,"1,000.00",0,"1,000.00",986.00,"1,000.00","2,203","2,188,906.90"
76,2024-12-22,"1,000.00",-0.99,"1,007.90",991.00,"1,002.00","2,674","2,668,975.50"
77,2024-12-19,"1,010.00",0,"1,048.90","1,000.20","1,030.20","1,209","1,222,623.10"
78,2024-12-18,"1,010.00",1,"1,040.00","1,000.00","1,000.00","3,861","3,949,763.20"
79,2024-12-17,"1,000.00",-0.2,"1,009.90",991.00,991.00,"1,370","1,371,824.30"
80,2024-12-16,"1,002.00",-2.72,"1,017.00","1,000.00","1,010.00","1,965","1,972,331.00"
81,2024-12-12,"1,030.00",-3.47,"1,068.50","1,025.00","1,045.70","6,640","6,934,867.20"
82,2024-12-11,"1,067.00",0.57,"1,070.00","1,060.00","1,060.00","1,908","2,031,876.50"
83,2024-12-10,"1,061.00",-1.02,"1,085.00","1,060.10","1,072.00","2,206","2,362,859.90"
84,2024-12-09,"1,071.90",0.18,"1,080.10","1,050.10","1,070.00","2,220","2,375,951.20"
85,2024-12-08,"1,070.00",-3,"1,129.00","1,070.00","1,085.00","3,583","3,941,026.60"
86,2024-12-05,"1,103.10",-1.86,"1,138.90","1,101.20","1,115.00","2,414","2,693,703.50"
87,2024-12-04,"1,124.00",-0.44,"1,140.00","1,116.00","1,117.10","2,587","2,918,602.30"
88,2024-12-03,"1,129.00",-0.09,"1,139.00","1,115.00","1,139.00","2,438","2,728,535.30"
89,2024-12-02,"1,130.00",0.44,"1,148.00","1,123.10","1,124.00","8,250","9,385,329.00"
