#,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
1,2025-04-21,287.56,-1.15,293.00,287.00,293.00,"23,794","6,867,513.30"
2,2025-04-20,290.92,-0.36,297.00,288.20,296.00,"37,196","10,809,294.50"
3,2025-04-17,291.96,0.69,295.00,289.50,295.00,"26,221","7,651,074.80"
4,2025-04-16,289.97,0.53,294.00,289.00,294.00,"23,865","6,952,798.40"
5,2025-04-15,288.45,0.09,292.90,286.20,292.00,"21,484","6,236,362.30"
6,2025-04-13,288.18,0.11,290.00,285.00,290.00,"24,409","7,024,076.90"
7,2025-04-10,287.85,-0.87,293.00,287.10,291.00,"19,731","5,687,713.30"
8,2025-04-09,290.37,-0.25,300.00,289.90,296.90,"23,950","6,979,137.60"
9,2025-04-08,291.09,-0.22,293.00,285.00,290.00,"33,174","9,530,833.20"
10,2025-04-07,291.72,-2.48,305.00,291.10,305.00,"20,209","5,920,361.00"
11,2025-04-03,299.13,1.32,303.90,295.00,295.00,"79,398","23,849,007.60"
12,2025-04-02,295.23,2.16,313.00,285.20,288.00,"41,118","11,995,502.90"
13,2025-04-01,288.99,0.59,290.00,285.00,290.00,"16,186","4,653,391.80"
14,2025-03-30,287.30,0.67,290.00,285.00,285.00,"28,128","8,102,372.40"
15,2025-03-27,285.38,1.14,287.80,283.70,287.80,"21,529","6,129,493.50"
16,2025-03-26,282.17,0.57,283.00,278.50,280.00,"18,208","5,119,018.80"
17,2025-03-25,280.58,-1.85,290.00,280.00,289.50,"33,659","9,487,318.20"
18,2025-03-24,285.87,1.24,287.90,280.00,282.90,"15,084","4,279,533.90"
19,2025-03-23,282.36,-1.16,290.00,282.00,290.00,"55,957","15,852,138.40"
20,2025-03-20,285.66,-0.15,288.00,283.00,284.00,"16,174","4,618,907.00"
21,2025-03-19,286.10,-1.21,291.00,286.00,291.00,"21,954","6,317,880.10"
22,2025-03-18,289.60,-0.14,295.80,289.00,295.80,"19,349","5,621,101.90"
23,2025-03-17,290.00,0,291.80,289.00,290.00,"20,075","5,822,417.90"
24,2025-03-16,290.00,-1.02,293.00,289.00,293.00,"35,376","10,276,644.40"
25,2025-03-12,293.00,0.34,294.90,289.10,289.10,"24,116","7,025,526.50"
26,2025-03-11,292.00,-0.75,299.80,291.00,299.80,"26,267","7,709,102.50"
27,2025-03-10,294.20,-0.94,300.00,294.20,297.00,"30,724","9,095,409.50"
28,2025-03-09,297.00,-1.33,305.00,296.00,300.00,"24,088","7,173,557.20"
29,2025-03-06,301.00,-0.17,305.00,300.20,301.50,"29,555","8,910,185.30"
30,2025-03-05,301.50,-0.92,306.00,300.20,301.10,"55,112","16,722,408.40"
31,2025-03-04,304.30,-1.52,310.90,302.90,302.90,"74,386","22,817,879.80"
32,2025-03-03,309.00,0,315.00,306.50,314.00,"77,760","24,204,318.00"
33,2025-03-02,309.00,1.98,311.00,300.00,305.00,"140,917","43,384,695.30"
34,2025-02-27,303.00,3.38,310.00,297.00,298.90,"72,598","21,975,153.20"
35,2025-02-25,293.10,-0.27,297.80,292.00,295.50,"36,537","10,756,621.50"
36,2025-02-24,293.90,-0.03,299.00,292.00,292.00,"31,364","9,243,592.20"
37,2025-02-23,294.00,-0.68,299.00,285.00,290.10,"54,840","16,102,961.80"
38,2025-02-20,296.00,-1.33,300.00,295.00,300.00,"41,190","12,208,324.30"
39,2025-02-18,300.00,1.69,301.90,296.00,298.00,"61,491","18,437,745.50"
40,2025-02-17,295.00,1.24,300.90,289.50,292.00,"70,893","20,876,768.90"
