#,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
1,2025-04-21,736.69,0.33,748.00,730.00,735.00,"22,984","17,037,883.20"
2,2025-04-20,734.25,1.88,738.00,715.00,720.00,"4,587","3,324,027.70"
3,2025-04-17,720.68,0.46,730.00,714.30,714.30,"4,387","3,178,358.50"
4,2025-04-16,717.36,-0.59,721.60,715.00,719.10,"1,901","1,364,558.30"
5,2025-04-15,721.62,0.74,730.00,715.00,717.00,"3,200","2,315,726.50"
6,2025-04-13,716.35,-0.79,725.00,711.10,715.00,"1,976","1,414,997.30"
7,2025-04-10,722.07,-1.56,747.50,719.80,719.80,"1,883","1,361,762.00"
8,2025-04-09,733.51,0.6,740.00,727.00,734.00,"1,273","930,753.50"
9,2025-04-08,729.12,1.19,749.00,710.00,710.00,"2,081","1,507,180.00"
10,2025-04-07,720.54,-1.67,730.00,717.00,720.00,"1,910","1,375,569.50"
11,2025-04-03,732.79,-1.58,746.60,729.80,732.00,"6,713","4,928,670.50"
12,2025-04-02,744.59,-0.11,750.00,730.70,750.00,"2,654","1,968,660.00"
13,2025-04-01,745.38,0.99,751.70,720.00,740.00,"10,230","7,568,731.60"
14,2025-03-30,738.10,1,746.00,730.10,745.00,"4,301","3,179,954.70"
15,2025-03-27,730.82,0.96,753.00,712.30,715.00,"3,842","2,804,255.80"
16,2025-03-26,723.84,0.54,734.00,706.20,734.00,"3,571","2,585,781.40"
17,2025-03-25,719.98,-3.42,734.00,710.00,734.00,"4,507","3,250,494.60"
18,2025-03-24,745.47,2.72,748.00,713.00,715.00,"6,888","5,083,132.10"
19,2025-03-23,725.70,-3.35,765.80,719.40,765.80,"7,323","5,357,753.40"
20,2025-03-20,750.83,5.6,757.00,707.10,708.00,"14,801","10,971,028.00"
21,2025-03-19,711.00,0.55,719.00,706.10,719.00,"5,916","4,201,307.20"
22,2025-03-18,707.10,0.3,719.00,692.00,692.00,"6,479","4,576,689.80"
23,2025-03-17,705.00,1,710.00,690.40,690.40,"3,846","2,701,120.80"
24,2025-03-16,698.00,-3.46,725.00,681.10,715.00,"3,455","2,429,321.00"
25,2025-03-12,723.00,-1.5,745.00,716.00,745.00,"4,350","3,136,560.50"
26,2025-03-11,734.00,-1.34,755.00,705.60,755.00,"10,469","7,587,317.30"
27,2025-03-10,744.00,-1.46,768.60,735.00,742.00,"8,226","6,151,020.30"
28,2025-03-09,755.00,-1.18,784.80,746.00,770.00,"3,256","2,455,475.00"
29,2025-03-06,764.00,0.66,770.00,752.00,760.00,"8,598","6,539,330.60"
30,2025-03-05,759.00,-0.05,772.00,745.00,760.00,"8,596","6,461,656.00"
31,2025-03-04,759.40,-1.38,783.00,749.00,770.00,"11,746","8,891,198.10"
32,2025-03-03,770.00,-1.91,785.00,744.80,775.10,"27,785","21,218,221.40"
33,2025-03-02,785.00,-2.36,806.00,774.30,805.00,"19,067","14,907,304.80"
34,2025-02-27,804.00,-2.43,839.90,791.00,810.20,"18,665","15,059,582.20"
35,2025-02-25,824.00,-0.48,835.00,815.90,828.00,"4,771","3,914,919.00"
36,2025-02-24,828.00,1.22,831.00,805.10,815.00,"5,750","4,699,257.40"
37,2025-02-23,818.00,-2.15,829.00,815.00,819.30,"6,217","5,094,951.50"
38,2025-02-20,836.00,0.6,836.00,819.90,820.00,"13,336","11,018,454.50"
39,2025-02-18,831.00,-2.12,865.90,827.00,860.00,"15,236","12,819,224.30"
40,2025-02-17,849.00,2.91,891.00,811.00,811.00,"17,591","15,040,882.00"
41,2025-02-16,825.00,-1.79,845.00,825.00,845.00,"8,812","7,353,082.50"
42,2025-02-13,840.00,0.36,848.00,825.00,845.00,"9,729","8,123,047.70"
43,2025-02-12,837.00,2.83,846.60,814.00,814.00,"15,152","12,652,055.90"
44,2025-02-11,814.00,0.49,842.00,814.00,823.00,"4,425","3,624,685.00"
45,2025-02-10,810.00,-1.76,830.00,800.00,824.00,"10,906","8,852,489.30"
