#,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
1,2025-04-21,275.14,3.18,279.40,263.10,265.00,"398,558","109,603,145.50"
2,2025-04-20,266.65,-0.77,271.00,263.00,268.70,"230,590","61,338,936.70"
3,2025-04-17,268.73,1.56,273.90,267.00,267.00,"221,529","60,070,029.80"
4,2025-04-16,264.61,2.05,266.00,257.00,261.00,"222,355","58,452,847.00"
5,2025-04-15,259.29,3.82,263.00,246.00,246.00,"220,624","57,089,145.70"
6,2025-04-13,249.74,-1.21,252.90,249.00,252.00,"60,926","15,239,636.70"
7,2025-04-10,252.79,0.68,255.90,250.10,254.00,"78,680","19,896,591.20"
8,2025-04-09,251.09,-0.17,253.80,250.00,253.80,"55,569","13,963,467.20"
9,2025-04-08,251.51,0.18,253.00,246.00,249.00,"99,352","24,670,593.30"
10,2025-04-07,251.07,-0.55,256.00,249.00,254.90,"66,360","16,692,503.80"
11,2025-04-03,252.47,-0.51,257.00,252.00,255.00,"65,616","16,670,659.60"
12,2025-04-02,253.76,0.5,255.00,250.20,250.30,"53,959","13,652,103.90"
13,2025-04-01,252.49,-2.15,263.00,250.00,259.90,"90,519","22,930,195.10"
14,2025-03-30,258.05,1.39,263.10,254.00,255.00,"119,067","30,896,874.70"
15,2025-03-27,254.52,1.27,256.30,248.50,252.00,"131,598","33,338,504.30"
16,2025-03-26,251.32,2.51,253.00,245.00,245.00,"118,818","29,619,890.40"
17,2025-03-25,245.16,-2.8,255.00,242.50,250.00,"126,409","31,097,022.60"
18,2025-03-24,252.23,1.89,255.00,244.20,246.00,"70,111","17,580,536.40"
19,2025-03-23,247.55,-2.84,254.00,247.00,252.10,"119,154","29,721,087.90"
20,2025-03-20,254.78,-1.21,259.70,254.00,256.00,"89,069","22,753,465.50"
21,2025-03-19,257.90,-0.85,261.00,256.10,261.00,"64,694","16,686,599.80"
22,2025-03-18,260.10,0.12,263.40,259.00,262.90,"94,210","24,597,649.00"
23,2025-03-17,259.80,0.23,264.00,257.00,259.20,"101,535","26,448,447.90"
24,2025-03-16,259.20,-1.07,265.00,258.30,265.00,"152,874","39,904,121.10"
25,2025-03-12,262.00,0.38,265.70,257.10,260.00,"110,550","29,032,204.40"
26,2025-03-11,261.00,-0.76,266.20,257.30,260.00,"200,500","52,231,831.00"
27,2025-03-10,263.00,-1.5,272.10,261.50,268.00,"210,740","56,044,718.80"
28,2025-03-09,267.00,-2.91,275.00,266.00,274.00,"211,543","56,987,549.30"
29,2025-03-06,275.00,0,278.00,271.00,278.00,"235,327","64,448,105.60"
30,2025-03-05,275.00,-0.36,280.00,270.50,276.00,"326,610","89,984,645.30"
31,2025-03-04,276.00,-1.67,286.30,276.00,280.00,"265,554","74,608,843.30"
32,2025-03-03,280.70,-2.53,293.50,280.00,290.00,"368,757","105,582,097.70"
33,2025-03-02,288.00,7.42,288.00,271.40,271.40,"606,472","171,825,900.50"
34,2025-02-27,268.10,3.12,271.00,259.10,265.00,"215,994","57,407,866.60"
35,2025-02-25,260.00,0.58,262.00,257.20,261.00,"109,410","28,392,947.20"
36,2025-02-24,258.50,0.47,262.10,257.50,261.00,"174,704","45,351,944.30"
37,2025-02-23,257.30,-1.04,262.00,255.00,258.00,"148,265","38,287,754.10"
38,2025-02-20,260.00,-1.14,264.00,259.00,262.00,"151,874","39,559,785.90"
39,2025-02-18,263.00,-0.75,269.90,263.00,269.00,"123,833","32,823,552.30"
40,2025-02-17,265.00,0,269.70,264.50,265.00,"100,119","26,646,306.20"
41,2025-02-16,265.00,0.45,267.70,261.10,263.80,"158,228","41,713,947.50"
42,2025-02-13,263.80,0.3,267.20,262.00,262.00,"95,330","25,121,958.50"
43,2025-02-12,263.00,-0.11,268.50,260.00,263.00,"155,015","40,947,995.05"
44,2025-02-11,263.30,0.3,268.20,262.00,262.50,"98,743","26,073,419.10"
45,2025-02-10,262.50,-1.98,272.00,262.00,269.00,"107,734","28,516,038.60"
46,2025-02-09,267.80,1.63,279.00,267.80,268.70,"476,777","129,911,645.00"
47,2025-02-06,263.50,-1.68,272.90,263.00,270.00,"156,758","42,046,004.00"
48,2025-02-05,268.00,-0.37,273.80,264.20,264.20,"130,222","34,979,980.40"
49,2025-02-04,269.00,-0.19,273.50,265.00,270.10,"126,015","33,675,927.30"
50,2025-02-03,269.50,-0.92,277.40,267.00,275.00,"202,765","55,036,421.29"
51,2025-02-02,272.00,1.68,279.00,270.00,270.00,"283,822","77,459,965.10"
52,2025-01-28,267.50,0.94,268.80,263.50,266.00,"147,834","39,315,721.90"
53,2025-01-27,265.00,0.19,268.40,262.00,267.90,"208,013","55,087,390.20"
54,2025-01-26,264.50,0.95,268.00,260.00,260.10,"236,445","62,707,464.40"
55,2025-01-23,262.00,1.43,267.20,258.00,262.90,"266,479","70,170,438.60"
56,2025-01-22,258.30,2.5,261.90,249.90,250.00,"131,570","33,924,210.60"
57,2025-01-21,252.00,0.4,254.50,248.70,253.90,"86,909","21,883,392.20"
58,2025-01-20,251.00,0.64,254.90,244.50,244.50,"90,796","22,892,728.80"
59,2025-01-19,249.40,0.97,250.50,245.00,246.00,"81,834","20,348,891.90"
60,2025-01-16,247.00,-0.6,252.00,245.00,249.00,"84,018","20,738,014.20"
61,2025-01-15,248.50,-0.12,257.40,247.30,252.00,"71,057","17,782,014.30"
62,2025-01-13,248.80,-0.88,252.00,248.20,249.00,"117,404","29,293,318.00"
63,2025-01-12,251.00,-2.33,262.10,250.00,262.10,"60,972","15,418,938.30"
64,2025-01-09,257.00,-1.08,265.00,255.00,260.00,"115,696","29,826,911.40"
65,2025-01-08,259.80,-0.54,266.40,257.00,266.40,"87,464","22,698,276.10"
66,2025-01-07,261.20,1.24,266.00,257.00,258.00,"141,640","37,042,663.50"
67,2025-01-06,258.00,4.5,259.00,247.00,249.50,"145,839","37,240,556.40"
68,2025-01-05,246.90,1.02,251.90,242.00,244.00,"94,495","23,362,628.90"
69,2025-01-02,244.40,-0.24,248.00,242.00,245.00,"86,579","21,224,720.60"
70,2025-01-01,245.00,0.66,248.20,240.10,248.20,"80,873","19,702,322.30"
71,2024-12-31,243.40,-2.25,253.90,239.30,253.90,"119,818","29,094,409.70"
72,2024-12-29,249.00,-1.85,256.50,246.20,256.50,"65,122","16,244,266.10"
73,2024-12-26,253.70,0.08,258.50,249.80,258.50,"70,764","17,914,103.10"
74,2024-12-24,253.50,2.3,260.00,242.90,242.90,"192,979","49,309,885.70"
75,2024-12-23,247.80,2.44,247.80,241.00,244.50,"82,486","20,196,567.60"
76,2024-12-22,241.90,-1.63,250.30,241.00,246.10,"78,953","19,247,498.80"
77,2024-12-19,245.90,-2.38,254.50,245.00,251.90,"146,950","36,286,432.10"
78,2024-12-18,251.90,-0.83,259.00,250.90,256.00,"73,501","18,692,216.60"
79,2024-12-17,254.00,-0.39,260.10,250.50,260.10,"98,398","25,085,227.10"
80,2024-12-16,255.00,-3.81,270.00,253.50,270.00,"193,762","49,872,843.70"
81,2024-12-12,265.10,-2.18,272.30,265.10,270.00,"73,171","19,600,127.30"
82,2024-12-11,271.00,1.88,271.00,265.00,269.00,"100,057","26,773,356.20"
83,2024-12-10,266.00,-0.37,271.00,264.10,271.00,"105,469","28,105,493.20"
84,2024-12-09,267.00,0.07,272.10,265.00,271.00,"111,205","29,795,062.10"
85,2024-12-08,266.80,-1.55,281.90,265.10,276.40,"143,664","38,680,280.50"
86,2024-12-05,271.00,-1.53,280.00,269.70,269.70,"194,304","52,876,743.40"
87,2024-12-04,275.20,-1.18,284.00,275.00,284.00,"203,976","56,954,895.00"
88,2024-12-03,278.50,-0.46,285.30,278.50,285.30,"132,566","37,234,080.10"
89,2024-12-02,279.80,0.65,286.00,276.60,278.00,"176,139","49,647,577.30"
90,2024-12-01,278.00,-2.11,282.00,276.00,278.40,"164,975","45,940,906.70"
91,2024-11-28,284.00,-2.07,299.80,282.00,284.20,"203,840","58,521,282.60"
92,2024-11-27,290.00,1.75,290.50,279.30,279.30,"229,119","66,021,888.10"
93,2024-11-26,285.00,1.42,286.60,281.00,281.00,"157,408","44,660,340.80"
94,2024-11-25,281.00,1.63,283.00,275.00,282.00,"125,195","34,853,457.90"
95,2024-11-24,276.50,0.18,280.50,273.00,273.00,"139,004","38,525,965.30"
96,2024-11-21,276.00,-1.43,283.90,275.00,283.90,"150,893","41,869,785.52"
97,2024-11-20,280.00,-1.55,286.80,279.10,286.00,"215,912","60,887,890.50"
98,2024-11-19,284.40,-2.6,293.00,283.00,292.10,"232,118","66,463,113.70"
99,2024-11-17,292.00,1.39,299.00,291.00,293.70,"263,006","77,400,729.90"
100,2024-11-14,288.00,-0.38,294.70,287.00,293.00,"286,545","83,169,203.00"
101,2024-11-13,289.10,-1.67,299.80,289.00,299.80,"215,377","62,791,449.10"
102,2024-11-12,294.00,-1.67,303.90,293.00,300.00,"281,631","84,147,941.10"
103,2024-11-11,299.00,2.93,308.20,291.00,296.30,"831,249","251,069,025.50"
104,2024-11-10,290.50,5.98,290.70,274.00,278.00,"374,697","106,891,433.70"
105,2024-11-06,274.10,-1.01,279.00,272.60,279.00,"81,329","22,459,998.60"
106,2024-11-05,276.90,0.69,280.40,274.00,279.00,"65,581","18,169,102.20"
107,2024-10-30,275.00,-1.75,284.00,273.20,284.00,"118,251","32,686,589.70"
108,2024-10-29,279.90,1.05,284.00,276.00,282.00,"154,976","43,510,449.30"
109,2024-10-28,277.00,2.4,278.90,270.00,272.00,"177,198","48,857,978.20"
110,2024-10-27,270.50,0.97,272.60,267.00,270.00,"93,161","25,182,052.80"
111,2024-10-24,267.90,0.71,270.00,261.50,261.50,"129,509","34,552,516.30"
112,2024-10-23,266.00,-0.6,273.90,265.00,271.00,"134,991","36,345,658.30"
113,2024-10-22,267.60,0.94,273.00,262.00,268.00,"153,456","41,059,856.50"
114,2024-10-21,265.10,-2.48,277.00,263.40,275.00,"174,016","46,706,572.00"
115,2024-10-20,280.00,-3.11,290.00,277.70,283.30,"329,319","93,250,747.65"
116,2024-10-17,289.00,0,297.70,287.00,292.00,"296,227","86,849,246.80"
117,2024-10-16,289.00,4.75,293.00,276.00,276.10,"304,918","87,543,146.90"
118,2024-10-15,275.90,0.33,279.80,272.60,277.90,"78,904","21,706,009.90"
119,2024-10-09,275.00,0.04,277.00,268.60,275.00,"85,336","23,254,610.60"
121,2024-10-08,274.90,-1.12,281.90,273.00,281.00,"147,580","40,705,320.50"
122,2024-10-07,278.00,0.72,288.60,275.00,280.00,"334,919","94,694,734.10"
123,2024-10-06,276.00,2.22,279.00,260.00,270.00,"238,694","64,932,439.70"
124,2024-10-02,270.00,-4.05,286.00,269.70,281.00,"350,202","96,757,817.10"
125,2024-10-01,281.40,8.65,281.40,260.00,261.10,"493,575","133,389,765.30"
126,2024-09-30,259.00,3.6,260.10,249.00,255.00,"154,186","39,353,712.50"
127,2024-09-29,250.00,-1.96,256.00,245.10,255.00,"181,042","45,319,370.30"
128,2024-09-26,255.00,-3.77,272.00,255.00,265.00,"276,865","72,794,508.50"
129,2024-09-25,265.00,5.08,265.90,250.20,252.00,"522,393","135,473,775.00"
130,2024-09-24,252.20,-4.43,267.00,251.80,264.00,"437,163","112,772,876.70"
131,2024-09-23,263.90,-3.69,274.00,262.00,270.50,"246,207","65,571,016.20"
132,2024-09-22,274.00,1.11,286.00,271.60,276.40,"351,140","97,381,751.30"
133,2024-09-18,271.00,-0.04,280.50,266.30,270.00,"285,441","77,936,700.40"
134,2024-09-16,271.10,-2.83,285.00,270.00,279.00,"392,145","107,332,175.70"
135,2024-09-15,279.00,-3.46,299.90,276.50,292.70,"665,919","192,762,802.20"
136,2024-09-12,289.00,7,294.00,269.50,270.00,"473,672","132,128,772.20"
137,2024-09-11,270.10,-3.57,285.90,268.30,285.70,"440,568","122,145,821.40"
138,2024-09-10,280.10,-1.02,292.30,280.00,286.50,"439,510","125,298,204.70"
139,2024-09-09,283.00,-2.75,293.00,281.40,290.00,"511,730","145,873,799.70"
140,2024-09-08,291.00,-3,306.00,291.00,303.90,"357,130","106,552,346.60"
141,2024-09-05,300.00,-1.96,308.00,296.90,308.00,"574,858","173,123,745.80"
142,2024-09-04,306.00,-3.47,319.00,303.00,317.00,"569,407","175,476,058.60"
143,2024-09-03,317.00,-1.74,330.00,315.00,325.10,"718,263","230,413,466.40"
144,2024-09-02,322.60,6.47,323.00,302.00,303.00,"772,483","243,256,600.30"
145,2024-09-01,303.00,-1.3,317.00,300.30,312.70,"716,512","219,072,301.00"
146,2024-08-29,307.00,-0.32,318.00,301.00,314.00,"738,073","228,053,290.90"
147,2024-08-28,308.00,0.65,324.00,300.00,308.00,"1,021,835","322,058,767.20"
148,2024-08-27,306.00,-6.42,333.50,301.00,333.50,"1,453,153","456,352,046.40"
149,2024-08-25,327.00,-3.82,349.00,325.00,346.80,"1,112,492","371,688,767.20"
150,2024-08-22,340.00,5.52,345.00,324.20,327.00,"1,410,886","474,708,884.50"
151,2024-08-21,322.20,1,336.00,318.00,319.00,"904,089","292,373,106.10"
152,2024-08-18,319.00,-4.49,336.10,316.00,335.00,"1,504,650","488,819,856.00"
153,2024-08-15,334.00,7.05,340.50,317.60,318.20,"1,448,716","482,083,982.80"
154,2024-08-14,312.00,5.76,317.00,286.00,298.00,"1,347,043","402,093,869.60"
155,2024-08-13,295.00,-2.58,305.00,286.00,302.80,"1,415,664","420,012,598.50"
156,2024-08-12,302.80,9.04,305.40,281.30,283.20,"1,404,188","412,855,574.80"
157,2024-08-11,277.70,9.98,277.70,255.00,257.50,"1,392,573","375,484,936.10"
158,2024-08-08,252.50,5.21,258.40,242.00,244.80,"1,385,366","349,502,113.70"
159,2024-08-07,240.00,6.67,243.00,221.10,229.00,"941,058","219,297,696.40"
160,2024-08-06,225.00,-4.17,243.90,222.00,236.00,"969,491","225,148,354.60"
161,2024-08-05,234.80,2.09,243.00,223.00,234.60,"721,783","167,645,288.30"
162,2024-08-01,230.00,-1.67,237.90,228.00,236.00,"771,075","179,463,952.60"
163,2024-07-31,233.90,6.32,238.90,223.00,223.00,"1,285,670","296,333,231.20"
164,2024-07-30,220.00,1.62,222.90,212.00,219.00,"660,235","144,607,994.70"
165,2024-07-29,216.50,-0.18,225.00,214.00,219.00,"730,545","160,961,090.60"
166,2024-07-28,216.90,2.07,226.00,212.00,216.70,"571,248","123,227,927.80"
167,2024-07-25,212.50,-1.44,218.00,210.00,215.60,"643,350","137,156,788.00"
168,2024-07-24,215.60,-2.58,226.00,214.70,225.70,"854,267","186,931,438.10"
169,2024-07-23,221.30,4.39,221.90,212.00,212.00,"701,968","153,890,247.50"
170,2024-07-22,212.00,5.37,215.00,199.00,204.00,"1,154,042","238,539,149.20"
171,2024-07-21,201.20,0.1,205.00,197.00,201.00,"645,405","129,571,419.00"
172,2024-07-18,201.00,-0.99,207.00,198.50,207.00,"687,648","139,779,904.00"
173,2024-07-17,203.00,3.78,208.00,195.60,199.50,"962,887","194,444,136.40"
174,2024-07-16,195.60,9.95,195.60,178.80,181.40,"881,530","167,588,622.50"
175,2024-07-15,177.90,2.3,185.00,175.00,177.00,"703,434","126,970,291.40"
176,2024-07-14,173.90,9.37,174.00,162.10,162.10,"526,265","88,820,207.90"
177,2024-07-11,159.00,1.92,159.00,156.50,158.30,"150,827","23,818,287.10"
178,2024-07-10,156.00,0.78,157.00,154.00,154.00,"109,046","16,990,882.60"
179,2024-07-09,154.80,-0.13,157.20,153.10,157.20,"95,155","14,685,397.70"
180,2024-07-08,155.00,-0.64,159.00,154.00,159.00,"124,685","19,374,906.00"
181,2024-07-07,156.00,0.65,157.90,153.50,156.50,"178,352","27,659,678.60"
182,2024-07-04,155.00,0.65,157.00,153.00,155.50,"150,705","23,336,463.90"
183,2024-07-03,154.00,-0.71,157.10,151.00,157.10,"91,974","14,069,656.20"
184,2024-07-02,155.10,3.4,164.00,153.00,153.00,"151,276","23,529,021.80"
185,2024-07-01,150.00,0.6,152.00,149.00,152.00,"114,384","17,153,139.40"
186,2024-06-30,149.10,-1.26,152.00,149.00,152.00,"140,140","20,998,931.50"
187,2024-06-27,151.00,-0.66,152.00,150.80,152.00,"102,231","15,461,351.70"
188,2024-06-26,152.00,-1.94,157.00,151.40,157.00,"110,592","16,849,865.30"
189,2024-06-25,155.00,1.17,156.00,153.00,156.00,"112,700","17,315,045.90"
190,2024-06-24,153.20,-0.07,156.00,151.10,153.00,"100,452","15,427,293.20"
191,2024-06-23,153.30,-1.03,155.80,153.00,155.00,"119,668","18,411,658.40"
192,2024-06-20,154.90,-0.71,157.00,154.10,157.00,"77,673","12,046,327.40"
193,2024-06-19,156.00,0,157.50,155.30,155.30,"77,091","12,022,850.40"
194,2024-06-18,156.00,-1.2,161.00,156.00,161.00,"118,322","18,658,637.20"
195,2024-06-16,157.90,1.02,161.50,155.70,156.00,"245,032","38,915,624.30"
196,2024-06-13,156.30,-1.57,159.90,155.80,159.00,"119,455","18,800,510.00"
197,2024-06-12,158.80,-0.31,162.40,157.00,161.30,"119,655","19,016,109.30"
198,2024-06-11,159.30,2.77,163.00,156.40,158.10,"213,532","34,249,635.20"
199,2024-06-10,155.00,2.31,157.90,152.00,154.50,"239,741","37,173,453.30"
200,2024-06-09,151.50,-1.43,156.00,151.30,155.00,"122,009","18,605,456.40"
201,2024-06-06,153.70,-0.58,157.60,153.40,157.60,"107,690","16,619,084.10"
202,2024-06-05,154.60,-0.77,157.00,154.10,155.00,"84,985","13,208,484.40"
203,2024-06-04,155.80,-0.13,157.90,155.00,155.00,"92,664","14,438,706.50"
204,2024-06-03,156.00,-0.64,160.10,155.00,159.80,"133,983","20,919,828.40"
205,2024-06-02,157.00,-1.2,160.00,156.40,160.00,"177,319","27,960,202.10"
206,2024-05-30,158.90,-1.49,163.00,158.00,161.30,"172,008","27,470,999.70"
207,2024-05-29,161.30,-0.8,166.00,161.10,165.00,"200,870","32,775,237.30"
208,2024-05-27,162.60,-1.33,167.00,162.10,165.30,"191,749","31,276,705.00"
209,2024-05-26,164.80,0.61,166.00,161.10,166.00,"272,417","44,369,040.00"
210,2024-05-22,163.80,1.74,166.00,161.20,163.00,"323,763","53,071,154.50"
211,2024-05-21,161.00,-1.83,163.00,150.00,161.80,"571,540","91,786,718.70"
212,2024-05-20,164.00,1.17,166.40,162.00,163.00,"74,008","12,207,544.50"
213,2024-05-19,162.10,0.06,164.00,154.00,162.00,"50,807","8,195,061.10"
214,2024-05-16,162.00,-1.82,168.30,161.70,168.30,"16,093","2,626,050.80"
215,2024-05-15,165.00,-0.54,171.00,164.00,165.00,"36,594","6,103,579.00"
216,2024-05-14,165.90,5,167.00,158.00,160.10,"40,183","6,494,293.10"
217,2024-05-13,158.00,1.35,160.00,156.10,158.20,"39,301","6,226,427.30"
218,2024-05-12,155.90,-0.7,160.00,153.90,153.90,"40,482","6,305,438.90"
219,2024-05-09,157.00,-1.69,162.80,156.00,162.80,"49,152","7,746,254.10"
220,2024-05-08,159.70,-0.37,162.50,157.00,162.50,"23,064","3,659,894.75"
221,2024-05-07,160.30,0.19,163.00,160.00,163.00,"20,721","3,335,883.50"
222,2024-05-06,160.00,-1.23,165.00,160.00,165.00,"26,471","4,263,080.10"
223,2024-05-05,162.00,-2.41,168.40,161.70,168.40,"27,925","4,556,506.55"
224,2024-05-02,166.00,0.12,168.20,164.00,168.20,"23,857","3,948,809.30"
225,2024-04-30,165.80,1.72,166.20,161.00,165.40,"54,496","8,950,354.40"
226,2024-04-29,163.00,0,165.40,161.00,165.40,"22,842","3,705,760.80"
227,2024-04-28,163.00,0.62,164.40,162.00,164.40,"24,529","4,004,287.90"
228,2024-04-25,162.00,-0.74,166.00,162.00,163.00,"26,991","4,413,858.90"
229,2024-04-24,163.20,-1.98,168.00,163.20,168.00,"13,608","2,239,124.90"
230,2024-04-22,166.50,0,170.00,163.30,169.00,"32,967","5,469,305.50"
231,2024-04-21,166.50,0.91,168.00,163.70,168.00,"23,012","3,799,470.00"
232,2024-04-18,165.00,-1.79,169.00,163.80,168.00,"35,949","5,940,911.70"
233,2024-04-16,168.00,-0.88,172.80,168.00,172.80,"34,556","5,837,057.80"
234,2024-04-15,169.50,-1.05,174.00,169.50,174.00,"28,757","4,906,183.40"
235,2024-04-14,171.30,-1.55,176.00,171.00,176.00,"32,132","5,521,398.30"
236,2024-04-10,174.00,-1.02,178.40,174.00,178.40,"20,486","3,583,202.90"
237,2024-04-09,175.80,1.68,178.90,175.00,175.00,"35,345","6,240,306.60"
238,2024-04-07,172.90,1.59,173.00,170.00,172.00,"34,890","5,984,246.90"
239,2024-04-04,170.20,-0.47,172.20,170.00,170.10,"27,640","4,715,442.80"
240,2024-04-03,171.00,-0.12,173.00,170.00,170.00,"21,355","3,663,719.40"
241,2024-04-02,171.20,-0.52,174.00,171.10,174.00,"27,007","4,648,146.90"
242,2024-04-01,172.10,-1.66,177.00,172.10,177.00,"40,371","6,994,438.20"
243,2024-03-31,175.00,-1.3,179.80,174.00,179.80,"31,507","5,510,930.20"
244,2024-03-28,177.30,0.57,179.00,174.00,179.00,"24,520","4,324,743.80"
245,2024-03-27,176.30,-0.51,179.40,176.00,178.00,"31,085","5,512,127.60"
246,2024-03-26,177.20,0.51,179.00,175.00,178.00,"54,589","9,678,789.20"
247,2024-03-25,176.30,-1.4,180.00,176.20,180.00,"28,851","5,104,407.10"
248,2024-03-21,178.80,-1.6,184.00,178.70,184.00,"31,260","5,621,023.90"
249,2024-03-20,181.70,0,187.00,181.00,185.30,"29,213","5,340,002.30"
250,2024-03-19,181.70,-1.36,186.90,181.60,186.90,"38,048","6,959,289.60"
251,2024-03-18,184.20,0.66,186.50,181.50,185.00,"36,203","6,643,070.30"
252,2024-03-17,183.00,-2.4,189.90,182.80,187.60,"59,599","11,036,631.60"
253,2024-03-14,187.50,-0.27,191.00,186.00,191.00,"52,652","9,854,815.20"
254,2024-03-13,188.00,-0.79,192.90,186.10,192.90,"71,383","13,461,034.40"
255,2024-03-12,189.50,1.34,193.00,186.00,190.00,"70,728","13,312,598.70"
256,2024-03-10,187.00,0.11,190.50,186.20,190.40,"35,018","6,575,277.20"
257,2024-03-07,186.80,0.54,193.00,186.00,188.00,"40,752","7,664,526.50"
258,2024-03-06,185.80,-2,192.00,181.30,190.00,"77,340","14,488,637.20"
259,2024-03-05,189.60,-2.17,197.00,185.00,197.00,"114,688","21,711,445.90"
260,2024-03-04,193.80,9.99,193.80,179.70,179.70,"14,812","2,838,539.10"
261,2024-03-03,176.20,-2.27,183.00,176.00,181.00,"26,846","4,773,807.80"
262,2024-02-29,180.30,-0.39,183.00,176.50,183.00,"80,249","14,365,219.30"
263,2024-02-28,181.00,-2.16,186.90,181.00,186.90,"37,816","6,904,672.00"
264,2024-02-27,185.00,0,188.70,183.20,188.70,"26,941","4,984,568.60"
265,2024-02-26,185.00,0.54,186.00,180.40,186.00,"32,491","5,972,620.20"
266,2024-02-25,184.00,-3.16,193.00,183.50,193.00,"56,031","10,407,177.10"
267,2024-02-22,190.00,-0.94,194.90,189.20,194.90,"46,620","8,889,320.60"
268,2024-02-21,191.80,0.42,195.00,190.00,194.00,"46,095","8,833,632.90"
269,2024-02-20,191.00,-1.04,195.90,190.00,193.00,"67,790","12,966,139.80"
