#,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
1,2025-04-21,210.74,2.24,216.00,205.60,208.10,"281,361","59,370,471.90"
2,2025-04-20,206.12,-1.79,213.00,205.50,212.00,"139,315","28,945,896.00"
3,2025-04-17,209.87,1.05,211.10,207.00,210.00,"248,800","52,167,384.00"
4,2025-04-16,207.68,2.12,211.00,202.00,204.00,"179,387","36,999,243.70"
5,2025-04-15,203.37,1.77,205.90,201.00,201.20,"109,758","22,378,785.20"
6,2025-04-13,199.83,-0.97,203.80,199.00,203.00,"76,878","15,414,719.00"
7,2025-04-10,201.78,-0.03,204.00,200.00,201.00,"85,211","17,162,164.20"
8,2025-04-09,201.84,-0.19,205.00,200.30,204.00,"45,674","9,248,770.80"
9,2025-04-08,202.23,0.37,203.40,198.10,203.40,"112,432","22,506,612.30"
10,2025-04-07,201.48,-0.83,205.00,201.00,205.00,"83,255","16,854,617.70"
11,2025-04-03,203.16,-0.76,207.00,203.00,204.00,"109,881","22,496,682.20"
12,2025-04-02,204.72,-0.2,207.00,202.40,206.00,"69,728","14,266,509.80"
13,2025-04-01,205.12,-0.92,210.00,203.10,209.00,"108,263","22,210,382.30"
14,2025-03-30,207.03,1.45,209.80,202.00,203.00,"183,593","38,093,086.70"
15,2025-03-27,204.07,1.25,204.60,200.20,203.00,"130,032","26,425,497.00"
16,2025-03-26,201.55,1.03,203.00,195.60,195.60,"114,124","22,956,947.90"
17,2025-03-25,199.49,-2.28,203.00,199.00,200.10,"155,446","31,111,028.70"
18,2025-03-24,204.15,1.67,205.90,196.80,196.80,"144,996","29,483,728.50"
19,2025-03-23,200.79,-1.73,208.40,200.10,208.40,"187,625","37,856,656.50"
20,2025-03-20,204.33,-0.81,207.00,203.20,207.00,"130,037","26,585,135.80"
21,2025-03-19,206.00,-1.2,210.00,205.00,210.00,"124,643","25,768,573.20"
22,2025-03-18,208.50,0.43,211.50,206.50,207.00,"129,222","26,927,057.30"
23,2025-03-17,207.60,-0.1,211.10,206.00,207.80,"172,370","35,997,312.30"
24,2025-03-16,207.80,-1.05,213.00,205.30,212.00,"162,900","33,844,117.50"
25,2025-03-12,210.00,1.01,212.00,203.80,203.80,"176,221","36,943,668.80"
26,2025-03-11,207.90,-2.85,216.00,207.10,214.00,"231,008","48,469,688.50"
27,2025-03-10,214.00,-0.19,218.40,210.90,214.60,"249,996","53,517,680.80"
28,2025-03-09,214.40,-3.38,226.30,214.00,226.30,"328,350","71,256,563.50"
29,2025-03-06,221.90,-1.29,226.40,220.40,220.40,"222,256","49,395,711.30"
30,2025-03-05,224.80,0.85,229.50,222.00,227.30,"650,953","146,740,708.60"
31,2025-03-04,222.90,2.96,231.00,212.20,212.20,"925,906","208,561,387.70"
32,2025-03-03,216.50,-3.43,227.80,216.00,225.00,"458,986","101,774,525.60"
33,2025-03-02,224.20,2.89,225.00,217.60,220.00,"617,029","136,741,788.70"
34,2025-02-27,217.90,7.18,218.90,199.90,199.90,"682,497","145,225,693.20"
35,2025-02-25,203.30,-0.83,206.40,203.10,204.00,"112,464","23,022,638.40"
36,2025-02-24,205.00,1.23,207.00,198.50,198.50,"181,109","37,131,058.00"
37,2025-02-23,202.50,-0.2,204.00,199.00,200.00,"164,757","33,277,744.50"
38,2025-02-20,202.90,-1.02,206.40,200.90,200.90,"124,030","25,216,571.70"
39,2025-02-18,205.00,-0.58,210.00,202.10,202.10,"141,710","29,178,050.40"
40,2025-02-17,206.20,-0.39,209.90,206.00,206.00,"256,256","53,300,496.40"
41,2025-02-16,207.00,0.98,209.10,202.00,209.10,"198,236","40,931,894.20"
42,2025-02-13,205.00,0.69,207.00,199.70,199.70,"150,802","30,754,484.00"
43,2025-02-12,203.60,-0.63,206.70,201.10,201.10,"105,446","21,567,334.30"
44,2025-02-11,204.90,-0.53,210.00,203.00,210.00,"91,585","18,720,040.20"
45,2025-02-10,206.00,-0.96,212.00,203.30,212.00,"142,581","29,222,456.60"
46,2025-02-09,208.00,2.41,211.60,204.00,204.00,"364,159","75,739,052.10"
47,2025-02-06,203.10,-0.93,207.50,203.00,203.90,"164,878","33,786,052.20"
48,2025-02-05,205.00,0.59,207.80,203.00,204.00,"241,992","49,804,691.60"
49,2025-02-04,203.80,-0.73,209.40,201.90,209.40,"235,121","47,836,092.00"
50,2025-02-03,205.30,0.15,211.00,205.10,209.00,"254,645","52,841,362.10"
51,2025-02-02,205.00,4.06,207.80,200.80,200.80,"340,429","69,891,813.10"
52,2025-01-28,197.00,1.03,198.00,195.00,196.00,"123,350","24,233,008.10"
53,2025-01-27,195.00,-1.02,199.00,194.20,198.10,"149,756","29,387,818.50"
54,2025-01-26,197.00,0.51,200.90,196.00,196.00,"98,720","19,523,660.90"
55,2025-01-23,196.00,-1.75,203.40,196.00,203.40,"103,499","20,566,886.70"
56,2025-01-22,199.50,2.57,202.00,195.00,197.00,"165,835","33,061,694.20"
57,2025-01-21,194.50,-1.02,198.60,194.30,197.00,"86,047","16,908,521.30"
58,2025-01-20,196.50,-0.25,199.00,196.50,197.00,"99,894","19,749,510.20"
59,2025-01-19,197.00,1.29,197.90,192.20,192.20,"89,771","17,565,851.00"
60,2025-01-16,194.50,-0.26,197.90,194.00,195.00,"106,960","20,855,018.50"
61,2025-01-15,195.00,-0.76,199.00,195.00,199.00,"80,172","15,766,800.30"
62,2025-01-13,196.50,-1.26,200.00,196.20,200.00,"91,436","18,055,876.40"
63,2025-01-12,199.00,-1,204.00,197.50,204.00,"82,392","16,382,644.00"
64,2025-01-09,201.00,-0.74,204.00,199.20,201.70,"150,227","30,196,444.00"
65,2025-01-08,202.50,-0.25,207.00,202.00,207.00,"106,640","21,642,330.50"
66,2025-01-07,203.00,-0.49,207.70,202.00,204.00,"155,370","31,752,776.70"
67,2025-01-06,204.00,4.35,205.00,195.30,199.00,"223,201","45,020,134.50"
68,2025-01-05,195.50,0.57,198.20,192.30,198.20,"71,237","13,856,454.50"
69,2025-01-02,194.40,0.21,195.40,192.50,195.00,"87,500","16,953,369.70"
70,2025-01-01,194.00,0,195.80,192.00,194.00,"81,368","15,764,552.90"
71,2024-12-31,194.00,-1.52,197.00,189.00,196.00,"197,677","37,978,627.40"
72,2024-12-29,197.00,-1.55,203.00,196.50,203.00,"124,123","24,598,210.30"
73,2024-12-26,200.10,-0.99,203.50,199.00,202.00,"84,210","16,921,547.00"
74,2024-12-24,202.10,0.8,205.50,201.30,203.00,"136,707","27,816,250.90"
75,2024-12-23,200.50,1.16,202.00,196.00,198.30,"133,575","26,734,974.90"
76,2024-12-22,198.20,-1.39,203.00,197.00,201.00,"137,289","27,294,376.30"
77,2024-12-19,201.00,-1.42,205.00,200.10,203.00,"154,454","31,137,973.90"
78,2024-12-18,203.90,-0.54,209.00,203.00,205.00,"106,487","21,794,044.60"
79,2024-12-17,205.00,0,208.00,203.00,205.00,"141,139","28,934,026.20"
80,2024-12-16,205.00,-2.15,212.00,204.10,212.00,"263,179","54,246,897.80"
81,2024-12-12,209.50,-2.56,219.30,209.00,219.30,"195,728","41,515,309.70"
82,2024-12-11,215.00,2.87,215.90,208.50,209.00,"168,471","35,592,730.60"
83,2024-12-10,209.00,-1.42,213.00,208.50,212.00,"182,351","38,305,808.50"
84,2024-12-09,212.00,0,215.00,209.10,212.00,"191,382","40,437,166.40"
85,2024-12-08,212.00,-2.3,221.00,210.00,221.00,"307,817","65,315,142.30"
86,2024-12-05,217.00,-3.04,227.00,216.00,219.50,"487,617","107,419,774.90"
87,2024-12-04,223.80,5.07,229.00,213.70,216.00,"1,195,984","267,954,386.00"
88,2024-12-03,213.00,0.47,216.10,207.80,207.80,"254,549","54,603,747.60"
89,2024-12-02,212.00,1.92,217.00,207.80,212.00,"441,372","94,501,253.00"
90,2024-12-01,208.00,-1.42,210.00,206.80,209.00,"184,503","38,416,727.40"
91,2024-11-28,211.00,-0.94,215.00,210.50,214.00,"172,989","36,737,064.30"
92,2024-11-27,213.00,0.47,215.00,212.00,214.90,"190,062","40,589,898.90"
93,2024-11-26,212.00,2.17,215.80,209.00,211.60,"183,777","38,748,536.30"
94,2024-11-25,207.50,0.19,211.00,207.00,211.00,"154,709","32,271,964.80"
95,2024-11-24,207.10,-1.89,214.90,207.10,214.90,"205,456","43,109,015.60"
96,2024-11-21,211.10,-1.81,217.50,211.00,215.00,"217,582","46,489,894.50"
97,2024-11-20,215.00,1.65,217.80,209.70,211.50,"330,973","70,971,728.40"
98,2024-11-19,211.50,-1.54,218.00,211.10,218.00,"365,848","78,129,540.30"
99,2024-11-17,214.80,1.75,221.80,213.00,214.00,"427,283","92,231,937.30"
100,2024-11-14,211.10,0.52,214.00,210.10,213.00,"266,665","56,582,559.70"
108,2024-11-13,210.00,-1.36,214.00,209.00,211.00,"352,575","74,275,718.50"
109,2024-11-12,212.90,-4.91,219.50,201.60,219.50,"1,198,640","255,947,775.60"
110,2024-11-11,223.90,-0.49,233.00,220.50,220.50,"85,636","19,529,669.10"
111,2024-11-10,225.00,6.13,225.80,213.00,215.00,"151,269","33,400,440.90"
112,2024-11-06,212.00,0.24,214.50,210.20,211.50,"15,665","3,317,235.20"
113,2024-11-05,211.50,-0.7,217.00,211.50,217.00,"12,667","2,692,358.60"
114,2024-10-30,213.00,-1.62,217.10,213.00,217.10,"26,786","5,736,000.20"
115,2024-10-29,216.50,2.7,217.00,210.00,213.00,"51,681","11,107,630.80"
116,2024-10-28,210.80,1.59,210.90,208.00,209.00,"17,676","3,704,909.50"
117,2024-10-27,207.50,-0.24,212.10,206.00,212.10,"23,299","4,844,343.50"
118,2024-10-24,208.00,-0.48,210.00,207.00,207.00,"32,801","6,814,296.40"
119,2024-10-23,209.00,-1.42,216.20,208.30,216.20,"21,494","4,524,313.70"
120,2024-10-22,212.00,1.73,212.90,208.00,208.00,"36,446","7,670,183.40"
121,2024-10-21,208.40,-2.16,214.00,206.50,214.00,"54,420","11,349,082.00"
122,2024-10-20,213.00,-3.18,218.70,212.00,215.60,"71,155","15,317,805.80"
123,2024-10-17,220.00,-1.74,228.00,219.50,225.00,"58,750","13,102,653.90"
124,2024-10-16,223.90,4.14,226.00,216.00,217.30,"90,364","19,966,697.70"
125,2024-10-15,215.00,0.94,216.00,212.00,214.00,"11,650","2,493,413.30"
126,2024-10-09,213.00,0.47,215.00,208.00,210.90,"27,678","5,850,287.50"
128,2024-10-08,212.00,-1.85,219.00,210.00,216.00,"22,498","4,774,804.20"
129,2024-10-07,216.00,1.41,220.00,213.00,213.00,"48,479","10,551,536.10"
130,2024-10-06,213.00,3.85,213.00,200.90,205.00,"53,687","11,142,061.70"
131,2024-10-02,205.10,-2.29,219.00,204.00,214.00,"72,104","15,085,473.60"
132,2024-10-01,209.90,9.04,211.00,194.50,194.50,"99,634","20,463,239.20"
133,2024-09-30,192.50,1.32,193.70,187.20,189.00,"10,567","2,032,326.50"
134,2024-09-29,190.00,-2.56,195.00,187.60,192.00,"37,641","7,190,169.90"
135,2024-09-26,195.00,-1.91,202.70,194.00,200.00,"41,287","8,155,880.50"
136,2024-09-25,198.80,2,201.00,190.10,194.00,"65,725","12,882,485.10"
137,2024-09-24,194.90,-3.51,205.80,194.00,200.00,"85,666","16,940,674.60"
138,2024-09-23,202.00,-2.46,209.00,200.00,207.10,"71,356","14,538,484.70"
139,2024-09-22,207.10,0,218.00,206.00,210.00,"51,364","10,829,035.90"
140,2024-09-18,207.10,-1.38,213.00,204.00,211.00,"48,995","10,197,882.60"
141,2024-09-16,210.00,-2.73,215.80,208.00,211.70,"83,837","17,663,425.50"
142,2024-09-15,215.90,-3.62,231.50,214.00,226.40,"81,711","18,306,934.80"
143,2024-09-12,224.00,7.59,228.00,208.20,208.20,"70,592","15,189,552.90"
144,2024-09-11,208.20,-2.48,217.70,208.00,217.70,"68,401","14,386,503.80"
145,2024-09-10,213.50,-0.23,222.00,210.80,216.20,"66,546","14,369,672.40"
146,2024-09-09,214.00,-3.17,222.00,212.00,222.00,"73,571","15,899,653.30"
147,2024-09-08,221.00,-0.9,227.40,220.60,223.00,"37,848","8,466,403.30"
148,2024-09-05,223.00,-2.58,228.30,219.40,225.00,"88,795","19,858,581.90"
149,2024-09-04,228.90,-3.82,242.70,225.00,242.70,"96,600","22,156,565.10"
150,2024-09-03,238.00,0.42,246.10,236.00,240.00,"128,659","30,925,012.20"
151,2024-09-02,237.00,8.72,239.00,214.00,214.00,"172,402","39,511,737.30"
152,2024-09-01,218.00,-3.96,229.00,217.40,226.90,"104,307","23,167,591.90"
153,2024-08-29,227.00,0.22,231.00,221.50,231.00,"103,699","23,440,149.50"
154,2024-08-28,226.50,3.42,236.50,220.00,220.30,"203,630","46,577,659.30"
155,2024-08-27,219.00,-6.81,239.70,218.00,239.70,"220,961","49,446,091.20"
156,2024-08-25,235.00,-4.51,249.00,234.50,245.00,"201,737","48,134,811.50"
157,2024-08-22,246.10,-0.77,254.00,240.10,243.10,"206,443","51,113,526.40"
158,2024-08-21,248.00,-3.5,263.00,246.00,258.00,"206,933","51,736,725.20"
159,2024-08-18,257.00,-4.1,274.90,253.00,273.00,"301,997","78,170,421.40"
160,2024-08-15,268.00,3.88,272.00,254.80,263.10,"465,244","122,776,151.70"
161,2024-08-14,258.00,4.58,267.00,234.00,251.60,"411,687","100,599,015.40"
162,2024-08-13,246.70,3.01,263.10,243.00,244.20,"387,268","97,389,330.90"
163,2024-08-12,239.50,9.96,239.50,222.10,222.10,"336,436","79,550,569.00"
164,2024-08-11,217.80,10,217.80,199.00,201.90,"566,497","118,564,600.30"
165,2024-08-08,198.00,-0.5,204.00,197.00,200.00,"161,592","32,326,457.10"
166,2024-08-07,199.00,1.84,201.00,191.50,191.50,"123,645","24,460,767.30"
167,2024-08-06,195.40,-4.45,206.00,195.00,204.20,"185,004","36,939,079.00"
168,2024-08-05,204.50,-0.49,208.00,202.00,206.00,"135,160","27,670,673.80"
169,2024-08-01,205.50,-1.44,212.60,205.00,210.00,"220,330","46,036,459.80"
170,2024-07-31,208.50,4.25,213.00,198.00,203.00,"390,286","80,118,962.90"
171,2024-07-30,200.00,-0.5,203.00,197.10,200.00,"183,372","36,604,199.90"
172,2024-07-29,201.00,-0.54,205.00,198.60,205.00,"172,151","34,702,099.70"
173,2024-07-28,202.10,1.05,214.20,200.00,204.00,"151,895","30,904,493.50"
174,2024-07-25,200.00,-0.99,205.00,199.20,205.00,"125,615","25,334,532.40"
175,2024-07-24,202.00,-2.74,213.90,200.00,210.00,"257,270","53,629,666.90"
176,2024-07-23,207.70,1.32,209.10,200.00,203.00,"198,665","40,849,168.40"
177,2024-07-22,205.00,3.02,212.10,193.00,202.00,"185,359","36,973,249.30"
178,2024-07-21,199.00,1.07,212.00,195.50,200.80,"398,086","80,808,124.30"
179,2024-07-18,196.90,10,196.90,182.50,182.50,"507,091","97,792,602.50"
180,2024-07-17,179.00,9.95,179.00,166.00,166.00,"49,212","8,791,427.00"
181,2024-07-16,162.80,10,162.80,150.90,150.90,"49,035","7,964,195.80"
182,2024-07-15,220.00,-1.65,228.10,218.90,228.10,"392,073","87,878,207.80"
183,2024-07-14,223.70,2.15,227.00,218.00,223.30,"166,180","36,946,917.70"
184,2024-07-11,219.00,0.41,222.00,218.00,220.00,"121,555","26,712,576.40"
185,2024-07-10,218.10,-1.31,224.00,215.00,224.00,"164,085","35,672,988.50"
186,2024-07-09,221.00,-1.34,223.90,219.60,220.20,"74,445","16,462,619.90"
187,2024-07-08,224.00,-4.27,235.00,221.00,235.00,"141,032","31,836,931.50"
188,2024-07-07,234.00,2.77,250.00,230.00,232.20,"352,443","84,271,165.80"
189,2024-07-04,227.70,10,227.70,209.00,209.00,"291,775","64,446,527.60"
190,2024-07-03,207.00,-1.9,209.90,206.00,207.50,"17,290","3,586,786.80"
191,2024-07-02,211.00,3.23,221.00,206.20,208.40,"56,772","11,951,340.80"
192,2024-07-01,204.40,-0.05,207.00,202.10,204.00,"14,488","2,962,824.70"
193,2024-06-30,204.50,-1.16,207.00,203.00,206.10,"28,990","5,929,235.00"
194,2024-06-27,206.90,-0.05,209.00,205.70,209.00,"20,975","4,341,139.50"
195,2024-06-26,207.00,-0.48,212.00,206.20,207.10,"22,591","4,705,216.10"
196,2024-06-25,208.00,-0.95,214.30,207.00,214.20,"48,011","10,102,326.80"
197,2024-06-24,210.00,0,215.90,206.00,207.00,"46,780","9,800,022.80"
198,2024-06-23,210.00,-0.94,216.20,208.00,215.10,"55,957","11,878,557.40"
199,2024-06-20,212.00,-1.58,219.70,210.40,219.70,"25,168","5,345,249.70"
200,2024-06-19,215.40,0.84,217.80,213.00,213.00,"19,936","4,280,150.80"
101,2024-06-18,213.60,-1.52,220.10,213.60,216.00,"42,372","9,173,895.00"
102,2024-06-16,216.90,3.29,225.00,212.00,213.00,"106,780","23,264,822.80"
103,2024-06-13,210.00,0.48,213.00,206.20,206.20,"32,557","6,852,304.10"
104,2024-06-12,209.00,-0.95,214.00,208.80,212.90,"32,187","6,816,266.80"
105,2024-06-11,211.00,4.46,218.00,203.00,205.00,"52,785","11,083,150.90"
