#,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
1,2025-04-21,234.21,1.01,240.00,230.00,230.00,"158,701","37,483,057.40"
2,2025-04-20,231.87,-2.51,237.00,230.50,234.00,"99,342","23,138,876.80"
3,2025-04-17,237.83,0.78,243.00,235.00,240.60,"209,119","50,095,517.60"
4,2025-04-16,235.98,2.12,237.00,228.00,233.60,"120,415","28,062,102.40"
5,2025-04-15,231.08,1.97,233.00,225.00,229.00,"112,657","25,957,083.60"
6,2025-04-13,226.61,-0.21,229.00,225.00,225.00,"42,581","9,646,854.70"
7,2025-04-10,227.09,0.61,229.00,225.10,225.10,"35,098","7,968,393.30"
8,2025-04-09,225.71,-0.27,229.00,225.00,225.00,"39,443","8,932,270.60"
9,2025-04-08,226.32,0.2,228.00,221.20,225.00,"82,500","18,420,155.50"
10,2025-04-07,225.87,-0.62,231.80,225.70,231.80,"47,777","10,838,832.90"
11,2025-04-03,227.28,-0.58,232.00,226.00,230.90,"116,114","26,588,706.40"
12,2025-04-02,228.61,-0.24,231.40,227.00,227.30,"56,707","12,986,567.30"
13,2025-04-01,229.17,-1.64,235.00,226.00,233.10,"107,126","24,544,661.70"
14,2025-03-30,232.98,2.79,237.60,225.00,226.00,"201,971","46,923,969.20"
15,2025-03-27,226.65,1.6,228.00,220.80,225.50,"101,054","22,796,846.80"
16,2025-03-26,223.09,1.87,225.00,216.10,216.10,"102,058","22,627,969.60"
17,2025-03-25,218.99,-3.25,225.10,218.00,225.10,"209,509","46,133,838.60"
18,2025-03-24,226.34,0.54,229.60,221.30,229.60,"96,584","21,891,991.90"
19,2025-03-23,225.12,-1.95,230.00,224.60,230.00,"103,711","23,472,935.90"
20,2025-03-20,229.59,-0.31,232.50,228.00,230.00,"81,850","18,811,738.30"
21,2025-03-19,230.30,-0.95,233.00,230.00,232.50,"78,786","18,190,903.30"
22,2025-03-18,232.50,-0.81,237.00,231.10,237.00,"92,092","21,427,705.90"
23,2025-03-17,234.40,-0.68,237.00,231.30,231.30,"80,368","18,844,739.10"
24,2025-03-16,236.00,-0.17,239.00,232.00,236.40,"95,082","22,216,132.80"
25,2025-03-12,236.40,1.9,237.00,229.50,232.00,"121,072","28,322,652.80"
26,2025-03-11,232.00,-1.49,238.00,230.80,238.00,"191,397","44,568,717.40"
27,2025-03-10,235.50,-1.79,243.50,235.50,240.00,"152,823","36,425,467.00"
28,2025-03-09,239.80,-1.92,247.00,238.00,242.00,"196,203","47,239,668.10"
29,2025-03-06,244.50,-0.61,249.00,241.10,248.00,"178,386","43,502,406.60"
30,2025-03-05,246.00,-1.87,253.80,245.00,253.80,"212,878","52,722,164.00"
31,2025-03-04,250.70,0.04,258.60,248.20,250.00,"326,496","82,579,255.70"
32,2025-03-03,250.60,-2.26,261.50,250.60,260.50,"271,583","69,208,905.30"
33,2025-03-02,256.40,6.39,258.00,243.00,245.00,"574,817","144,927,182.80"
34,2025-02-27,241.00,4.28,243.70,231.30,233.70,"247,067","58,754,201.60"
35,2025-02-25,231.10,-0.6,233.50,231.10,232.00,"71,817","16,681,943.30"
36,2025-02-24,232.50,1.44,235.00,230.10,231.00,"114,526","26,691,724.50"
37,2025-02-23,229.20,-1.21,232.00,227.40,227.40,"148,219","34,115,640.00"
38,2025-02-20,232.00,-0.43,234.80,230.30,233.00,"92,846","21,555,722.10"
39,2025-02-18,233.00,-1.06,238.90,232.00,238.90,"91,261","21,432,644.90"
40,2025-02-17,235.50,0.73,238.40,233.70,238.40,"87,650","20,720,004.00"
41,2025-02-16,233.80,0.6,235.00,232.00,232.00,"121,689","28,407,864.00"
42,2025-02-13,232.40,-0.47,235.50,231.00,235.00,"125,621","29,215,383.00"
43,2025-02-12,233.50,-0.51,237.00,232.50,236.00,"87,972","20,624,123.20"
44,2025-02-11,234.70,-0.97,239.00,234.60,237.00,"132,888","31,294,366.50"
45,2025-02-10,237.00,-2.03,246.70,235.50,246.70,"170,911","40,567,983.50"
46,2025-02-09,241.90,0.79,247.70,235.20,244.20,"108,189","26,102,531.10"
47,2025-02-06,240.00,-0.83,246.80,238.00,246.80,"131,461","31,734,941.60"
48,2025-02-05,242.00,-0.78,248.70,239.80,248.70,"99,033","24,094,849.80"
49,2025-02-04,243.90,-0.85,250.90,239.20,250.90,"124,642","30,120,212.80"
50,2025-02-03,246.00,0.08,251.00,241.00,248.00,"199,218","49,054,694.10"
51,2025-02-02,245.80,3.32,247.00,239.00,242.60,"250,186","61,212,101.70"
52,2025-01-28,237.90,1.71,239.00,234.10,235.00,"122,132","28,879,525.10"
53,2025-01-27,233.90,-0.89,240.70,232.30,236.00,"97,864","23,166,416.00"
54,2025-01-26,236.00,0.38,239.00,233.00,235.10,"87,223","20,581,455.70"
55,2025-01-23,235.10,-1.63,242.70,235.00,236.00,"87,648","20,920,827.30"
56,2025-01-22,239.00,2.18,240.20,232.00,232.00,"149,188","35,589,775.70"
57,2025-01-21,233.90,-1.14,239.00,233.00,236.00,"52,045","12,244,335.20"
58,2025-01-20,236.60,1.98,236.60,230.00,234.00,"97,234","22,786,075.60"
59,2025-01-19,232.00,0.87,233.60,225.40,225.40,"51,148","11,818,321.10"
60,2025-01-16,230.00,-0.22,242.00,226.00,226.00,"58,548","13,449,180.75"
61,2025-01-15,230.50,-1.5,237.40,230.30,235.00,"123,586","28,900,573.40"
62,2025-01-13,234.00,-0.43,238.00,232.30,235.00,"106,370","24,926,184.80"
63,2025-01-12,235.00,-1.26,242.70,235.00,242.70,"48,025","11,339,854.80"
64,2025-01-09,238.00,-0.42,243.70,236.20,243.70,"75,711","18,054,146.30"
65,2025-01-08,239.00,-0.83,245.80,237.10,245.80,"74,585","17,837,029.00"
66,2025-01-07,241.00,-0.29,246.80,239.00,242.00,"129,653","31,421,459.30"
67,2025-01-06,241.70,4.63,241.70,230.00,233.00,"180,146","42,709,402.90"
68,2025-01-05,231.00,0.48,234.40,228.50,234.40,"69,136","15,943,385.30"
69,2025-01-02,229.90,1.28,231.00,225.20,229.00,"63,973","14,639,347.90"
70,2025-01-01,227.00,0.89,230.00,225.00,229.50,"67,040","15,245,940.20"
71,2024-12-31,225.00,-2.6,235.60,221.00,235.60,"148,144","33,197,003.20"
72,2024-12-29,231.00,-2.12,235.00,229.20,234.00,"89,716","20,755,254.00"
73,2024-12-26,236.00,-0.13,241.00,232.00,241.00,"56,328","13,235,705.10"
74,2024-12-24,236.30,-0.51,241.90,235.00,241.90,"75,334","17,966,063.80"
75,2024-12-23,237.50,1.06,237.50,232.00,236.00,"52,136","12,244,306.90"
76,2024-12-22,235.00,-0.84,239.00,230.10,238.00,"89,595","20,928,292.80"
77,2024-12-19,237.00,-1.25,242.00,233.00,242.00,"166,208","39,232,913.60"
78,2024-12-18,240.00,0,243.80,238.00,242.00,"49,050","11,773,990.80"
79,2024-12-17,240.00,0.42,243.70,235.10,243.70,"125,440","30,100,020.50"
80,2024-12-16,239.00,-2.65,245.00,238.00,245.00,"150,445","36,186,636.40"
81,2024-12-12,245.50,-2.19,255.00,244.00,251.10,"107,891","26,841,451.40"
82,2024-12-11,251.00,2.03,252.00,243.20,248.00,"115,971","28,703,915.20"
83,2024-12-10,246.00,-1.17,250.90,245.00,248.60,"82,058","20,223,984.60"
84,2024-12-09,248.90,-0.44,253.00,248.00,250.00,"102,220","25,522,810.10"
85,2024-12-08,250.00,-2.72,262.00,248.10,262.00,"164,817","41,283,200.10"
86,2024-12-05,257.00,0,257.50,250.80,253.30,"156,701","39,729,695.30"
87,2024-12-04,257.00,0.55,262.00,254.00,260.70,"172,311","44,533,257.30"
88,2024-12-03,255.60,0.24,260.10,255.00,260.10,"170,641","43,827,849.95"
89,2024-12-02,255.00,0.75,261.00,254.00,254.00,"168,617","43,468,562.20"
90,2024-12-01,253.10,-2.01,257.00,250.00,257.00,"126,494","32,048,835.60"
91,2024-11-28,258.30,-2.16,266.20,258.30,265.00,"110,116","28,652,129.90"
92,2024-11-27,264.00,0.38,267.00,262.00,266.00,"153,155","40,518,915.40"
93,2024-11-26,263.00,3.14,265.00,259.00,260.10,"172,216","45,067,585.30"
94,2024-11-25,255.00,0.35,260.00,254.10,259.10,"148,166","37,990,575.10"
95,2024-11-24,254.10,-1.89,264.10,253.80,264.10,"133,250","34,307,893.30"
96,2024-11-21,259.00,-2.26,272.00,257.20,270.30,"153,392","40,052,751.20"
97,2024-11-20,265.00,-0.04,269.00,262.20,265.10,"131,909","34,967,138.00"
98,2024-11-19,265.10,-3.56,275.00,265.10,275.00,"253,965","68,356,082.90"
99,2024-11-17,274.90,1.81,285.00,270.30,275.00,"345,797","95,162,139.60"
100,2024-11-14,270.00,-0.99,278.00,267.30,267.30,"290,695","79,027,517.90"
101,2024-11-13,272.70,-0.66,279.00,270.90,279.00,"256,812","70,226,776.70"
102,2024-11-12,274.50,0.55,280.50,270.00,278.40,"257,689","70,920,723.30"
103,2024-11-11,273.00,1.49,284.90,270.50,274.00,"676,682","188,707,397.00"
104,2024-11-10,269.00,5.37,271.50,255.00,255.00,"390,467","103,708,329.80"
105,2024-11-06,255.30,-0.66,262.10,254.50,262.10,"65,917","16,866,152.80"
106,2024-11-05,257.00,-0.77,261.70,255.00,257.10,"67,164","17,303,492.40"
107,2024-10-30,259.00,1.05,259.80,253.00,257.50,"95,976","24,485,396.10"
