#,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
1,2025-04-21,821.41,-1.36,840.00,808.00,817.00,"5,453","4,451,672.90"
2,2025-04-20,832.70,-1.03,834.90,805.00,826.00,"6,825","5,560,699.60"
3,2025-04-17,841.35,1.25,848.00,816.00,829.00,"3,546","2,963,538.80"
4,2025-04-16,830.95,-1.01,838.00,823.00,823.00,938,"780,709.00"
5,2025-04-15,839.44,3.5,860.40,801.00,801.00,"2,560","2,144,479.90"
6,2025-04-13,811.05,-1.06,836.00,807.00,820.00,"2,178","1,773,184.00"
7,2025-04-10,819.78,-0.03,823.00,806.10,806.10,"1,543","1,257,664.90"
8,2025-04-09,820.00,0.7,830.00,805.00,830.00,"1,020","836,859.50"
9,2025-04-08,814.27,-0.37,819.00,803.10,812.00,"3,176","2,576,002.10"
10,2025-04-07,817.29,-1.5,846.30,813.50,814.00,"3,146","2,579,644.30"
11,2025-04-03,829.75,0.53,850.00,811.10,811.10,"5,171","4,282,128.40"
12,2025-04-02,825.40,-0.96,871.10,821.00,821.00,"7,208","5,969,368.40"
13,2025-04-01,833.43,-2.37,842.00,828.50,841.00,"2,171","1,815,807.80"
14,2025-03-30,853.62,0.36,872.00,834.00,865.00,"3,424","2,944,583.20"
15,2025-03-27,850.54,1.78,857.80,809.00,840.00,"2,644","2,229,646.10"
16,2025-03-26,835.65,2.34,843.00,781.00,816.00,"8,276","6,618,632.70"
17,2025-03-25,816.51,-2.38,830.00,815.00,822.00,"2,215","1,816,405.80"
18,2025-03-24,836.41,-0.26,845.00,822.10,822.10,"2,100","1,760,287.90"
19,2025-03-23,838.62,-1.86,869.00,825.00,869.00,"4,541","3,807,340.20"
20,2025-03-20,854.49,0.53,866.00,824.00,866.00,"2,114","1,785,623.40"
21,2025-03-19,850.00,-0.93,855.00,841.10,841.10,"1,089","922,976.40"
22,2025-03-18,858.00,0.59,884.00,849.90,868.00,"5,388","4,619,083.80"
23,2025-03-17,853.00,0.35,878.00,849.10,866.00,"7,406","6,448,517.00"
24,2025-03-16,850.00,-0.93,887.40,840.00,870.00,"3,306","2,804,501.70"
25,2025-03-12,858.00,-0.86,875.00,858.00,875.00,"2,778","2,391,913.70"
26,2025-03-11,865.40,-2.76,888.00,865.40,872.20,"3,310","2,898,902.60"
27,2025-03-10,890.00,0.9,899.00,876.00,883.00,"3,943","3,487,078.00"
28,2025-03-09,882.10,-2.21,907.00,882.10,890.00,"5,269","4,677,363.70"
29,2025-03-06,902.00,0,910.00,891.10,892.00,"4,182","3,761,587.90"
30,2025-03-05,902.00,-0.23,908.50,895.00,895.00,"5,157","4,636,259.30"
31,2025-03-04,904.10,-0.64,938.40,900.00,900.00,"6,904","6,286,111.30"
32,2025-03-03,909.90,-0.89,934.00,909.90,913.00,"19,816","18,169,494.80"
33,2025-03-02,918.10,0.45,927.90,911.00,911.00,"12,709","11,659,099.00"
34,2025-02-27,914.00,0.32,930.00,911.00,916.00,"9,723","8,946,242.20"
35,2025-02-25,911.10,-0.05,928.50,900.00,900.00,"16,673","15,277,656.20"
36,2025-02-24,911.60,-0.48,924.00,910.00,916.00,"10,666","9,768,878.50"
37,2025-02-23,916.00,-0.33,935.00,900.00,900.70,"24,567","22,565,508.90"
38,2025-02-20,919.00,-1.08,945.00,906.00,936.00,"4,287","3,919,597.10"
39,2025-02-18,929.00,-0.85,955.00,906.20,955.00,"11,966","11,085,872.50"
40,2025-02-17,937.00,2.4,947.00,920.00,920.00,"27,372","25,694,485.10"
41,2025-02-16,915.00,2.66,942.40,877.00,877.00,"7,418","6,737,269.50"
42,2025-02-13,891.30,0.58,921.00,882.00,882.00,"4,436","3,967,590.60"
43,2025-02-12,886.20,0.14,936.00,882.10,902.00,"5,488","4,911,519.10"
44,2025-02-11,885.00,-1.78,917.00,885.00,900.00,"3,759","3,361,395.10"
45,2025-02-10,901.00,-1.4,945.00,890.10,900.00,"3,795","3,458,247.60"
46,2025-02-09,913.80,2.44,941.00,882.10,882.10,"10,531","9,568,008.00"
47,2025-02-06,892.00,-2.93,930.00,891.80,930.00,"14,310","12,894,091.10"
48,2025-02-05,918.90,-0.12,927.00,909.00,920.00,"19,543","17,872,697.50"
49,2025-02-04,920.00,-3.06,967.00,920.00,967.00,"12,819","12,017,897.60"
50,2025-02-03,949.00,-2.67,990.00,935.00,990.00,"22,879","21,850,122.50"
51,2025-02-02,975.00,4.17,985.00,917.60,917.60,"39,363","37,716,030.60"
52,2025-01-28,936.00,-0.43,951.80,927.00,928.00,"20,158","18,919,964.60"
53,2025-01-27,940.00,6.94,940.00,862.00,862.00,"41,942","38,663,409.20"
54,2025-01-26,879.00,4.04,891.90,835.00,850.00,"22,841","19,821,534.70"
55,2025-01-23,844.90,0.58,870.00,823.20,831.00,"6,372","5,334,633.80"
56,2025-01-22,840.00,0.96,859.00,816.00,816.00,"7,489","6,268,233.60"
57,2025-01-21,832.00,1.69,834.00,810.20,818.00,"4,565","3,757,191.80"
58,2025-01-20,818.20,2.57,840.00,806.10,811.00,"5,522","4,507,778.70"
59,2025-01-19,797.70,0.59,858.00,785.00,793.00,"3,365","2,698,770.30"
60,2025-01-16,793.00,-1.23,800.00,791.00,791.00,"3,555","2,827,603.20"
61,2025-01-15,802.90,-0.14,810.00,794.40,809.00,"2,009","1,609,507.70"
62,2025-01-13,804.00,-0.5,824.00,795.00,795.00,"3,701","2,970,040.60"
63,2025-01-12,808.00,0.71,810.00,791.00,802.30,"2,950","2,367,990.90"
64,2025-01-09,802.30,-0.95,823.00,801.00,823.00,"4,683","3,810,507.00"
65,2025-01-08,810.00,2.14,822.00,800.00,808.80,"6,122","4,957,812.50"
66,2025-01-07,793.00,0.38,805.00,781.10,781.10,"2,295","1,822,953.70"
67,2025-01-06,790.00,0,805.00,785.00,785.20,"7,629","6,040,997.70"
68,2025-01-05,790.00,-0.16,800.00,787.00,800.00,"2,420","1,916,833.60"
69,2025-01-02,791.30,-1.58,810.00,785.00,791.00,"5,036","3,997,577.10"
70,2025-01-01,804.00,0.12,817.50,803.00,803.00,"2,274","1,834,487.70"
71,2024-12-31,803.00,-1.65,805.00,789.00,801.00,"4,829","3,846,709.00"
72,2024-12-29,816.50,0.68,849.90,790.00,800.00,"6,668","5,483,106.00"
73,2024-12-26,811.00,0,812.00,800.00,804.10,"3,836","3,084,196.00"
74,2024-12-24,811.00,1.01,820.00,803.00,810.00,"2,871","2,332,080.40"
75,2024-12-23,802.90,0.24,809.00,796.00,801.20,"1,430","1,145,177.90"
76,2024-12-22,801.00,0.12,805.00,795.00,805.00,"1,031","825,504.00"
77,2024-12-19,800.00,-0.62,810.00,800.00,800.00,"1,451","1,166,419.30"
78,2024-12-18,805.00,-1.59,825.00,802.50,818.00,"4,398","3,558,138.50"
79,2024-12-17,818.00,-1.45,826.00,814.30,826.00,"3,732","3,065,698.70"
80,2024-12-16,830.00,-1.43,842.00,827.00,827.00,"5,279","4,394,053.80"
81,2024-12-12,842.00,-1.17,867.90,835.00,852.00,"3,029","2,557,056.20"
82,2024-12-11,852.00,0.24,852.00,834.30,834.30,"6,425","5,403,367.10"
83,2024-12-10,850.00,0,854.90,835.00,850.00,"3,996","3,371,136.70"
84,2024-12-09,850.00,-0.12,862.00,845.00,850.00,"2,677","2,272,282.70"
85,2024-12-08,851.00,-1.85,867.00,850.00,850.00,"4,627","3,948,501.60"
86,2024-12-05,867.00,-0.9,876.00,855.00,861.00,"5,031","4,328,442.90"
87,2024-12-04,874.90,0.56,880.00,854.00,854.00,"3,174","2,764,588.00"
88,2024-12-03,870.00,0,885.90,858.00,863.00,"3,197","2,789,896.90"
89,2024-12-02,870.00,0,887.40,864.00,869.00,"4,192","3,660,250.00"
90,2024-12-01,870.00,-2.03,890.00,860.00,875.00,"3,058","2,682,308.40"
91,2024-11-28,888.00,-1.33,917.00,885.10,917.00,"4,074","3,643,509.80"
92,2024-11-27,900.00,0.9,909.80,878.00,878.00,"3,324","2,982,881.70"
93,2024-11-26,892.00,1.94,902.00,885.00,890.00,"5,783","5,150,559.40"
94,2024-11-25,875.00,1.86,877.00,850.60,855.50,"3,282","2,856,594.30"
95,2024-11-24,859.00,-0.65,871.00,856.00,864.00,"6,684","5,761,834.80"
96,2024-11-21,864.60,-1.97,894.00,860.00,894.00,"16,395","14,322,107.20"
97,2024-11-20,882.00,-1.34,911.80,860.50,905.00,"11,286","9,854,008.10"
98,2024-11-19,894.00,-3.35,926.00,890.00,925.00,"10,929","9,905,333.80"
99,2024-11-17,925.00,-2.22,946.00,925.00,944.00,"15,986","14,959,906.00"
100,2024-11-14,946.00,-0.06,960.00,941.00,960.00,"3,531","3,350,866.10"
101,2024-11-13,946.60,-1.7,979.90,946.30,962.00,"1,644","1,575,911.80"
102,2024-11-12,963.00,-0.36,985.00,952.00,985.00,"3,458","3,312,460.20"
103,2024-11-11,966.50,2.28,973.50,928.00,955.00,"19,368","18,389,779.90"
104,2024-11-10,945.00,1,979.90,929.70,954.30,"15,438","14,460,447.20"
105,2024-11-06,"1,069.00",1.04,"1,091.00","1,058.00","1,075.00","48,375","51,736,025.30"
106,2024-11-05,"1,058.00",-1.76,"1,080.00","1,056.30","1,077.00","6,126","6,509,758.00"
107,2024-10-30,"1,077.00",-0.46,"1,097.00","1,067.00","1,085.00","10,841","11,784,882.50"
108,2024-10-29,"1,082.00",3.56,"1,082.00","1,046.00","1,046.00","7,886","8,448,823.10"
109,2024-10-28,"1,044.80",0.43,"1,052.00","1,030.00","1,030.00","3,660","3,816,338.40"
110,2024-10-27,"1,040.30",-0.92,"1,071.00","1,031.60","1,071.00","2,524","2,635,670.60"
111,2024-10-24,"1,050.00",0.96,"1,060.80","1,027.00","1,027.00","4,144","4,348,202.00"
112,2024-10-23,"1,040.00",-0.38,"1,087.00","1,026.00","1,026.00","2,202","2,292,411.20"
113,2024-10-22,"1,044.00",0.38,"1,053.00","1,027.10","1,027.10","3,799","3,958,925.00"
114,2024-10-21,"1,040.00",-1.7,"1,060.00","1,037.10","1,041.00","3,480","3,651,723.80"
115,2024-10-20,"1,058.00",-1.32,"1,093.60","1,044.00","1,093.60","7,251","7,761,312.42"
116,2024-10-17,"1,072.20",-0.07,"1,085.00","1,066.00","1,084.00","2,511","2,713,857.90"
117,2024-10-16,"1,073.00",0.28,"1,080.00","1,049.00","1,049.00","1,902","2,034,750.80"
118,2024-10-15,"1,070.00",2.07,"1,081.20","1,045.00","1,046.00","1,863","1,988,325.10"
119,2024-10-09,"1,048.30",-0.64,"1,056.70","1,036.00","1,036.00","2,718","2,844,005.60"
121,2024-10-08,"1,055.00",0,"1,076.00","1,050.40","1,076.00","3,239","3,437,282.70"
122,2024-10-07,"1,055.00",2.43,"1,065.00","1,030.00","1,030.00","5,469","5,769,335.70"
123,2024-10-06,"1,030.00",3.73,"1,030.00",984.00,984.00,"4,464","4,513,043.50"
124,2024-10-02,993.00,-3.7,"1,051.80",993.00,"1,051.80","4,928","5,085,158.10"
125,2024-10-01,"1,031.20",2.3,"1,036.00","1,000.20","1,000.20","6,452","6,621,056.00"
126,2024-09-30,"1,008.00",3.17,"1,011.00",970.00,977.00,"3,087","3,089,537.10"
127,2024-09-29,977.00,-2.3,"1,009.00",974.00,993.00,"4,374","4,349,953.80"
128,2024-09-26,"1,000.00",-1.96,"1,029.00",990.00,"1,020.00","4,996","5,002,422.70"
129,2024-09-25,"1,020.00",2,"1,035.00",994.00,994.00,"3,278","3,298,472.20"
130,2024-09-24,"1,000.00",-1.96,"1,025.00","1,000.00","1,025.00","4,104","4,126,956.00"
131,2024-09-23,"1,020.00",-1.83,"1,045.00","1,015.00","1,039.00","8,695","8,906,676.20"
132,2024-09-22,"1,039.00",3.38,"1,080.00","1,025.00","1,025.00","12,608","13,225,937.20"
133,2024-09-18,"1,005.00",-0.99,"1,005.00",988.00,"1,005.00","7,967","7,926,021.10"
134,2024-09-16,"1,015.00",-2.88,"1,045.00","1,015.00","1,025.00","4,861","4,990,359.60"
135,2024-09-15,"1,045.10",-3.68,"1,102.00","1,045.10","1,084.00","6,646","7,090,128.10"
136,2024-09-12,"1,085.00",2.36,"1,085.00","1,040.00","1,040.00","6,853","7,264,381.20"
137,2024-09-11,"1,060.00",-0.38,"1,075.00","1,045.00","1,066.00","8,315","8,782,604.00"
138,2024-09-10,"1,064.00",-0.65,"1,092.00","1,053.00","1,075.00","6,920","7,397,654.70"
139,2024-09-09,"1,071.00",-2.19,"1,115.00","1,060.00","1,114.90","7,512","8,139,862.30"
140,2024-09-08,"1,095.00",2.35,"1,131.00","1,065.00","1,065.00","26,197","29,139,185.80"
141,2024-09-05,"1,069.90",2.28,"1,088.30","1,030.10","1,047.00","6,047","6,385,484.60"
142,2024-09-04,"1,046.00",-2.15,"1,090.00","1,045.20","1,070.00","7,642","8,130,068.50"
143,2024-09-03,"1,069.00",0.28,"1,087.30","1,051.00","1,070.00","5,079","5,434,756.80"
144,2024-09-02,"1,066.00",2.7,"1,080.00","1,030.00","1,030.00","9,287","9,836,768.20"
145,2024-09-01,"1,038.00",-2.18,"1,135.00","1,030.00","1,045.00","8,243","8,635,180.90"
146,2024-08-29,"1,061.10",-2.29,"1,080.00","1,057.50","1,080.00","10,329","10,997,426.20"
147,2024-08-28,"1,086.00",-1.54,"1,129.00","1,060.10","1,124.00","13,132","14,434,337.10"
148,2024-08-27,"1,103.00",-2.99,"1,159.70","1,095.00","1,159.00","20,632","23,104,362.40"
149,2024-08-25,"1,137.00",0.99,"1,175.00","1,095.00","1,112.00","28,636","32,395,619.30"
150,2024-08-22,"1,125.90",3.48,"1,125.90","1,088.00","1,099.00","21,372","23,624,843.70"
151,2024-08-21,"1,088.00",-1.18,"1,113.00","1,080.20","1,100.00","7,985","8,709,693.40"
152,2024-08-18,"1,101.00",-0.13,"1,123.90","1,099.00","1,105.00","15,458","17,152,767.00"
153,2024-08-15,"1,102.40",-1.92,"1,146.00","1,100.00","1,140.00","20,841","23,228,694.90"
154,2024-08-14,"1,124.00",0.36,"1,140.00","1,095.00","1,103.00","19,286","21,415,438.60"
155,2024-08-13,"1,120.00",-0.09,"1,143.40","1,111.00","1,135.00","24,773","27,896,878.70"
156,2024-08-12,"1,121.00",0.99,"1,177.00","1,100.00","1,132.20","18,045","20,243,450.80"
157,2024-08-11,"1,110.00",4.03,"1,127.10","1,088.00","1,088.00","27,523","30,388,360.50"
158,2024-08-08,"1,067.00",0.66,"1,104.00","1,060.00","1,060.00","16,329","17,552,471.00"
159,2024-08-07,"1,060.00",0.66,"1,070.00","1,040.00","1,050.00","16,879","17,868,361.10"
160,2024-08-06,"1,053.00",-2.05,"1,080.00","1,050.00","1,060.50","12,223","13,004,901.50"
161,2024-08-05,"1,075.00",-0.19,"1,142.40","1,060.10","1,061.00","13,401","14,450,604.30"
162,2024-08-01,"1,077.00",-0.74,"1,106.70","1,072.40","1,090.00","16,215","17,576,459.40"
163,2024-07-31,"1,085.00",0.28,"1,119.90","1,080.00","1,084.00","21,731","23,683,862.00"
164,2024-07-30,"1,082.00",1.5,"1,113.00","1,060.00","1,070.00","23,125","24,824,477.30"
165,2024-07-29,"1,066.00",-3.18,"1,123.00","1,066.00","1,123.00","20,079","21,626,979.20"
166,2024-07-28,"1,101.00",-2.91,"1,175.00","1,081.00","1,156.60","24,032","26,622,660.80"
167,2024-07-25,"1,134.00",4.61,"1,143.00","1,081.00","1,085.00","25,298","28,511,087.10"
168,2024-07-24,"1,084.00",-2.87,"1,118.00","1,073.10","1,116.00","15,238","16,642,295.20"
169,2024-07-23,"1,116.00",0.45,"1,126.00","1,110.00","1,111.00","28,142","31,494,877.90"
170,2024-07-22,"1,111.00",1.09,"1,122.00","1,084.00","1,100.00","23,216","25,682,706.40"
171,2024-07-21,"1,099.00",1.76,"1,102.00","1,054.00","1,068.10","19,092","20,813,860.10"
172,2024-07-18,"1,080.00",1.31,"1,110.00","1,075.00","1,087.30","21,021","22,992,777.00"
173,2024-07-17,"1,066.00",0.09,"1,097.90","1,050.00","1,065.00","27,671","29,451,189.90"
174,2024-07-16,"1,065.00",3.8,"1,070.00","1,032.00","1,040.00","10,683","11,260,011.60"
175,2024-07-15,"1,026.00",-4.02,"1,090.30","1,025.00","1,090.30","18,167","18,966,273.60"
176,2024-07-14,"1,069.00",1.14,"1,121.00","1,055.00","1,078.10","13,920","14,828,790.50"
177,2024-07-11,"1,057.00",-0.75,"1,100.00","1,045.00","1,045.00","12,628","13,343,556.70"
178,2024-07-10,"1,065.00",-0.47,"1,120.00","1,049.00","1,089.90","13,161","14,222,728.30"
