#,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
1,2025-04-21,"5,412.74",0.78,"5,450.00","5,300.30","5,320.00",734,"3,959,349.50"
2,2025-04-20,"5,370.83",0.33,"5,460.00","5,257.10","5,300.00",866,"4,598,367.00"
3,2025-04-17,"5,352.95",1.5,"5,420.50","5,200.00","5,200.50","4,670","24,482,029.20"
4,2025-04-16,"5,274.00",0.65,"5,343.00","5,136.00","5,136.00",386,"2,023,808.80"
5,2025-04-15,"5,240.10",-3.71,"5,450.00","5,126.00","5,440.00","5,221","27,319,797.70"
6,2025-04-13,"5,442.00",4.64,"5,505.00","5,110.00","5,110.00","1,641","8,749,835.40"
7,2025-04-10,"5,200.70",1.25,"5,220.00","5,035.40","5,035.40","3,059","15,882,687.10"
8,2025-04-09,"5,136.58",0.89,"5,190.00","5,015.00","5,189.00","3,199","16,389,836.00"
9,2025-04-08,"5,091.31",-1.35,"5,115.00","5,033.00","5,057.70",409,"2,078,222.80"
10,2025-04-07,"5,160.90",2.69,"5,189.70","5,000.00","5,026.00","1,699","8,709,687.80"
11,2025-04-03,"5,025.68",-1.24,"5,130.00","5,015.00","5,088.75",980,"4,927,837.10"
12,2025-04-02,"5,088.75",-0.1,"5,094.00","4,995.00","4,995.00",147,"741,185.00"
13,2025-04-01,"5,094.05",0.57,"5,109.00","5,011.00","5,011.00","2,958","15,056,025.60"
14,2025-03-30,"5,065.00",-1.53,"5,145.00","5,003.00","5,145.00",521,"2,650,225.00"
15,2025-03-27,"5,143.74",3.07,"5,151.00","4,920.00","5,090.00","3,247","16,358,721.00"
16,2025-03-26,"4,990.47",-0.42,"5,078.00","4,951.70","5,030.00",112,"562,326.00"
17,2025-03-25,"5,011.73",-1.92,"5,179.00","5,007.50","5,009.90",384,"1,927,080.50"
18,2025-03-24,"5,109.65",1.88,"5,197.00","4,999.00","4,999.00","1,998","10,023,110.20"
19,2025-03-23,"5,015.12",-0.79,"5,079.00","5,005.00","5,070.00","1,303","6,530,904.00"
20,2025-03-20,"5,055.00",-1.58,"5,080.00","5,050.00","5,051.10",326,"1,647,155.00"
21,2025-03-19,"5,136.00",0.8,"5,168.00","4,905.10","4,994.00","4,754","23,545,119.00"
22,2025-03-18,"5,095.10",-0.1,"5,197.90","5,095.00","5,100.00","1,879","9,754,437.00"
23,2025-03-17,"5,100.00",0.39,"5,148.00","4,980.00","4,991.00",506,"2,569,935.10"
24,2025-03-16,"5,080.00",-2.31,"5,150.00","4,895.00","5,096.00","1,427","7,171,980.00"
25,2025-03-12,"5,200.00",0.42,"5,200.00","5,004.00","5,077.00",573,"2,928,070.10"
26,2025-03-11,"5,178.00",0.5,"5,180.00","5,000.10","5,080.00",941,"4,803,497.30"
27,2025-03-10,"5,152.00",1.6,"5,200.00","5,001.10","5,080.00","5,637","29,194,484.60"
28,2025-03-09,"5,071.10",-2.48,"5,273.00","4,900.00","5,210.00","7,730","38,474,132.00"
29,2025-03-06,"5,200.00",0.78,"5,263.20","5,006.00","5,056.80","3,710","19,241,683.20"
30,2025-03-05,"5,160.00",1.36,"5,200.00","4,989.20","4,989.20","9,092","46,632,084.90"
31,2025-03-04,"5,091.00",6.66,"5,091.00","4,700.00","4,700.00","11,457","55,063,325.50"
32,2025-03-03,"4,773.00",0.52,"4,932.70","4,720.00","4,751.00","2,653","12,640,113.70"
33,2025-03-02,"4,748.10",-2,"4,850.00","4,748.10","4,845.00","1,153","5,525,377.00"
34,2025-02-27,"4,845.00",0,"4,937.00","4,841.00","4,937.00",566,"2,759,941.60"
35,2025-02-25,"4,845.00",-0.96,"4,910.00","4,830.10","4,840.00",482,"2,339,255.00"
36,2025-02-24,"4,892.00",-1.47,"4,990.00","4,892.00","4,990.00",624,"3,065,344.50"
37,2025-02-23,"4,964.90",2.1,"5,000.00","4,673.00","4,863.00","1,913","9,162,873.30"
38,2025-02-20,"4,863.00",-1.78,"4,995.00","4,863.00","4,987.00",535,"2,634,834.50"
39,2025-02-18,"4,951.00",-2.44,"5,111.00","4,951.00","5,074.00","1,158","5,820,167.00"
40,2025-02-17,"5,074.90",4.4,"5,074.90","4,870.00","4,946.90","1,659","8,280,800.90"
41,2025-02-16,"4,861.00",0.64,"4,919.00","4,800.00","4,800.00","1,363","6,612,395.90"
42,2025-02-13,"4,830.00",-0.41,"4,880.00","4,800.00","4,820.00",800,"3,858,633.80"
43,2025-02-12,"4,850.00",-0.82,"4,980.00","4,825.00","4,890.00","1,271","6,159,590.60"
44,2025-02-11,"4,890.00",-2.1,"4,995.00","4,862.00","4,995.00","1,217","5,949,580.30"
45,2025-02-10,"4,995.00",0.91,"5,000.00","4,900.00","5,000.00","2,054","10,171,333.40"
46,2025-02-09,"4,950.00",-1.12,"5,010.00","4,910.10","5,006.00","3,918","19,533,049.00"
47,2025-02-06,"5,006.00",-2.78,"5,090.00","5,004.00","5,075.00","2,661","13,457,902.90"
48,2025-02-05,"5,149.00",-1.89,"5,150.00","4,900.00","5,150.00","5,252","26,361,147.10"
49,2025-02-04,"5,248.00",-3.64,"5,446.00","4,927.50","5,446.00","3,682","18,672,398.00"
50,2025-02-03,"5,446.00",3.93,"5,446.00","5,005.00","5,175.00","4,039","20,570,541.90"
51,2025-02-02,"5,240.00",2.79,"5,248.00","5,010.00","5,010.00","3,746","19,400,864.00"
52,2025-01-28,"5,098.00",0.95,"5,109.00","4,949.00","4,949.00",909,"4,565,016.20"
