#,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
1,2025-04-21,"1,056.77",0.28,"1,072.00","1,040.00","1,040.00","2,758","2,925,484.00"
2,2025-04-20,"1,053.86",-2.2,"1,098.00","1,042.00","1,056.00","1,238","1,312,785.10"
3,2025-04-17,"1,077.53",1.52,"1,090.00","1,030.20","1,045.00","4,576","4,835,342.40"
4,2025-04-16,"1,061.41",-1.27,"1,096.00","1,052.00","1,096.00","1,703","1,808,806.20"
5,2025-04-15,"1,075.06",2.03,"1,084.00","1,033.20","1,033.20","3,290","3,515,981.00"
6,2025-04-13,"1,053.68",-1.77,"1,068.00","1,041.00","1,051.20","1,934","2,039,864.00"
7,2025-04-10,"1,072.64",0.52,"1,088.00","1,038.50","1,088.00","1,213","1,293,124.50"
8,2025-04-09,"1,067.11",0.6,"1,081.90","1,051.00","1,081.90","2,187","2,325,858.40"
9,2025-04-08,"1,060.73",1.87,"1,062.00","1,015.10","1,062.00","3,268","3,384,883.50"
10,2025-04-07,"1,041.22",-2.79,"1,085.00","1,036.10","1,050.00","2,670","2,806,567.00"
11,2025-04-03,"1,071.05",0.38,"1,087.90","1,067.00","1,087.90","9,557","10,251,341.00"
12,2025-04-02,"1,066.98",0.77,"1,085.00","1,040.00","1,040.00","4,955","5,303,303.40"
13,2025-04-01,"1,058.82",-2.84,"1,086.30","1,052.10","1,069.00","6,474","6,887,427.90"
14,2025-03-30,"1,089.80",0.87,"1,100.00","1,058.80","1,089.90","7,032","7,633,867.80"
15,2025-03-27,"1,080.38",7.66,"1,087.00",995.10,995.10,"13,071","13,860,308.40"
16,2025-03-26,"1,003.52",0.72,"1,016.00",996.00,"1,000.00","3,615","3,646,291.20"
17,2025-03-25,996.37,-4.13,"1,040.00",991.00,"1,020.60","4,847","4,856,061.00"
18,2025-03-24,"1,039.34",0.72,"1,052.50","1,012.00","1,052.50","4,663","4,810,967.60"
19,2025-03-23,"1,031.94",-2.71,"1,050.00","1,025.10","1,050.00","5,135","5,339,010.00"
20,2025-03-20,"1,060.69",-0.87,"1,091.00","1,051.00","1,091.00","2,785","2,956,613.00"
21,2025-03-19,"1,070.00",-1.42,"1,086.00","1,066.10","1,086.00","2,640","2,828,166.00"
22,2025-03-18,"1,085.40",-2.13,"1,125.00","1,085.20","1,125.00","2,392","2,612,492.50"
23,2025-03-17,"1,109.00",1.46,"1,109.00","1,080.00","1,080.00","3,868","4,241,109.90"
24,2025-03-16,"1,093.00",-0.55,"1,100.00","1,075.00","1,099.00","5,100","5,536,847.30"
25,2025-03-12,"1,099.00",0.93,"1,131.00","1,088.50","1,110.60","3,930","4,320,475.00"
26,2025-03-11,"1,088.90",-2.77,"1,139.00","1,088.90","1,139.00","8,914","9,844,233.90"
27,2025-03-10,"1,119.90",-1.42,"1,174.00","1,100.10","1,113.30","16,696","18,628,009.40"
28,2025-03-09,"1,136.00",-2.91,"1,168.00","1,130.30","1,146.60","3,989","4,546,559.90"
29,2025-03-06,"1,170.00",1.39,"1,198.00","1,131.00","1,177.00","3,421","3,945,978.80"
30,2025-03-05,"1,154.00",2.12,"1,177.00","1,131.00","1,140.00","6,754","7,794,021.20"
31,2025-03-04,"1,130.00",-5.83,"1,201.00","1,130.00","1,185.00","12,015","13,903,043.60"
32,2025-03-03,"1,200.00",-0.99,"1,224.00","1,190.10","1,200.00","11,913","14,298,145.00"
33,2025-03-02,"1,212.00",1.08,"1,220.00","1,190.00","1,200.00","12,877","15,511,609.50"
34,2025-02-27,"1,199.00",0.25,"1,245.00","1,196.60","1,219.90","7,274","8,783,588.70"
35,2025-02-25,"1,196.00",0.5,"1,213.80","1,175.00","1,190.50","7,242","8,670,395.80"
36,2025-02-24,"1,190.00",-1.57,"1,230.00","1,190.00","1,200.00","9,454","11,421,210.10"
37,2025-02-23,"1,209.00",-0.49,"1,224.00","1,168.00","1,190.70","15,995","19,312,984.20"
38,2025-02-20,"1,215.00",-0.57,"1,291.00","1,190.00","1,210.00","10,731","13,128,171.80"
39,2025-02-18,"1,222.00",-3.7,"1,268.00","1,220.00","1,244.00","10,514","12,986,600.50"
40,2025-02-17,"1,269.00",3.68,"1,285.00","1,224.00","1,224.00","24,296","30,659,664.90"
41,2025-02-16,"1,224.00",6.42,"1,225.00","1,150.00","1,150.00","21,964","26,339,888.20"
42,2025-02-13,"1,150.20",-0.54,"1,181.10","1,150.00","1,179.50","11,860","13,689,062.50"
43,2025-02-12,"1,156.40",-1.83,"1,200.00","1,156.40","1,200.00","8,452","9,965,031.00"
44,2025-02-11,"1,178.00",-1.01,"1,207.00","1,169.00","1,190.00","10,757","12,723,234.10"
45,2025-02-10,"1,190.00",3.49,"1,223.00","1,150.00","1,150.00","31,153","37,106,638.60"
46,2025-02-09,"1,149.90",-0.87,"1,174.00","1,145.00","1,160.00","10,268","11,815,781.00"
47,2025-02-06,"1,160.00",-1.94,"1,170.00","1,130.00","1,170.00","22,302","25,676,379.50"
48,2025-02-05,"1,183.00",-2.55,"1,238.00","1,172.50","1,194.10","18,372","21,955,501.40"
49,2025-02-04,"1,214.00",-1.94,"1,262.00","1,196.00","1,262.00","16,261","19,655,377.80"
50,2025-02-03,"1,238.00",4.21,"1,306.80","1,210.00","1,210.00","30,452","38,397,591.70"
51,2025-02-02,"1,188.00",10,"1,188.00","1,100.00","1,100.00","27,998","32,507,595.20"
52,2025-01-28,"1,080.00",0.93,"1,110.00","1,055.00","1,055.00","7,484","8,064,829.00"
53,2025-01-27,"1,070.00",1.21,"1,080.00","1,042.00","1,042.00","6,423","6,804,121.00"
54,2025-01-26,"1,057.20",1.46,"1,077.00","1,023.00","1,023.00","6,319","6,718,740.30"
55,2025-01-23,"1,042.00",0.19,"1,060.20","1,019.20","1,019.20","2,555","2,641,701.00"
56,2025-01-22,"1,040.00",-0.48,"1,058.00","1,024.10","1,058.00","6,532","6,753,969.20"
57,2025-01-21,"1,045.00",-0.48,"1,047.00","1,029.00","1,029.00","2,220","2,303,313.80"
58,2025-01-20,"1,050.00",-0.47,"1,059.00","1,038.10","1,039.00","3,004","3,142,384.60"
59,2025-01-19,"1,055.00",2.61,"1,055.00","1,007.70","1,007.70","6,177","6,422,519.40"
60,2025-01-16,"1,028.20",0.02,"1,049.00","1,011.00","1,011.00","5,280","5,458,223.10"
61,2025-01-15,"1,028.00",3.2,"1,030.00",997.00,"1,010.00","17,251","17,562,316.30"
62,2025-01-13,996.10,0.21,"1,014.00",994.00,994.00,"4,747","4,759,899.60"
63,2025-01-12,994.00,-1.3,"1,010.00",990.30,990.30,"1,968","1,966,660.00"
64,2025-01-09,"1,007.10",-0.89,"1,044.80","1,000.20","1,000.20","2,441","2,476,199.00"
65,2025-01-08,"1,016.10",1.61,"1,059.00","1,000.50","1,020.00","6,469","6,686,890.00"
66,2025-01-07,"1,000.00",-0.21,"1,020.00",990.00,"1,001.60","4,314","4,334,104.00"
67,2025-01-06,"1,002.10",0.71,"1,025.00",995.00,995.00,"2,975","2,989,766.00"
68,2025-01-05,995.00,-2.16,"1,015.00",985.20,"1,000.00","3,278","3,265,496.80"
69,2025-01-02,"1,017.00",1.5,"1,017.00",982.00,985.10,"3,190","3,169,895.00"
70,2025-01-01,"1,002.00",-1.18,"1,031.00",976.00,994.00,"2,910","2,917,353.00"
71,2024-12-31,"1,014.00",-3.43,"1,070.00",945.00,"1,030.00","16,476","16,211,613.10"
72,2024-12-29,"1,050.00",0.54,"1,110.00","1,020.00","1,035.00","19,459","20,813,476.70"
73,2024-12-26,"1,044.40",-1.46,"1,058.00","1,019.00","1,039.00","3,880","4,004,807.00"
74,2024-12-24,"1,059.90",3.91,"1,061.00","1,004.00","1,004.10","4,974","5,180,754.50"
75,2024-12-23,"1,020.00",1.39,"1,026.10",990.00,"1,026.10",911,"925,054.10"
76,2024-12-22,"1,006.00",-2.24,"1,048.90","1,005.10","1,025.00","10,594","10,799,776.90"
77,2024-12-19,"1,029.10",-0.18,"1,051.00","1,015.10","1,025.80","19,371","20,163,356.00"
78,2024-12-18,"1,031.00",-2.78,"1,080.00","1,031.00","1,040.50","5,428","5,742,467.60"
79,2024-12-17,"1,060.50",0.05,"1,080.00","1,020.00","1,040.00","5,757","6,006,545.00"
80,2024-12-16,"1,060.00",-5.36,"1,140.00","1,051.00","1,140.00","6,277","6,671,245.20"
81,2024-12-12,"1,120.00",-2.01,"1,144.40","1,099.10","1,122.00","9,708","10,759,039.60"
82,2024-12-11,"1,143.00",1.15,"1,154.00","1,107.00","1,152.00","7,376","8,384,271.40"
83,2024-12-10,"1,130.00",1.25,"1,134.90","1,095.00","1,121.00","9,712","10,894,377.30"
84,2024-12-09,"1,116.00",-0.37,"1,143.00","1,100.00","1,141.00","13,851","15,484,918.00"
85,2024-12-08,"1,120.10",-1.57,"1,171.00","1,118.20","1,143.00","16,976","19,428,076.40"
86,2024-12-05,"1,138.00",3.45,"1,180.00","1,080.10","1,122.00","46,319","52,811,729.60"
87,2024-12-04,"1,100.00",2.04,"1,109.00","1,065.20","1,099.50","13,152","14,411,143.80"
88,2024-12-03,"1,078.00",0.84,"1,117.00","1,065.00","1,070.00","5,021","5,455,571.70"
89,2024-12-02,"1,069.00",-0.83,"1,099.50","1,061.10","1,099.50","9,352","10,044,023.60"
