#,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
1,2025-04-21,560.37,0.65,574.00,545.70,545.70,"229,878","129,610,724.20"
2,2025-04-20,556.74,-0.03,561.00,547.20,556.00,"259,021","143,714,195.40"
3,2025-04-17,556.90,-1.01,573.80,550.60,573.80,"204,061","114,663,435.20"
4,2025-04-16,562.58,1.02,570.00,555.00,555.00,"272,845","153,247,868.90"
5,2025-04-15,556.91,4.1,561.00,530.00,530.00,"295,111","162,584,867.90"
6,2025-04-13,534.96,2.36,539.00,512.20,512.20,"189,820","100,881,332.70"
7,2025-04-10,522.63,2.43,532.00,505.00,505.00,"253,511","132,266,240.90"
8,2025-04-09,510.21,0.16,517.50,506.40,516.00,"70,138","35,962,666.70"
9,2025-04-08,509.39,0.78,511.40,495.10,506.00,"65,002","32,669,500.60"
10,2025-04-07,505.45,-1.41,517.00,504.00,512.60,"65,513","33,391,348.60"
11,2025-04-03,512.66,0.27,525.00,510.20,516.90,"116,887","60,502,123.80"
12,2025-04-02,511.28,0.69,520.00,505.20,505.20,"74,411","38,301,675.20"
13,2025-04-01,507.78,-1.88,520.00,504.90,516.00,"105,487","53,794,065.30"
14,2025-03-30,517.50,0.59,527.50,510.00,511.00,"141,806","73,805,159.20"
15,2025-03-27,514.49,1.49,517.00,500.40,500.40,"110,266","56,588,949.00"
16,2025-03-26,506.93,2.57,509.90,488.00,496.00,"72,931","36,569,862.60"
17,2025-03-25,494.25,-2.5,507.50,493.00,501.00,"102,794","51,304,836.20"
18,2025-03-24,506.93,0.69,510.00,498.30,498.30,"89,760","45,387,570.40"
19,2025-03-23,503.46,0.58,512.00,490.60,490.60,"129,509","65,411,852.40"
20,2025-03-20,500.56,-1.45,510.00,497.80,497.80,"95,857","48,226,072.50"
21,2025-03-19,507.90,-1.23,520.00,504.00,504.00,"44,484","22,673,730.00"
22,2025-03-18,514.20,0.18,522.90,513.00,519.00,"44,326","22,906,852.20"
23,2025-03-17,513.30,-1.29,523.90,513.00,519.20,"85,271","43,972,732.30"
24,2025-03-16,520.00,-1.33,535.90,517.70,530.00,"217,169","114,817,298.00"
25,2025-03-12,527.00,-0.57,540.60,520.00,540.60,"319,765","169,887,138.40"
