#,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
1,2025-04-21,"5,935.33",-1.55,"6,100.00","5,885.00","6,100.00","1,196","7,145,710.30"
2,2025-04-20,"6,029.00",1.07,"6,081.00","5,860.00","6,080.00","1,140","6,803,643.50"
3,2025-04-17,"5,965.35",-0.11,"6,091.00","5,861.00","6,091.00",770,"4,597,188.00"
4,2025-04-16,"5,972.00",0.13,"6,083.40","5,920.00","6,083.40",579,"3,468,454.00"
5,2025-04-15,"5,964.17",-0.82,"6,126.00","5,932.00","5,940.00",982,"5,896,844.00"
6,2025-04-13,"6,013.36",-1.45,"6,200.00","5,981.00","5,981.00","1,120","6,778,123.50"
7,2025-04-10,"6,102.13",-0.04,"6,220.00","6,000.00","6,219.90","1,862","11,378,931.00"
8,2025-04-09,"6,104.75",-0.49,"6,330.00","5,990.00","6,250.00","3,153","19,251,594.60"
9,2025-04-08,"6,134.86",0.84,"6,198.00","5,867.00","5,962.20","2,458","14,700,755.80"
10,2025-04-07,"6,083.61",-3.27,"6,320.00","6,000.00","6,301.00","3,044","18,708,797.80"
11,2025-04-03,"6,289.14",-1.78,"6,661.60","6,223.00","6,531.00","3,671","23,588,548.30"
12,2025-04-02,"6,403.05",9.96,"6,405.20","5,732.00","5,939.00","9,596","59,780,852.70"
13,2025-04-01,"5,822.95",4.06,"5,950.00","5,486.00","5,501.00","4,253","24,288,715.40"
14,2025-03-30,"5,595.53",-0.24,"5,750.00","5,550.00","5,640.00","2,486","14,064,222.20"
15,2025-03-27,"5,609.16",6.55,"5,698.00","5,201.00","5,201.00","4,977","27,549,225.00"
16,2025-03-26,"5,264.20",1.01,"5,296.00","5,125.00","5,125.00",250,"1,310,208.00"
17,2025-03-25,"5,211.40",-1.91,"5,415.00","5,210.00","5,415.00","1,426","7,469,599.00"
18,2025-03-24,"5,312.82",1.12,"5,400.00","5,192.00","5,253.20",526,"2,794,400.70"
19,2025-03-23,"5,254.00",-2.9,"5,409.90","5,254.00","5,310.00",555,"2,947,468.00"
20,2025-03-20,"5,410.69",0.29,"5,487.00","5,305.00","5,305.00",346,"1,872,051.90"
21,2025-03-19,"5,395.00",0.73,"5,500.00","5,390.00","5,463.10",472,"2,560,146.10"
22,2025-03-18,"5,356.00",-0.65,"5,540.00","5,356.00","5,495.00",843,"4,600,002.60"
23,2025-03-17,"5,391.00",-3.73,"5,699.00","5,379.00","5,490.00",545,"2,968,439.70"
24,2025-03-16,"5,600.00",5.34,"5,600.00","5,219.00","5,300.00","2,307","12,322,535.90"
25,2025-03-12,"5,316.00",0.3,"5,405.00","5,300.00","5,405.00","2,205","11,760,023.00"
26,2025-03-11,"5,300.00",-1.87,"5,489.90","5,300.00","5,489.90",943,"5,041,944.00"
27,2025-03-10,"5,401.00",-1.78,"5,588.00","5,400.00","5,450.00",890,"4,842,827.00"
28,2025-03-09,"5,499.00",-0.81,"5,640.00","5,452.10","5,640.00","1,105","6,079,993.40"
29,2025-03-06,"5,543.90",-0.29,"5,595.90","5,500.00","5,500.00",638,"3,529,573.00"
30,2025-03-05,"5,560.00",0.54,"5,599.00","5,490.00","5,491.00",571,"3,165,286.50"
31,2025-03-04,"5,530.00",-0.92,"5,650.00","5,511.00","5,511.00",851,"4,740,405.00"
32,2025-03-03,"5,581.10",-0.83,"5,730.00","5,520.10","5,724.00","1,271","7,158,142.50"
33,2025-03-02,"5,628.00",1.04,"5,633.90","5,500.10","5,590.00","1,269","7,077,098.50"
34,2025-02-27,"5,570.00",1.29,"5,608.90","5,450.00","5,554.90",661,"3,666,192.00"
35,2025-02-25,"5,499.00",-2.67,"5,750.00","5,428.00","5,537.00","2,109","11,632,404.50"
36,2025-02-24,"5,650.00",-0.18,"5,759.00","5,585.00","5,759.00",363,"2,038,803.10"
37,2025-02-23,"5,660.00",-1.46,"5,790.00","5,570.00","5,750.00",757,"4,295,088.00"
