#,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
1,2025-04-21,773.23,6.19,800.00,729.00,742.70,"41,075","31,189,699.40"
2,2025-04-20,728.18,-2.44,740.00,718.00,735.00,"20,779","15,113,781.40"
3,2025-04-17,746.40,-1.71,773.00,728.00,773.00,"26,009","19,599,243.80"
4,2025-04-16,759.36,-1.19,798.60,758.00,783.00,"15,399","11,793,159.00"
5,2025-04-15,768.54,1.4,790.00,755.00,770.00,"26,631","20,588,148.50"
6,2025-04-13,757.93,0.25,772.10,746.10,771.00,"14,120","10,709,533.20"
7,2025-04-10,756.05,-2.14,788.00,750.00,775.00,"30,261","23,241,593.80"
8,2025-04-09,772.61,-0.65,800.00,762.20,762.20,"3,741","2,902,595.80"
9,2025-04-08,777.70,0.01,780.00,764.00,779.00,"11,667","8,980,962.60"
10,2025-04-07,777.64,-1.88,800.00,776.20,800.00,"11,202","8,757,349.00"
11,2025-04-03,792.55,-1.76,822.00,788.00,790.70,"27,692","22,154,692.00"
12,2025-04-02,806.75,1.97,819.00,775.40,775.40,"25,749","20,752,780.30"
13,2025-04-01,791.19,-1.19,816.70,783.00,816.70,"16,471","13,097,689.90"
14,2025-03-30,800.70,2.42,810.00,769.10,797.30,"24,321","19,401,561.00"
15,2025-03-27,781.76,1.28,800.00,757.10,757.10,"15,234","11,917,266.00"
16,2025-03-26,771.88,0.42,795.00,754.60,780.00,"13,805","10,708,446.80"
17,2025-03-25,768.68,-4.53,793.00,764.00,790.00,"20,393","15,854,030.90"
18,2025-03-24,805.13,1.76,815.00,784.00,800.00,"17,492","14,034,578.90"
19,2025-03-23,791.21,-7.27,854.00,780.00,854.00,"41,296","33,147,974.20"
20,2025-03-20,853.20,-10,929.10,853.20,929.10,"17,151","14,647,065.60"
21,2025-03-19,948.00,7.24,960.00,798.00,866.40,"120,276","102,624,580.10"
22,2025-03-18,884.00,7.28,901.00,803.70,835.00,"119,190","100,463,246.70"
23,2025-03-17,824.00,2.87,834.70,795.00,795.00,"38,875","31,874,188.10"
24,2025-03-16,801.00,-1.11,824.00,800.00,824.00,"19,928","16,163,374.80"
25,2025-03-12,810.00,1.38,820.00,783.10,784.00,"32,806","26,399,242.80"
26,2025-03-11,799.00,-2.56,830.00,789.20,804.00,"35,598","28,949,394.40"
27,2025-03-10,820.00,0.26,867.00,804.00,834.20,"85,540","70,639,866.20"
28,2025-03-09,817.90,9.99,817.90,758.40,758.40,"54,311","44,376,440.40"
29,2025-03-06,743.60,10,743.60,679.00,682.00,"65,792","47,512,396.10"
30,2025-03-05,676.00,-3.74,729.30,668.50,715.00,"47,637","32,846,908.50"
31,2025-03-04,702.30,-1.64,732.00,690.10,715.00,"41,374","29,282,243.30"
32,2025-03-03,714.00,-6.42,790.00,686.70,765.00,"96,820","69,979,222.30"
33,2025-03-02,763.00,-3.42,805.80,760.00,805.80,"22,390","17,292,728.90"
34,2025-02-27,790.00,-7.17,852.00,765.90,852.00,"81,222","64,453,879.10"
35,2025-02-25,851.00,8.41,851.00,769.30,769.30,"49,460","39,824,027.30"
36,2025-02-24,785.00,-5.42,860.00,765.20,814.00,"79,266","63,617,240.00"
37,2025-02-23,830.00,1.84,855.00,798.00,801.00,"40,602","33,714,149.80"
38,2025-02-20,815.00,-5.78,865.00,815.00,865.00,"28,307","23,390,304.50"
39,2025-02-18,865.00,-8.95,931.00,855.00,931.00,"45,378","39,147,792.30"
40,2025-02-17,950.00,9.45,950.00,837.90,885.30,"80,105","69,770,262.30"
41,2025-02-16,868.00,-2.24,902.00,840.00,887.00,"35,784","30,688,381.80"
42,2025-02-13,887.90,-2.43,929.90,853.60,891.80,"58,684","51,893,580.40"
43,2025-02-12,910.00,7.18,925.90,865.90,865.90,"29,452","26,671,171.20"
44,2025-02-11,849.00,-10,"1,010.80",849.00,924.50,"113,139","103,868,963.70"
45,2025-02-10,943.30,4.46,950.00,877.90,921.00,"111,749","102,295,584.40"
46,2025-02-09,903.00,-4.64,928.00,882.00,928.00,"46,470","41,777,217.90"
47,2025-02-06,946.90,-7.89,"1,007.50",925.20,"1,007.50","69,332","65,415,036.20"
48,2025-02-05,"1,028.00",9.01,"1,028.00",905.60,955.00,"101,311","96,891,173.10"
49,2025-02-04,943.00,-4.02,"1,080.00",940.00,962.90,"104,561","102,554,899.10"
50,2025-02-03,982.50,10,982.50,911.00,911.00,"182,171","173,908,301.00"
51,2025-02-02,893.20,10,893.20,795.80,795.80,"202,412","174,259,077.20"
52,2025-01-28,812.00,-2.87,850.00,793.80,850.00,"98,142","80,930,947.80"
53,2025-01-27,836.00,6.23,836.00,771.30,771.30,"115,088","94,215,841.70"
