#,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
1,2025-04-21,994.32,-0.57,"1,006.90",988.00,990.00,"5,371","5,329,969.80"
2,2025-04-20,"1,000.01",-0.92,"1,015.00",996.00,996.10,"3,783","3,792,151.50"
3,2025-04-17,"1,009.31",0.36,"1,019.50",986.00,986.00,"3,938","3,983,467.60"
4,2025-04-16,"1,005.68",-0.11,"1,015.00",986.70,986.70,"2,093","2,098,572.20"
5,2025-04-15,"1,006.77",0.43,"1,015.00",995.20,"1,002.00","1,462","1,469,034.00"
6,2025-04-13,"1,002.44",-0.97,"1,030.00",995.00,"1,012.20","3,936","3,959,436.80"
7,2025-04-10,"1,012.25",-0.71,"1,025.00","1,006.00","1,006.00","3,686","3,736,234.00"
8,2025-04-09,"1,019.46",1.33,"1,030.00","1,005.00","1,005.00","5,508","5,619,720.80"
9,2025-04-08,"1,006.04",-1.07,"1,029.00","1,003.00","1,005.00","2,843","2,858,987.20"
10,2025-04-07,"1,016.95",-0.89,"1,050.00","1,006.00","1,006.00","2,503","2,584,910.40"
11,2025-04-03,"1,026.09",-1.31,"1,050.00","1,013.00","1,019.20","5,028","5,155,447.00"
12,2025-04-02,"1,039.71",1.92,"1,040.00","1,000.00","1,000.00","12,000","12,388,890.00"
13,2025-04-01,"1,020.16",-1.43,"1,060.00","1,008.00","1,016.00","2,378","2,430,079.90"
14,2025-03-30,"1,034.95",1.59,"1,054.00","1,000.00","1,000.00","6,128","6,243,506.60"
15,2025-03-27,"1,018.75",1.69,"1,028.00",987.90,999.00,"4,449","4,494,842.40"
16,2025-03-26,"1,001.80",1.51,"1,010.00",980.70,"1,000.00","3,670","3,675,175.00"
17,2025-03-25,986.90,-4.74,"1,030.00",982.00,"1,020.00","11,884","11,875,273.00"
18,2025-03-24,"1,035.97",0.24,"1,047.30","1,016.00","1,016.00","4,971","5,132,619.50"
19,2025-03-23,"1,033.45",-1.39,"1,064.90","1,030.20","1,064.90","7,307","7,585,889.60"
20,2025-03-20,"1,047.97",-1.4,"1,078.90","1,045.00","1,045.00","3,708","3,889,155.00"
21,2025-03-19,"1,062.90",-0.65,"1,076.00","1,050.10","1,050.10","6,522","6,900,419.50"
22,2025-03-18,"1,069.90",0.94,"1,100.00","1,040.00","1,040.00","5,967","6,343,052.30"
23,2025-03-17,"1,059.90",0.27,"1,073.90","1,037.00","1,037.00","9,110","9,645,162.80"
24,2025-03-16,"1,057.00",0.86,"1,068.80","1,040.00","1,060.00","9,925","10,388,097.10"
25,2025-03-12,"1,048.00",1.95,"1,048.50","1,015.00","1,015.00","11,037","11,429,651.80"
26,2025-03-11,"1,028.00",-2.04,"1,070.00","1,010.10","1,049.00","6,010","6,163,028.80"
27,2025-03-10,"1,049.40",-1,"1,081.00","1,039.00","1,081.00","3,097","3,272,207.30"
28,2025-03-09,"1,060.00",-3.02,"1,111.00","1,054.50","1,090.00","12,251","13,132,833.50"
29,2025-03-06,"1,093.00",-0.65,"1,120.00","1,080.00","1,101.00","5,558","6,062,585.10"
30,2025-03-05,"1,100.10",-1.78,"1,142.40","1,090.00","1,099.00","6,567","7,230,251.30"
31,2025-03-04,"1,120.00",-1.23,"1,154.00","1,105.10","1,154.00","8,122","9,086,178.00"
32,2025-03-03,"1,133.90",-1.39,"1,162.80","1,117.60","1,130.00","10,780","12,173,373.80"
33,2025-03-02,"1,149.90",-0.03,"1,169.00","1,130.10","1,137.00","10,456","11,903,633.10"
34,2025-02-27,"1,150.20",-1.27,"1,170.00","1,142.00","1,142.00","8,660","10,017,845.60"
35,2025-02-25,"1,165.00",3.1,"1,165.00","1,116.20","1,127.00","31,155","35,935,638.50"
36,2025-02-24,"1,130.00",-0.79,"1,161.00","1,117.00","1,121.00","5,033","5,717,138.90"
37,2025-02-23,"1,139.00",-0.28,"1,164.80","1,125.00","1,125.00","11,853","13,401,845.70"
38,2025-02-20,"1,142.20",-1.7,"1,178.10","1,140.00","1,140.00","13,264","15,296,285.60"
39,2025-02-18,"1,162.00",-0.26,"1,165.90","1,140.00","1,145.00","19,879","22,870,990.00"
40,2025-02-17,"1,165.00",0.43,"1,188.00","1,137.00","1,137.00","8,448","9,706,083.90"
41,2025-02-16,"1,160.00",-1.69,"1,200.00","1,142.00","1,156.40","6,180","7,170,386.30"
