#,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
1,2025-04-21,545.41,-0.63,557.90,540.00,547.00,"12,284","6,709,927.40"
2,2025-04-20,548.86,-1.83,560.00,545.30,555.50,"7,613","4,200,650.90"
3,2025-04-17,559.10,-0.28,568.00,553.10,557.00,"16,019","8,994,349.00"
4,2025-04-16,560.67,-1.7,568.00,556.10,565.00,"7,165","4,031,153.40"
5,2025-04-15,570.37,2.41,572.90,550.10,550.10,"4,228","2,376,709.70"
6,2025-04-13,556.94,-1.53,568.00,555.00,568.00,"4,875","2,730,491.00"
7,2025-04-10,565.58,-0.2,587.00,564.00,578.00,"4,589","2,606,898.80"
8,2025-04-09,566.71,-1.18,579.00,566.50,570.00,"8,931","5,084,592.90"
9,2025-04-08,573.47,-1.12,579.50,565.00,569.10,"3,847","2,196,354.40"
10,2025-04-07,579.96,-1.62,585.00,566.30,580.00,"2,062","1,194,304.50"
11,2025-04-03,589.53,-0.82,599.50,585.20,589.00,"5,158","3,060,847.50"
12,2025-04-02,594.38,0.07,605.00,586.00,605.00,"2,526","1,492,918.70"
13,2025-04-01,593.98,-1.28,616.00,581.30,613.00,"7,293","4,300,798.00"
14,2025-03-30,601.68,1.43,634.00,585.00,593.00,"10,956","6,660,456.30"
15,2025-03-27,593.17,2.38,600.00,572.00,575.00,"5,083","2,975,612.40"
16,2025-03-26,579.40,1.06,582.00,565.30,575.00,"7,233","4,153,922.40"
17,2025-03-25,573.32,-4.22,598.00,571.00,598.00,"8,521","4,941,316.40"
18,2025-03-24,598.61,0.91,605.00,582.00,592.00,"4,037","2,406,286.50"
19,2025-03-23,593.23,-3.23,612.80,592.00,600.80,"6,717","4,035,661.30"
20,2025-03-20,613.05,0.52,617.00,599.00,599.00,"5,280","3,226,838.80"
21,2025-03-19,609.90,0.41,613.00,597.10,601.10,"6,440","3,872,536.30"
22,2025-03-18,607.40,-1.48,624.00,600.00,618.00,"18,333","11,142,119.80"
23,2025-03-17,616.50,0.21,631.00,612.10,614.50,"4,651","2,881,202.10"
24,2025-03-16,615.20,-1.88,647.00,615.20,625.10,"4,889","3,055,243.50"
25,2025-03-12,627.00,-1.26,640.00,625.40,625.40,"8,761","5,525,020.40"
26,2025-03-11,635.00,-0.78,650.00,628.00,640.00,"7,652","4,853,696.80"
27,2025-03-10,640.00,-1.69,662.00,640.00,640.00,"7,916","5,125,157.70"
28,2025-03-09,651.00,-1.36,667.00,649.00,650.00,"10,495","6,853,129.40"
29,2025-03-06,660.00,-0.75,676.90,652.40,676.90,"8,944","5,898,960.50"
30,2025-03-05,665.00,1.06,675.00,646.00,646.00,"12,603","8,229,843.50"
31,2025-03-04,658.00,-3.24,680.00,650.00,672.00,"18,093","12,010,547.30"
32,2025-03-03,680.00,-1.45,696.00,662.00,690.00,"35,679","24,133,031.10"
33,2025-03-02,690.00,0,700.00,678.50,678.50,"11,938","8,245,453.20"
34,2025-02-27,690.00,1.78,695.00,677.00,691.40,"9,442","6,477,037.80"
35,2025-02-25,677.90,-0.6,695.00,675.00,695.00,"13,479","9,120,918.00"
36,2025-02-24,682.00,-1.3,699.00,680.00,680.30,"10,995","7,530,375.30"
37,2025-02-23,691.00,-1.07,700.00,681.00,684.60,"15,182","10,488,225.50"
38,2025-02-20,698.50,-1.61,705.00,695.10,701.00,"10,105","7,066,046.70"
39,2025-02-18,709.90,-0.99,729.00,703.20,729.00,"22,064","15,701,332.30"
40,2025-02-17,717.00,0.42,728.00,706.00,725.00,"27,655","19,733,685.40"
41,2025-02-16,714.00,2.76,721.00,685.10,706.90,"27,139","19,045,574.70"
42,2025-02-13,694.80,-1.73,721.10,690.00,721.10,"17,965","12,505,156.50"
43,2025-02-12,707.00,2.61,725.00,686.00,702.70,"24,088","17,130,042.40"
44,2025-02-11,689.00,0.29,692.00,680.00,687.00,"12,994","8,900,251.00"
45,2025-02-10,687.00,0.59,696.00,671.00,696.00,"24,258","16,470,396.50"
46,2025-02-09,683.00,-1.16,704.80,680.20,704.80,"23,382","16,054,811.50"
47,2025-02-06,691.00,-2.12,719.70,686.10,706.00,"25,453","17,778,554.30"
48,2025-02-05,706.00,-0.84,720.00,701.10,701.10,"14,379","10,211,911.20"
49,2025-02-04,712.00,-0.96,733.20,710.00,733.20,"17,322","12,384,636.00"
50,2025-02-03,718.90,-2.85,749.70,716.00,726.00,"50,781","36,812,718.30"
51,2025-02-02,740.00,0.74,760.20,720.00,720.00,"45,848","34,170,258.30"
52,2025-01-28,734.60,0.36,744.00,717.40,744.00,"23,449","17,174,965.20"
53,2025-01-27,732.00,-0.14,745.50,724.00,732.00,"31,370","23,085,042.20"
54,2025-01-26,733.00,1.52,745.00,717.00,717.00,"34,370","25,266,303.70"
55,2025-01-23,722.00,0.28,730.00,710.00,720.00,"34,946","25,070,271.10"
56,2025-01-22,720.00,1.41,729.00,706.00,712.00,"28,949","20,819,730.60"
57,2025-01-21,710.00,-1.18,725.00,701.00,718.00,"24,217","17,200,838.80"
58,2025-01-20,718.50,-1.79,745.00,716.10,720.00,"27,926","20,363,520.50"
