#,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
1,2025-04-21,224.64,-1.25,232.00,224.10,228.00,"1,205,420","273,187,482.90"
2,2025-04-20,227.49,-7.27,240.50,220.80,240.50,"2,483,763","566,793,809.60"
3,2025-04-17,245.32,-3.23,266.10,244.00,258.50,"990,972","251,946,555.50"
4,2025-04-16,253.50,10,253.50,211.70,225.90,"1,816,089","428,774,357.40"
5,2025-04-15,230.46,-9.69,260.20,229.70,250.10,"8,678,225","2,012,993,142.60"
6,2025-04-13,255.20,-9.98,277.90,255.20,277.90,"344,914","88,148,497.20"
7,2025-04-10,283.49,-2.02,292.90,281.50,288.00,"73,647","20,999,272.60"
8,2025-04-09,289.34,-1.38,298.00,288.00,295.00,"54,443","15,828,242.40"
9,2025-04-08,293.40,-1.74,301.90,285.20,296.00,"40,089","11,625,668.60"
10,2025-04-07,298.60,-2.21,307.00,295.10,301.00,"67,574","20,197,828.70"
11,2025-04-03,305.36,-4.28,315.00,287.10,313.00,"175,313","53,439,866.50"
12,2025-04-02,319.00,-4.85,335.00,312.70,333.50,"56,038","18,073,823.90"
13,2025-04-01,335.27,-1.12,340.00,333.20,340.00,"4,700","1,572,765.40"
14,2025-03-30,339.08,2.25,340.00,330.50,331.00,"6,685","2,243,414.10"
15,2025-03-27,331.62,-0.01,335.00,326.00,326.00,"4,508","1,492,734.70"
16,2025-03-26,331.64,0.58,335.00,323.30,323.30,"2,802","925,220.40"
17,2025-03-25,329.72,-2.84,344.00,320.60,340.00,"7,508","2,484,721.40"
18,2025-03-24,339.37,4.01,340.00,313.10,325.00,"8,729","2,875,938.80"
19,2025-03-23,326.29,-2.63,336.00,324.40,331.00,"9,103","2,985,168.60"
20,2025-03-20,335.11,-0.24,340.00,334.00,335.00,"1,876","629,863.20"
21,2025-03-19,335.90,-2.61,344.00,335.30,340.00,"5,794","1,959,001.70"
22,2025-03-18,344.90,1.74,345.00,333.40,333.40,"5,412","1,853,638.00"
23,2025-03-17,339.00,-0.29,340.00,333.20,333.20,"4,311","1,454,325.40"
24,2025-03-16,340.00,-1.02,343.00,337.00,340.00,"7,805","2,652,642.90"
25,2025-03-12,343.50,0.15,348.90,340.00,340.00,"6,320","2,163,421.70"
26,2025-03-11,343.00,-3.08,353.00,340.00,350.00,"8,072","2,774,876.00"
27,2025-03-10,353.90,0.83,355.00,345.00,352.00,"5,286","1,841,021.50"
28,2025-03-09,351.00,-2.12,373.00,351.00,365.70,"11,360","4,080,770.60"
29,2025-03-06,358.60,-1.75,367.20,358.10,358.10,"9,835","3,544,475.90"
30,2025-03-05,365.00,-0.25,367.00,358.70,360.00,"9,073","3,276,675.30"
31,2025-03-04,365.90,-0.87,376.00,362.10,372.00,"10,087","3,690,925.50"
32,2025-03-03,369.10,0.85,376.00,367.00,370.00,"28,106","10,449,292.80"
33,2025-03-02,366.00,1.67,366.00,355.10,355.10,"23,607","8,575,560.70"
34,2025-02-27,360.00,1.41,362.00,350.10,355.00,"14,434","5,135,129.00"
35,2025-02-25,355.00,0,357.00,349.00,356.00,"8,325","2,925,078.60"
36,2025-02-24,355.00,-2.34,363.70,349.00,356.30,"45,130","15,951,244.70"
37,2025-02-23,363.50,-0.68,365.50,352.00,359.20,"6,358","2,298,637.10"
38,2025-02-20,366.00,-0.54,374.00,356.00,374.00,"3,477","1,263,467.90"
39,2025-02-18,368.00,1.1,371.30,357.00,357.00,"7,016","2,551,849.90"
40,2025-02-17,364.00,-2.15,379.40,360.00,379.40,"18,853","6,865,426.70"
41,2025-02-16,372.00,-0.8,377.40,363.00,367.50,"14,637","5,390,487.40"
42,2025-02-13,375.00,0.54,377.00,365.60,365.60,"9,183","3,381,142.80"
43,2025-02-12,373.00,-1.84,385.00,373.00,373.00,"8,298","3,117,852.70"
44,2025-02-11,380.00,0.8,382.50,369.00,369.50,"8,436","3,181,731.50"
