#,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
1,2025-04-21,"1,059.17",1.08,"1,086.00","1,008.00","1,027.00","17,727","18,389,671.40"
2,2025-04-20,"1,047.88",1.04,"1,111.00","1,016.40","1,016.40","10,961","11,367,136.50"
3,2025-04-17,"1,037.14",-0.15,"1,048.00","1,018.00","1,018.00","11,017","11,413,985.90"
4,2025-04-16,"1,038.72",0.51,"1,039.90","1,012.90","1,012.90","8,048","8,308,882.70"
5,2025-04-15,"1,033.50",-0.78,"1,040.90","1,020.80","1,020.80",375,"384,657.90"
6,2025-04-13,"1,041.60",0.19,"1,059.00","1,010.00","1,018.90","2,151","2,203,396.40"
7,2025-04-10,"1,039.60",1.42,"1,044.50","1,026.00","1,035.00","21,981","22,809,020.00"
8,2025-04-09,"1,025.00",-2.16,"1,067.00","1,006.50","1,027.00","19,155","19,483,693.60"
9,2025-04-08,"1,047.66",-5.85,"1,090.50","1,010.00","1,090.50","1,361","1,411,669.00"
10,2025-04-07,"1,112.72",7.46,"1,137.00","1,014.80","1,014.80","7,003","7,325,967.50"
11,2025-04-03,"1,035.43",-0.46,"1,054.00","1,019.50","1,019.50","10,819","11,160,705.40"
12,2025-04-02,"1,040.26",0.91,"1,048.00","1,015.00","1,015.00","7,345","7,586,249.00"
13,2025-04-01,"1,030.87",-0.23,"1,047.00","1,012.70","1,012.70","1,333","1,376,226.60"
14,2025-03-30,"1,033.27",0.55,"1,044.90","1,010.00","1,010.00","2,335","2,395,280.70"
15,2025-03-27,"1,027.66",-0.33,"1,049.00","1,010.30","1,010.50","2,204","2,261,931.70"
16,2025-03-26,"1,031.08",0.65,"1,044.80","1,004.00","1,004.00","8,970","9,197,766.00"
17,2025-03-25,"1,024.42",-0.08,"1,045.00","1,006.10","1,015.00","8,531","8,626,750.60"
18,2025-03-24,"1,025.29",-2.55,"1,040.00",994.00,"1,031.10","1,819","1,870,364.20"
19,2025-03-23,"1,052.10",1.91,"1,053.00","1,003.00","1,011.80","6,092","6,182,400.80"
20,2025-03-20,"1,032.40",-2.51,"1,070.00","1,028.00","1,037.90","2,687","2,780,702.00"
21,2025-03-19,"1,059.00",-0.28,"1,080.00","1,034.00","1,040.80","23,310","24,853,290.40"
22,2025-03-18,"1,062.00",-0.37,"1,062.00","1,041.00","1,044.60","8,500","8,926,623.60"
23,2025-03-17,"1,065.90",-0.11,"1,077.00","1,041.10","1,051.00","8,975","9,507,290.00"
24,2025-03-16,"1,067.10",-0.73,"1,075.00","1,048.00","1,075.00","23,843","25,330,271.10"
25,2025-03-12,"1,075.00",2.01,"1,075.00","1,032.80","1,032.80","34,340","36,298,391.40"
26,2025-03-11,"1,053.80",1.67,"1,060.00","1,025.00","1,025.00","11,224","11,799,449.60"
27,2025-03-10,"1,036.50",0.93,"1,055.00","1,020.00","1,020.00","17,460","17,956,769.70"
28,2025-03-09,"1,027.00",-0.29,"1,048.00","1,016.00","1,016.00","6,726","6,906,588.70"
29,2025-03-06,"1,030.00",0,"1,045.00","1,009.40","1,009.40","7,404","7,583,735.00"
30,2025-03-05,"1,030.00",1.97,"1,045.00",995.00,995.00,"2,832","2,887,315.30"
31,2025-03-04,"1,010.10",1.93,"1,050.90",987.90,"1,010.80","11,005","11,020,587.00"
32,2025-03-03,991.00,-6.77,"1,046.00",991.00,"1,046.00","17,642","18,143,671.00"
33,2025-03-02,"1,063.00",-2.74,"1,084.00","1,035.00","1,071.20","4,175","4,395,323.60"
34,2025-02-27,"1,093.00",0.25,"1,093.00","1,040.10","1,068.50","8,684","9,189,778.10"
35,2025-02-25,"1,090.30",-1.75,"1,093.40","1,060.00","1,087.60","14,551","15,580,987.00"
36,2025-02-24,"1,109.70",-2.66,"1,117.20","1,051.70","1,117.20","3,101","3,387,067.00"
