#,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
1,2025-04-21,517.70,0.72,523.00,513.00,514.90,"19,407","10,047,943.00"
2,2025-04-20,513.98,0.99,518.00,508.30,518.00,"13,477","6,906,950.30"
3,2025-04-17,508.96,1.3,522.00,498.60,510.00,"23,883","12,091,408.40"
4,2025-04-16,502.44,-0.76,513.00,499.10,512.00,"11,266","5,671,576.70"
5,2025-04-15,506.31,1.74,515.00,495.00,497.63,"7,374","3,736,004.20"
6,2025-04-13,497.63,-0.48,504.80,491.00,491.00,"3,630","1,805,050.00"
7,2025-04-10,500.05,0.34,502.00,493.10,493.10,"11,870","5,931,631.10"
8,2025-04-09,498.38,0.4,506.30,496.70,506.30,"6,391","3,201,453.70"
9,2025-04-08,496.38,-0.8,503.00,493.80,495.50,"4,296","2,130,930.50"
10,2025-04-07,500.37,-0.23,510.00,490.00,492.00,"7,931","3,965,306.80"
11,2025-04-03,501.54,-1.72,518.50,500.50,503.10,"16,853","8,518,674.00"
12,2025-04-02,510.33,-0.37,517.10,504.30,504.30,"9,127","4,663,871.90"
13,2025-04-01,512.21,-0.88,517.00,509.10,516.00,"9,724","4,983,028.20"
14,2025-03-30,516.74,2.98,522.00,502.00,502.00,"21,447","11,055,593.60"
15,2025-03-27,501.78,-0.26,505.00,493.10,503.50,"15,018","7,517,363.70"
16,2025-03-26,503.11,4.35,518.00,480.00,483.00,"7,122","3,507,859.70"
17,2025-03-25,482.14,-3.16,499.00,481.10,490.40,"14,859","7,213,575.90"
18,2025-03-24,497.88,0.22,505.00,480.20,487.50,"10,592","5,259,758.50"
19,2025-03-23,496.80,-3.52,516.50,495.00,515.00,"14,530","7,386,279.80"
20,2025-03-20,514.95,-1.75,534.00,513.00,534.00,"12,350","6,391,204.00"
21,2025-03-19,524.10,-0.83,534.00,522.00,528.00,"12,152","6,406,290.30"
22,2025-03-18,528.50,0.48,536.50,516.10,516.10,"9,993","5,268,354.90"
23,2025-03-17,526.00,-0.28,534.90,523.20,523.20,"10,825","5,712,181.80"
24,2025-03-16,527.50,-1.64,533.00,527.30,529.00,"7,751","4,096,287.50"
25,2025-03-12,536.30,1,536.30,525.10,530.00,"15,377","8,169,795.60"
26,2025-03-11,531.00,-1.98,548.00,530.00,536.00,"16,644","8,894,219.90"
27,2025-03-10,541.70,-2.13,564.00,541.00,555.00,"21,488","11,847,496.80"
28,2025-03-09,553.50,2.5,580.00,531.00,531.00,"48,314","26,856,388.90"
29,2025-03-06,540.00,2.08,545.70,522.10,539.50,"22,472","12,028,449.30"
30,2025-03-05,529.00,-1.31,540.00,528.00,536.00,"18,043","9,588,581.60"
31,2025-03-04,536.00,-2.37,553.60,536.00,551.00,"27,499","14,975,185.10"
32,2025-03-03,549.00,-1.61,569.10,546.70,568.00,"24,730","13,688,424.60"
33,2025-03-02,558.00,1.81,562.00,552.00,559.00,"31,579","17,563,983.50"
34,2025-02-27,548.10,1.52,557.20,535.00,542.00,"28,410","15,528,202.40"
35,2025-02-25,539.90,2.06,545.00,522.50,522.50,"24,132","12,917,034.80"
36,2025-02-24,529.00,-0.94,544.00,526.00,540.00,"24,989","13,267,457.40"
37,2025-02-23,534.00,-0.74,542.00,527.30,527.30,"27,194","14,566,541.40"
38,2025-02-20,538.00,-2.54,558.40,538.00,552.00,"35,259","19,187,413.10"
39,2025-02-18,552.00,-0.9,590.00,548.00,568.00,"38,318","21,335,620.80"
40,2025-02-17,557.00,-1.4,576.10,551.80,576.10,"41,852","23,339,060.60"
41,2025-02-16,564.90,-0.72,571.00,551.00,569.00,"34,036","19,093,787.30"
42,2025-02-13,569.00,-0.52,583.40,565.00,583.40,"36,712","20,991,628.50"
43,2025-02-12,572.00,0.03,585.90,568.00,568.00,"31,644","18,236,468.60"
44,2025-02-11,571.80,1.56,583.90,562.00,562.00,"41,927","23,919,496.10"
45,2025-02-10,563.00,-1.57,582.00,555.00,570.00,"33,180","18,716,630.20"
46,2025-02-09,572.00,-0.52,589.90,563.50,563.50,"53,971","30,804,148.40"
47,2025-02-06,575.00,-3.18,595.00,570.00,594.00,"58,729","33,933,181.80"
48,2025-02-05,593.90,5.68,608.00,569.00,569.00,"118,884","70,234,483.70"
49,2025-02-04,562.00,5.24,565.00,529.10,539.00,"104,983","58,143,195.20"
50,2025-02-03,534.00,-1.69,553.00,520.10,553.00,"49,293","26,379,213.90"
51,2025-02-02,543.20,0.61,551.00,538.00,539.00,"46,572","25,399,927.20"
52,2025-01-28,539.90,3.43,550.00,525.00,532.00,"80,776","43,377,495.80"
53,2025-01-27,522.00,-1.69,537.90,522.00,537.90,"32,717","17,261,569.30"
54,2025-01-26,531.00,-0.75,545.00,525.30,545.00,"39,298","20,883,244.60"
55,2025-01-23,535.00,0.94,538.90,520.00,520.00,"60,323","32,121,285.40"
56,2025-01-22,530.00,3.5,542.00,501.90,501.90,"48,591","25,589,703.30"
57,2025-01-21,512.10,-1.52,525.00,510.00,525.00,"27,987","14,487,923.10"
58,2025-01-20,520.00,-2.62,543.90,516.00,534.00,"72,774","38,411,839.70"
59,2025-01-19,534.00,3.67,544.50,516.00,516.10,"79,096","42,188,359.80"
60,2025-01-16,515.10,6.43,530.00,491.00,493.60,"98,480","50,561,798.40"
61,2025-01-15,484.00,1.89,494.40,466.00,466.00,"12,645","6,117,638.20"
62,2025-01-13,475.00,-3.06,490.00,475.00,480.70,"14,064","6,748,547.30"
63,2025-01-12,490.00,-1.01,504.00,487.00,504.00,"10,246","5,051,540.50"
64,2025-01-09,495.00,1.23,505.00,486.00,495.00,"22,787","11,297,515.80"
65,2025-01-08,489.00,-0.37,500.60,482.30,490.00,"17,324","8,481,405.50"
66,2025-01-07,490.80,-1.25,506.90,483.00,506.00,"19,088","9,429,162.40"
67,2025-01-06,497.00,3.54,499.80,480.00,480.00,"19,990","9,891,675.30"
68,2025-01-05,480.00,2.37,480.00,461.00,462.00,"7,804","3,706,724.00"
69,2025-01-02,468.90,1.93,474.00,461.00,461.00,"7,501","3,506,936.70"
70,2025-01-01,460.00,0.22,474.90,460.00,468.00,"5,717","2,666,084.30"
71,2024-12-31,459.00,-3.37,470.00,457.00,470.00,"9,949","4,610,737.40"
72,2024-12-29,475.00,-2.06,485.00,472.00,476.00,"14,570","6,928,103.90"
73,2024-12-26,485.00,-0.82,496.50,477.20,496.50,"8,372","4,025,135.00"
74,2024-12-24,489.00,-1.01,506.70,485.40,501.90,"12,796","6,375,660.00"
75,2024-12-23,494.00,3.56,495.70,477.00,477.30,"11,471","5,545,636.40"
76,2024-12-22,477.00,-0.52,489.00,465.10,489.00,"11,083","5,222,358.10"
77,2024-12-19,479.50,-0.21,489.60,470.00,480.00,"13,058","6,195,946.20"
78,2024-12-18,480.50,0.1,497.00,480.00,480.00,"9,698","4,714,968.60"
79,2024-12-17,480.00,-0.41,490.00,475.00,484.00,"10,464","5,049,259.40"
80,2024-12-16,482.00,-4.95,505.00,481.30,505.00,"20,689","10,180,060.10"
81,2024-12-12,507.10,-0.57,517.00,507.10,511.10,"12,614","6,445,533.60"
82,2024-12-11,510.00,0.39,518.00,503.00,518.00,"19,013","9,662,533.30"
83,2024-12-10,508.00,1.2,510.00,503.00,504.00,"10,903","5,518,106.20"
84,2024-12-09,502.00,-0.2,516.00,500.00,513.00,"10,469","5,288,198.60"
85,2024-12-08,503.00,-2.35,520.00,503.00,510.00,"13,975","7,081,728.00"
86,2024-12-05,515.10,-0.56,520.50,515.00,516.00,"17,113","8,854,758.50"
87,2024-12-04,518.00,-1.33,532.50,518.00,522.10,"21,219","11,154,527.30"
88,2024-12-03,525.00,1.45,531.40,520.00,520.00,"20,473","10,789,407.40"
89,2024-12-02,517.50,-0.12,535.00,517.00,518.00,"64,244","33,408,754.50"
90,2024-12-01,518.10,-1.97,528.00,518.00,527.00,"24,436","12,763,696.90"
91,2024-11-28,528.50,-3.38,557.90,528.30,551.00,"30,532","16,588,772.40"
92,2024-11-27,547.00,1.67,553.00,534.10,545.00,"55,706","30,479,440.70"
93,2024-11-26,538.00,5.49,540.00,507.00,516.00,"39,519","20,638,485.50"
94,2024-11-25,510.00,-1.54,528.00,509.00,518.00,"17,549","9,063,201.10"
95,2024-11-24,518.00,3.02,525.30,505.00,505.00,"27,709","14,323,927.00"
96,2024-11-21,502.80,-6,542.60,502.80,532.10,"31,988","16,693,704.70"
97,2024-11-20,534.90,3.24,534.90,513.00,513.00,"30,228","15,917,537.30"
98,2024-11-19,518.10,-5.11,546.00,517.00,546.00,"53,958","28,398,717.40"
99,2024-11-17,546.00,-0.73,583.00,544.50,550.00,"52,450","29,213,705.50"
100,2024-11-14,550.00,4.96,562.00,527.20,530.00,"63,258","34,486,272.90"
101,2024-11-13,524.00,0.58,524.00,513.00,521.00,"50,984","26,397,952.20"
102,2024-11-12,521.00,0.19,533.60,520.00,530.00,"69,030","36,347,152.50"
103,2024-11-11,520.00,4,529.00,500.00,500.00,"107,229","55,799,643.90"
104,2024-11-10,500.00,7.43,500.00,465.60,465.60,"90,228","43,962,525.00"
105,2024-11-06,465.40,-1.81,473.80,465.00,470.50,"19,385","9,076,618.40"
106,2024-11-05,474.00,0,476.50,470.10,474.00,"9,450","4,471,335.00"
107,2024-10-30,474.00,-2.07,490.00,474.00,480.00,"25,558","12,294,778.30"
108,2024-10-29,484.00,2.54,489.80,470.40,481.00,"25,749","12,423,459.80"
109,2024-10-28,472.00,1.94,472.20,452.00,454.30,"58,147","26,691,979.20"
110,2024-10-27,463.00,-0.43,474.00,450.00,474.00,"24,422","11,180,015.20"
111,2024-10-24,465.00,-0.41,473.00,458.10,458.10,"7,649","3,555,102.30"
112,2024-10-23,466.90,0.15,474.00,465.10,466.20,"16,216","7,636,128.80"
113,2024-10-22,466.20,2.91,498.30,453.00,462.00,"24,474","11,306,627.50"
114,2024-10-21,453.00,-3.53,478.90,450.10,478.90,"20,644","9,428,714.30"
115,2024-10-20,469.60,-2.37,489.00,462.00,489.00,"20,223","9,472,268.40"
116,2024-10-17,481.00,-1.84,499.80,480.00,499.80,"51,418","25,006,836.70"
117,2024-10-16,490.00,4.93,490.00,462.10,467.00,"51,280","24,275,831.90"
118,2024-10-15,467.00,0.86,472.00,459.80,463.00,"7,223","3,383,541.00"
119,2024-10-09,463.00,0.43,465.00,452.10,459.80,"17,511","8,077,276.90"
121,2024-10-08,461.00,-7.24,487.20,452.10,487.10,"93,410","43,211,127.60"
122,2024-10-07,497.00,2.41,509.90,486.00,495.00,"12,015","5,913,488.20"
123,2024-10-06,485.30,-0.76,498.00,470.50,480.00,"3,791","1,821,183.60"
124,2024-10-02,489.00,3.87,497.70,469.90,470.90,"7,737","3,747,737.60"
125,2024-10-01,470.80,4.62,475.00,455.20,459.00,"8,442","3,942,618.50"
126,2024-09-30,450.00,-0.46,454.00,446.10,454.00,"2,101","944,289.40"
127,2024-09-29,452.10,-3.4,465.90,440.00,458.70,"5,283","2,373,757.00"
128,2024-09-26,468.00,0.21,483.80,465.00,476.30,"5,431","2,563,007.30"
129,2024-09-25,467.00,1.52,480.00,451.00,464.00,"4,999","2,313,354.90"
130,2024-09-24,460.00,-7.96,520.20,460.00,500.00,"4,609","2,211,062.20"
131,2024-09-23,499.80,-4.93,526.00,481.00,516.00,"12,972","6,465,039.10"
132,2024-09-22,525.70,-0.85,542.00,520.00,540.80,"6,471","3,451,284.00"
133,2024-09-18,530.20,-3.05,570.00,530.00,546.00,"2,700","1,456,102.00"
134,2024-09-16,546.90,-3.2,570.00,544.40,555.00,"3,611","1,998,709.00"
135,2024-09-15,565.00,-0.18,619.00,565.00,575.00,"22,818","13,600,391.80"
136,2024-09-12,566.00,8.85,569.00,510.20,520.00,"5,483","2,991,796.10"
137,2024-09-11,520.00,-2.99,538.00,520.00,538.00,"2,219","1,165,989.00"
138,2024-09-10,536.00,0,546.70,527.50,546.70,"2,553","1,365,262.00"
139,2024-09-09,536.00,-1.47,550.00,536.00,550.00,"3,118","1,689,135.10"
140,2024-09-08,544.00,0.93,562.80,541.00,541.00,"5,037","2,783,390.00"
141,2024-09-05,539.00,-1.1,555.90,535.00,535.00,"4,652","2,522,470.40"
142,2024-09-04,545.00,-4.39,592.00,540.00,581.00,"8,653","4,807,326.54"
143,2024-09-03,570.00,2,583.00,560.50,560.50,"5,582","3,181,332.70"
144,2024-09-02,558.80,8.42,560.90,518.00,524.00,"7,576","4,121,543.50"
145,2024-09-01,515.40,-7.95,570.90,515.00,570.90,"7,329","3,928,577.50"
146,2024-08-29,559.90,-0.2,582.00,550.00,555.00,"6,550","3,673,942.20"
147,2024-08-28,561.00,-0.74,587.50,558.70,565.20,"5,075","2,912,287.10"
148,2024-08-27,565.20,-6.42,610.00,563.00,600.00,"7,917","4,621,031.50"
149,2024-08-25,604.00,-2.42,623.00,600.00,610.50,"8,491","5,144,400.90"
150,2024-08-22,619.00,1.81,652.00,603.70,615.00,"12,552","7,733,300.30"
151,2024-08-21,608.00,-1.94,630.00,607.60,625.00,"12,323","7,587,208.30"
152,2024-08-18,620.00,-3.88,645.00,620.00,645.00,"13,110","8,268,642.20"
153,2024-08-15,645.00,-3.01,689.80,643.00,678.30,"24,957","16,519,350.00"
154,2024-08-14,665.00,3.1,667.00,634.00,634.00,"37,038","24,374,753.20"
155,2024-08-13,645.00,-1.16,665.00,639.60,639.60,"12,275","7,976,821.10"
156,2024-08-12,652.60,3.59,678.30,620.00,620.00,"30,813","20,044,399.40"
157,2024-08-11,630.00,0.64,640.70,614.00,614.00,"19,065","12,015,697.50"
158,2024-08-08,626.00,-2.17,639.00,622.00,631.10,"10,697","6,715,234.10"
159,2024-08-07,639.90,3.04,648.00,609.00,609.00,"8,654","5,463,983.40"
160,2024-08-06,621.00,-3.11,655.00,621.00,640.00,"17,372","11,131,372.80"
161,2024-08-05,640.90,2.54,648.00,626.00,626.00,"17,808","11,373,903.30"
162,2024-08-01,625.00,-2.34,640.00,625.00,640.00,"10,152","6,413,085.40"
163,2024-07-31,640.00,0.47,649.70,627.10,649.70,"17,614","11,228,727.50"
164,2024-07-30,637.00,1.1,637.00,621.00,622.00,"13,659","8,622,872.10"
165,2024-07-29,630.10,0.65,638.00,624.30,637.00,"8,592","5,439,457.80"
166,2024-07-28,626.00,-1.26,646.00,624.00,645.00,"9,730","6,139,768.60"
167,2024-07-25,634.00,0.11,644.50,624.00,624.00,"14,731","9,381,087.30"
168,2024-07-24,633.30,-2.27,659.00,632.40,659.00,"16,391","10,582,382.50"
169,2024-07-23,648.00,0.31,654.00,641.20,645.00,"20,456","13,265,934.50"
170,2024-07-22,646.00,-0.35,654.00,637.00,637.00,"7,619","4,923,969.40"
171,2024-07-21,648.30,-0.96,667.60,644.00,667.60,"29,699","19,335,154.20"
172,2024-07-18,654.60,0.71,663.10,643.10,662.90,"25,070","16,387,685.40"
173,2024-07-17,650.00,-0.76,664.90,635.00,657.00,"19,832","12,912,853.90"
174,2024-07-16,655.00,2.83,659.00,640.00,640.00,"43,195","28,061,287.00"
175,2024-07-15,637.00,-1.85,661.00,636.00,661.00,"13,513","8,697,710.40"
176,2024-07-14,649.00,-0.92,668.10,647.10,655.00,"15,591","10,211,682.30"
177,2024-07-11,655.00,-1.92,668.00,641.50,654.50,"45,136","29,637,153.10"
178,2024-07-10,667.80,-10,727.20,667.80,727.20,"63,030","42,411,462.10"
179,2024-07-09,742.00,9.91,742.00,657.00,662.00,"30,415","20,247,353.80"
180,2024-07-08,675.10,1.52,705.00,651.70,651.70,"31,776","21,288,550.40"
181,2024-07-07,665.00,3.84,680.00,653.20,653.20,"46,370","30,850,072.30"
182,2024-07-04,640.40,0.85,652.80,622.30,622.30,"11,878","7,656,322.20"
183,2024-07-03,635.00,-1.55,645.00,620.30,635.00,"11,769","7,419,504.60"
184,2024-07-02,645.00,-0.62,701.00,637.10,661.90,"5,450","3,577,657.00"
185,2024-07-01,649.00,1.25,653.80,642.00,642.00,"11,325","7,366,338.20"
186,2024-06-30,641.00,0.16,647.00,631.00,631.00,"8,250","5,270,472.00"
187,2024-06-27,640.00,-0.17,653.00,631.00,653.00,"8,763","5,616,277.90"
188,2024-06-26,641.10,-2.12,667.90,639.10,667.90,"8,640","5,544,821.00"
189,2024-06-25,655.00,-2.96,691.00,649.00,661.50,"17,362","11,447,329.70"
190,2024-06-24,675.00,-7.01,711.40,653.40,711.40,"16,396","10,945,463.00"
191,2024-06-23,725.90,8.17,726.00,633.00,657.70,"30,234","20,046,139.50"
