#,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
1,2025-04-21,"17,739.20",-2.53,"18,000.00","17,478.40","17,835.10",30,"533,135.00"
2,2025-04-20,"18,199.00",6.11,"18,199.00","17,494.00","17,494.00",30,"535,368.00"
3,2025-04-17,"17,151.00",-4.46,"17,600.00","17,151.00","17,600.00",40,"698,440.00"
4,2025-04-16,"17,952.00",2,"17,952.00","17,952.00","17,952.00",10,"179,520.00"
5,2025-04-15,"17,600.00",-0.02,"17,600.00","17,250.70","17,250.70",35,"612,457.00"
6,2025-04-13,"17,602.75",-1.83,"17,926.50","17,575.00","17,575.00",60,"1,059,125.00"
7,2025-04-10,"17,930.93",-4.37,"18,375.00","17,647.40","18,375.00",81,"1,460,187.00"
8,2025-04-09,"18,750.00",5.16,"19,060.00","18,000.00","18,000.00",100,"1,865,752.00"
9,2025-04-08,"17,830.20",10,"17,830.30","16,533.50","16,533.50",100,"1,747,184.00"
10,2025-04-07,"16,209.40",-2.05,"16,541.40","15,580.00","16,217.10",80,"1,287,665.00"
11,2025-04-03,"16,548.00",-5.87,"17,228.30","16,548.00","17,228.30",50,"844,279.00"
12,2025-04-02,"17,579.80",-10,"19,142.50","17,579.80","19,142.50",70,"1,271,201.00"
13,2025-03-30,"19,533.10",-2,"19,533.10","19,533.10","19,533.10",10,"195,331.00"
14,2025-03-25,"19,931.69",-2,"19,931.69","19,931.69","19,931.69",10,"199,316.90"
15,2025-03-12,"20,338.40",-2,"20,338.40","20,338.40","20,338.40",20,"406,768.00"
16,2025-03-11,"20,753.40",-3.96,"21,176.90","20,753.40","21,176.90",50,"1,054,610.00"
17,2025-03-05,"21,609.00",-2,"21,609.00","21,609.00","21,609.00",10,"216,090.00"
18,2025-03-04,"22,050.00",-0.94,"22,500.00","22,050.00","22,149.00",897,"19,872,282.00"
19,2025-03-03,"22,260.00",5.46,"22,368.00","19,564.00","21,500.00",791,"17,061,866.40"
20,2025-03-02,"21,107.90",8.8,"21,107.90","19,000.00","19,400.00",630,"12,428,027.30"
21,2025-02-27,"19,400.00",8.99,"19,580.00","17,892.90","18,100.00","1,068","20,185,575.00"
22,2025-02-25,"17,800.00",-4.04,"18,600.00","17,451.00","18,600.00",80,"1,431,665.00"
23,2025-02-24,"18,550.00",8.06,"18,550.00","16,807.00","17,500.00",569,"10,285,701.50"
24,2025-02-23,"17,166.60",7.29,"17,166.60","15,680.00","16,320.00",220,"3,603,901.00"
25,2025-02-20,"16,000.00",-2.82,"16,200.00","16,000.00","16,200.00",94,"1,510,698.00"
26,2025-02-18,"16,464.00",-5.84,"17,137.00","16,464.00","17,137.00",129,"2,152,200.00"
27,2025-02-17,"17,486.00",-0.04,"17,486.00","17,143.20","17,143.20",30,"517,724.00"
28,2025-02-13,"17,493.00",-2,"17,493.00","17,493.00","17,493.00",10,"174,930.00"
29,2025-02-12,"17,850.00",1.4,"17,850.00","17,850.00","17,850.00",21,"374,850.00"
30,2025-02-11,"17,604.00",0,"17,604.00","17,604.00","17,604.00",10,"176,040.00"
31,2025-02-10,"17,604.00",-10,"19,168.70","17,603.90","19,168.69",230,"4,106,119.90"
32,2025-01-28,"19,559.80",5.64,"20,366.20","18,885.00","18,885.00",70,"1,377,213.00"
33,2025-01-27,"18,514.80",8.24,"18,514.80","17,105.00","17,105.00",100,"1,752,645.00"
34,2025-01-26,"17,105.10",-10,"18,625.50","17,105.10","18,625.50",110,"1,929,431.00"
35,2025-01-23,"19,005.60",5.59,"19,800.00","18,000.00","18,000.00",100,"1,914,607.00"
36,2025-01-21,"18,000.00",-1.37,"18,000.00","18,000.00","18,000.00",20,"360,000.00"
37,2025-01-20,"18,250.00",1.23,"19,831.00","18,208.40","18,389.50",210,"3,931,889.50"
38,2025-01-19,"18,029.00",10,"18,029.00","16,717.00","16,717.00",292,"5,208,148.20"
39,2025-01-16,"16,390.00",10,"16,390.00","15,198.00","15,198.00",140,"2,259,360.00"
40,2025-01-13,"14,900.00",-1.19,"14,960.00","14,900.00","14,900.00",50,"746,100.00"
41,2025-01-12,"15,080.00",-3.95,"15,386.00","15,078.30","15,386.00",50,"760,103.00"
