#,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
1,2025-04-21,"13,005.50",-0.28,"13,021.10","13,001.00","13,021.10",275,"3,578,044.50"
2,2025-04-20,"13,041.50",-0.79,"13,299.00","13,041.50","13,299.00",74,"970,346.00"
3,2025-04-17,"13,145.40",0.25,"13,150.00","13,100.00","13,113.00",120,"1,575,700.00"
4,2025-04-16,"13,113.00",-1,"13,114.00","13,011.00","13,012.00",75,"981,465.00"
5,2025-04-15,"13,246.00",0.95,"13,349.00","13,000.00","13,349.00",110,"1,443,922.00"
6,2025-04-13,"13,121.00",-0.7,"13,214.00","13,110.00","13,214.00",30,"394,450.00"
7,2025-04-10,"13,213.33",0.1,"13,425.00","13,200.00","13,425.00",120,"1,593,920.00"
8,2025-04-09,"13,200.00",0.49,"13,550.00","13,200.00","13,350.00",330,"4,401,719.00"
9,2025-04-08,"13,135.00",0.42,"13,200.00","12,900.00","13,200.00",80,"1,046,450.00"
10,2025-04-07,"13,080.00",-0.19,"13,250.00","12,985.00","13,250.00",210,"2,736,350.00"
11,2025-04-03,"13,105.50",0.01,"13,260.00","13,105.00","13,260.00",85,"1,120,770.00"
12,2025-04-02,"13,104.00",-0.84,"13,340.00","13,101.00","13,216.00",125,"1,651,209.00"
13,2025-04-01,"13,215.50",0.21,"13,290.00","13,100.00","13,188.00",80,"1,054,710.00"
14,2025-03-30,"13,187.50",0.82,"13,400.00","13,150.00","13,199.00",280,"3,711,155.00"
15,2025-03-27,"13,080.00",-0.01,"13,100.00","13,050.00","13,080.00",98,"1,282,100.00"
16,2025-03-26,"13,081.45",1.02,"13,100.00","12,800.00","12,800.00",223,"2,904,710.00"
17,2025-03-25,"12,949.00",-0.49,"13,000.00","12,700.00","13,000.00","1,635","20,838,349.00"
18,2025-03-24,"13,012.50",0.26,"13,199.00","13,000.00","13,198.00",80,"1,046,350.00"
19,2025-03-23,"12,978.50",-1.75,"13,215.00","12,956.00","13,100.00",160,"2,084,516.00"
20,2025-03-20,"13,209.00",-0.3,"13,222.00","13,151.00","13,151.00",90,"1,187,110.00"
21,2025-03-19,"13,249.00",0.29,"13,249.00","13,183.00","13,223.00",140,"1,849,378.00"
22,2025-03-18,"13,211.00",-0.37,"13,390.00","13,186.00","13,390.00",59,"783,044.00"
23,2025-03-17,"13,260.00",1.92,"13,300.00","13,052.00","13,052.00",90,"1,184,940.00"
24,2025-03-16,"13,010.00",-1.44,"13,200.00","13,000.00","13,200.00",250,"3,263,463.00"
25,2025-03-12,"13,200.00",0.23,"13,250.00","13,200.00","13,250.00",50,"660,700.00"
26,2025-03-11,"13,170.00",-0.98,"13,351.00","13,170.00","13,351.00",80,"1,062,631.00"
27,2025-03-10,"13,300.00",0.71,"13,578.00","13,300.00","13,350.00",151,"2,013,589.00"
28,2025-03-09,"13,206.00",-1.46,"13,670.00","13,150.00","13,670.00",271,"3,604,461.00"
29,2025-03-06,"13,402.00",-1.96,"13,943.00","13,400.10","13,942.00",120,"1,627,122.00"
30,2025-03-05,"13,670.00",-0.36,"13,800.00","13,500.10","13,720.00",250,"3,404,602.00"
31,2025-03-04,"13,720.00",-2.7,"14,382.00","13,720.00","14,380.00",749,"10,498,280.80"
32,2025-03-03,"14,100.00",1.88,"14,680.00","13,870.00","14,110.00",830,"11,776,067.50"
33,2025-03-02,"13,840.00",1.02,"13,930.00","13,710.00","13,900.00",445,"6,148,972.00"
34,2025-02-27,"13,700.00",3.75,"13,700.00","13,207.00","13,207.00",671,"9,026,016.00"
35,2025-02-25,"13,205.00",-0.82,"13,500.00","13,200.00","13,400.00",449,"5,970,335.00"
36,2025-02-24,"13,314.00",1.29,"13,599.00","13,101.00","13,407.90",140,"1,876,353.00"
37,2025-02-23,"13,145.00",-0.04,"13,616.00","13,100.00","13,100.00",562,"7,432,332.00"
38,2025-02-20,"13,150.00",-0.38,"13,205.00","13,100.00","13,205.00",252,"3,313,322.00"
39,2025-02-18,"13,200.00",-0.07,"13,250.00","13,005.00","13,250.00",340,"4,459,019.00"
40,2025-02-17,"13,209.90",1.58,"13,350.00","13,016.00","13,265.10",215,"2,829,309.00"
41,2025-02-16,"13,005.00",-1.8,"13,504.00","12,979.00","12,979.10",275,"3,614,649.00"
42,2025-02-13,"13,243.00",0.7,"13,243.00","13,000.00","13,152.00",495,"6,467,771.00"
43,2025-02-12,"13,151.20",-0.97,"13,300.00","13,020.00","13,035.00",390,"5,126,971.00"
44,2025-02-11,"13,280.00",-1.63,"13,500.00","13,230.00","13,500.00",420,"5,577,646.00"
45,2025-02-10,"13,500.00",0.27,"13,500.00","13,171.20","13,464.00",480,"6,377,310.00"
46,2025-02-09,"13,464.00",-0.27,"13,535.50","13,450.00","13,535.50",164,"2,210,811.00"
47,2025-02-06,"13,501.00",-1.09,"13,789.00","13,500.00","13,650.00",101,"1,372,310.00"
48,2025-02-05,"13,650.00",0,"13,800.00","13,600.00","13,750.00",188,"2,576,820.00"
49,2025-02-04,"13,650.00",-1.29,"13,650.00","13,600.00","13,601.00",110,"1,497,771.00"
50,2025-02-03,"13,829.00",0.65,"14,191.00","13,700.00","14,000.00",220,"3,059,270.00"
51,2025-02-02,"13,739.90",0.37,"13,798.00","13,500.00","13,620.00",510,"6,939,959.00"
52,2025-01-28,"13,689.90",2.32,"13,950.00","13,460.00","13,600.00",270,"3,684,671.00"
53,2025-01-27,"13,380.00",-0.89,"13,770.00","13,353.00","13,770.00",443,"5,950,556.00"
54,2025-01-26,"13,500.00",0,"13,740.00","13,500.00","13,500.10",130,"1,761,312.00"
55,2025-01-23,"13,500.00",-0.38,"13,800.00","13,500.00","13,750.00",314,"4,262,036.00"
56,2025-01-22,"13,551.10",-0.75,"13,900.00","13,551.00","13,700.00",110,"1,510,891.00"
57,2025-01-21,"13,654.00",-3.85,"14,250.00","13,654.00","14,250.00",140,"1,966,161.00"
58,2025-01-20,"14,200.00",2.9,"14,600.00","14,000.00","14,076.00",490,"7,007,537.00"
59,2025-01-19,"13,800.00",4.54,"13,993.30","13,200.00","13,202.00",210,"2,856,476.00"
60,2025-01-16,"13,201.00",-1.12,"13,600.00","13,201.00","13,600.00",95,"1,269,843.00"
61,2025-01-15,"13,351.00",1.14,"13,691.90","13,351.00","13,463.90",237,"3,182,910.00"
62,2025-01-13,"13,200.00",-2.33,"13,250.00","13,200.00","13,250.00",25,"330,750.00"
63,2025-01-12,"13,515.00",0.11,"13,515.00","13,250.00","13,500.00",260,"3,470,258.00"
64,2025-01-09,"13,500.00",0.07,"13,700.00","13,470.00","13,470.00",90,"1,217,051.00"
65,2025-01-08,"13,490.00",-0.07,"13,500.00","13,338.20","13,500.00",50,"670,064.00"
66,2025-01-07,"13,500.00",-1.82,"13,995.00","13,477.00","13,950.00",291,"3,938,905.00"
67,2025-01-06,"13,750.00",3.81,"13,750.00","13,250.00","13,510.10",173,"2,344,054.00"
68,2025-01-05,"13,245.20",-5.36,"13,715.10","13,245.20","13,715.10",229,"3,088,591.50"
69,2025-01-02,"13,995.00",3.44,"13,995.00","13,200.00","13,700.00",322,"4,423,329.00"
70,2025-01-01,"13,530.00",6.12,"13,530.00","13,005.00","13,005.00",30,"398,000.00"
71,2024-12-31,"12,750.00",-9.25,"14,100.00","12,750.00","14,015.00","2,370","31,655,464.00"
72,2024-12-29,"14,050.00",-0.01,"14,490.00","14,021.00","14,051.00",392,"5,545,831.00"
73,2024-12-26,"14,051.00",0.36,"14,300.00","14,051.00","14,280.00",295,"4,196,874.00"
74,2024-12-24,"14,000.20",-1.41,"14,399.70","14,000.00","14,399.70",449,"6,342,858.00"
75,2024-12-23,"14,200.00",0,"14,470.00","13,981.10","13,981.10",198,"2,820,789.30"
76,2024-12-22,"14,200.00",1.43,"14,230.00","13,951.00","13,951.00",307,"4,349,721.50"
77,2024-12-19,"14,000.00",-0.36,"14,100.00","13,961.30","14,050.00",252,"3,527,962.00"
78,2024-12-18,"14,050.00",0,"14,299.00","14,050.00","14,298.90",216,"3,045,170.10"
79,2024-12-17,"14,050.00",-2.43,"14,130.00","14,050.00","14,120.20",505,"7,128,604.00"
80,2024-12-16,"14,400.00",-0.17,"14,400.00","14,105.10","14,141.20",196,"2,780,100.00"
