#,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
1,2025-04-21,435.89,3.27,443.00,421.20,422.00,"82,501","35,967,854.80"
2,2025-04-20,422.10,1.77,430.00,415.00,421.00,"59,789","25,355,138.00"
3,2025-04-17,414.76,1.48,420.00,405.00,405.00,"39,000","16,201,478.80"
4,2025-04-16,408.71,1.33,410.00,400.20,400.20,"5,608","2,284,594.10"
5,2025-04-15,403.34,1.09,422.00,397.00,399.50,"15,310","6,218,241.20"
6,2025-04-13,398.99,-1.35,407.00,398.00,404.50,"17,532","7,020,691.50"
7,2025-04-10,404.45,-2.38,411.10,400.00,411.10,"31,444","12,741,582.90"
8,2025-04-09,414.30,-0.79,420.90,413.10,414.00,"9,214","3,842,845.80"
9,2025-04-08,417.59,-1.4,429.90,413.00,426.90,"35,133","14,690,212.40"
10,2025-04-07,423.53,6.63,427.40,404.00,404.00,"113,778","48,011,054.50"
11,2025-04-03,397.20,0.07,408.00,397.00,400.00,"12,342","4,955,098.50"
12,2025-04-02,396.91,-0.44,405.90,395.00,405.90,"7,197","2,857,740.00"
13,2025-04-01,398.66,-0.37,400.10,393.00,398.00,"6,311","2,510,988.90"
14,2025-03-30,400.14,0.67,411.00,398.90,402.00,"16,858","6,807,024.10"
15,2025-03-27,397.48,2.22,403.90,388.10,396.00,"12,868","5,072,587.50"
16,2025-03-26,388.85,1.03,393.00,380.70,380.70,"8,759","3,402,894.40"
17,2025-03-25,384.90,-2.54,394.00,384.00,394.00,"12,260","4,754,002.10"
18,2025-03-24,394.93,1.37,396.60,385.00,389.60,"12,720","5,005,565.80"
19,2025-03-23,389.60,-0.33,395.00,387.00,390.20,"35,496","13,864,861.40"
20,2025-03-20,390.90,-0.66,395.80,390.00,394.00,"10,938","4,292,031.00"
21,2025-03-19,393.50,-1.13,405.00,393.50,405.00,"11,152","4,420,633.30"
22,2025-03-18,398.00,-0.3,415.00,397.10,407.10,"6,239","2,496,530.20"
23,2025-03-17,399.20,-0.45,407.00,399.20,401.00,"7,839","3,144,559.10"
24,2025-03-16,401.00,-0.5,411.00,400.00,411.00,"14,602","5,855,110.00"
25,2025-03-12,403.00,0.5,408.00,400.00,400.00,"12,115","4,886,993.70"
26,2025-03-11,401.00,-2.2,410.00,399.00,410.00,"38,526","15,459,148.20"
27,2025-03-10,410.00,-0.97,418.00,410.00,411.20,"17,969","7,425,450.50"
28,2025-03-09,414.00,-1.43,418.80,403.40,411.60,"18,182","7,506,589.50"
29,2025-03-06,420.00,0,436.80,415.10,427.00,"10,553","4,436,299.60"
30,2025-03-05,420.00,-1.43,428.90,419.00,428.00,"21,539","9,119,090.00"
31,2025-03-04,426.10,-3.81,460.00,426.00,446.90,"30,995","13,426,222.60"
32,2025-03-03,443.00,-0.65,482.40,433.00,454.80,"65,723","29,053,435.50"
33,2025-03-02,445.90,7.45,456.00,415.00,423.00,"99,160","42,496,345.60"
34,2025-02-27,415.00,0.97,417.10,407.20,415.00,"23,432","9,664,765.50"
35,2025-02-25,411.00,-1.32,422.00,408.20,421.90,"16,067","6,610,498.30"
36,2025-02-24,416.50,0.36,430.00,407.20,420.90,"15,961","6,703,684.00"
37,2025-02-23,415.00,-0.24,425.00,400.40,408.00,"30,203","12,555,308.40"
38,2025-02-20,416.00,-2.35,434.00,413.00,426.00,"16,880","7,083,980.20"
39,2025-02-18,426.00,3.4,431.00,414.00,419.90,"66,466","28,329,043.30"
40,2025-02-17,412.00,1.73,413.00,401.90,410.00,"63,136","25,789,330.60"
41,2025-02-16,405.00,0.5,408.00,398.20,400.20,"14,333","5,784,654.80"
42,2025-02-13,403.00,-0.86,414.60,402.00,414.60,"18,875","7,620,784.50"
43,2025-02-12,406.50,-1.55,414.90,405.00,414.90,"15,268","6,264,460.00"
44,2025-02-11,412.90,-0.51,423.30,408.20,423.30,"11,859","4,870,869.70"
45,2025-02-10,415.00,1.22,415.00,403.00,410.00,"21,971","8,968,651.90"
46,2025-02-09,410.00,1.21,412.90,400.00,405.00,"29,632","11,968,692.50"
47,2025-02-06,405.10,-0.47,413.00,405.10,412.90,"19,871","8,115,464.00"
48,2025-02-05,407.00,-0.73,413.00,405.10,412.40,"15,734","6,439,011.10"
49,2025-02-04,410.00,0.07,416.00,404.10,416.00,"23,780","9,707,591.50"
