#,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
1,2025-04-17,862.76,1.03,882.00,856.00,856.00,"7,628","6,604,765.60"
2,2025-04-16,853.97,-0.46,863.00,845.00,845.00,"3,255","2,788,936.00"
3,2025-04-15,857.92,2.05,869.90,835.00,835.00,"5,842","4,995,928.20"
4,2025-04-13,840.72,-0.23,842.90,826.50,826.50,"3,851","3,233,731.40"
5,2025-04-10,842.65,0.05,853.00,838.80,840.00,"2,775","2,339,109.90"
6,2025-04-09,842.26,0.68,853.90,820.00,820.00,"4,481","3,790,259.90"
7,2025-04-08,836.55,-0.08,844.00,830.00,844.00,"4,625","3,863,184.90"
8,2025-04-07,837.26,-1.89,856.40,833.00,845.20,"5,670","4,778,782.40"
9,2025-04-03,853.37,-0.77,865.00,851.60,854.00,"3,929","3,373,007.00"
10,2025-04-02,860.00,0.83,868.70,845.10,852.91,"2,817","2,403,185.00"
11,2025-04-01,852.91,-2.48,877.00,850.00,860.20,"4,773","4,090,316.40"
12,2025-03-30,874.57,2.86,885.00,850.00,850.00,"6,657","5,783,873.70"
13,2025-03-27,850.26,1.33,855.00,837.00,851.00,"7,538","6,374,842.10"
14,2025-03-26,839.09,2.13,845.00,821.00,821.00,"3,527","2,944,923.50"
15,2025-03-25,821.63,-4.12,850.00,816.10,842.10,"9,341","7,761,174.80"
16,2025-03-24,856.90,0.79,862.90,834.10,849.00,"4,142","3,519,226.10"
17,2025-03-23,850.17,-2.65,875.00,849.60,873.00,"7,050","6,050,504.50"
18,2025-03-20,873.32,-0.76,881.00,870.40,875.00,"4,783","4,182,623.80"
19,2025-03-19,880.00,0.55,897.00,875.00,875.00,"8,516","7,543,887.20"
20,2025-03-18,875.20,-0.22,888.00,875.20,886.00,"4,279","3,771,549.30"
21,2025-03-17,877.10,-0.89,899.80,870.10,870.10,"5,847","5,140,076.80"
22,2025-03-16,885.00,-0.85,900.00,871.00,895.00,"13,394","11,861,292.20"
23,2025-03-12,892.60,2.72,895.00,851.70,851.70,"15,942","14,029,250.90"
24,2025-03-11,869.00,-1.27,894.90,863.00,887.00,"12,618","11,076,127.00"
25,2025-03-10,880.20,-1.69,912.90,880.10,912.90,"10,862","9,703,226.90"
26,2025-03-09,895.30,-1.19,906.20,889.00,906.20,"14,406","12,918,908.60"
27,2025-03-06,906.10,0.64,914.00,900.00,900.00,"10,551","9,567,868.80"
28,2025-03-05,900.30,-1.76,933.90,900.00,933.90,"11,020","9,993,493.80"
29,2025-03-04,916.40,-1.04,944.00,915.00,930.00,"5,748","5,312,972.60"
30,2025-03-03,926.00,-2.83,961.00,925.00,950.00,"19,720","18,503,310.80"
31,2025-03-02,953.00,3.71,953.00,923.20,925.00,"31,412","29,542,738.40"
32,2025-02-27,918.90,1.31,925.10,908.00,925.10,"10,042","9,196,744.00"
33,2025-02-25,907.00,0.22,915.00,903.10,910.00,"11,945","10,849,275.30"
34,2025-02-24,905.00,-0.17,924.00,901.00,901.00,"13,985","12,781,993.80"
35,2025-02-23,906.50,-0.6,920.00,890.40,900.00,"14,811","13,428,313.20"
36,2025-02-20,912.00,-0.87,927.00,910.10,920.00,"9,524","8,735,922.20"
37,2025-02-18,920.00,-2.01,940.00,917.40,920.20,"13,836","12,855,641.00"
38,2025-02-17,938.90,0.96,950.00,920.00,920.00,"18,508","17,419,695.90"
39,2025-02-16,930.00,2.09,933.30,892.80,892.80,"11,431","10,548,112.80"
40,2025-02-13,911.00,-1.3,930.00,910.00,915.00,"16,697","15,251,829.50"
41,2025-02-12,923.00,-1.81,952.00,923.00,945.60,"15,166","14,177,810.20"
42,2025-02-11,940.00,1.29,945.00,930.00,930.00,"9,713","9,113,783.10"
43,2025-02-10,928.00,0.76,935.00,902.60,902.60,"19,067","17,712,204.70"
44,2025-02-09,921.00,-0.49,940.00,920.30,925.60,"8,579","7,954,609.40"
45,2025-02-06,925.50,-0.16,942.90,921.20,925.10,"9,714","9,000,485.70"
46,2025-02-05,927.00,-1.7,946.00,925.00,941.10,"9,647","8,993,329.00"
47,2025-02-04,943.00,-0.63,955.90,941.00,950.00,"10,031","9,514,988.60"
48,2025-02-03,949.00,-1.96,987.30,948.00,987.00,"18,390","17,596,164.00"
49,2025-02-02,968.00,6.96,977.00,915.00,915.00,"38,787","36,686,395.50"
50,2025-01-28,905.00,-0.39,914.00,900.00,908.10,"17,896","16,245,980.40"
51,2025-01-27,908.50,-0.49,920.00,906.10,913.00,"10,160","9,264,152.40"
52,2025-01-26,913.00,-0.54,929.00,912.10,921.10,"14,693","13,529,119.50"
53,2025-01-23,918.00,-1.24,944.00,911.30,935.00,"9,134","8,418,993.00"
54,2025-01-22,929.50,1.58,935.00,912.50,918.00,"30,909","28,683,554.70"
55,2025-01-21,915.00,0.33,920.00,904.20,906.20,"8,371","7,632,463.50"
56,2025-01-20,912.00,0.77,923.00,888.00,905.00,"9,117","8,259,079.10"
57,2025-01-19,905.00,0.82,906.00,880.40,880.40,"6,716","6,014,439.90"
58,2025-01-16,897.60,1.42,897.60,875.00,890.20,"9,145","8,089,587.90"
59,2025-01-15,885.00,-0.56,909.60,885.00,886.00,"9,120","8,168,073.00"
60,2025-01-13,890.00,-1.11,908.00,870.00,885.00,"13,483","11,890,780.30"
61,2025-01-12,900.00,-0.11,915.00,900.00,915.00,"4,797","4,330,752.00"
62,2025-01-09,901.00,0,936.30,897.10,897.10,"20,568","18,741,353.50"
63,2025-01-08,901.00,0,913.50,901.00,903.20,"12,186","11,029,666.00"
64,2025-01-07,901.00,-0.66,917.90,897.00,901.00,"12,960","11,755,332.40"
65,2025-01-06,907.00,3.65,918.00,875.00,875.00,"12,123","10,938,316.50"
66,2025-01-05,875.10,-0.78,887.70,867.00,867.00,"7,943","6,956,716.30"
67,2025-01-02,882.00,1.85,884.90,857.20,866.00,"9,777","8,548,994.90"
68,2025-01-01,866.00,1.31,871.50,850.00,854.00,"1,916","1,653,299.90"
69,2024-12-31,854.80,-1.18,860.00,840.00,855.10,"12,261","10,422,505.50"
70,2024-12-29,865.00,-1.49,892.00,865.00,879.00,"8,557","7,491,897.00"
71,2024-12-26,878.10,0.14,885.00,870.00,870.10,"4,930","4,315,285.40"
72,2024-12-24,876.90,0.56,888.90,870.00,872.00,"9,903","8,713,146.00"
73,2024-12-23,872.00,1.41,872.00,855.00,870.00,"4,800","4,151,518.40"
74,2024-12-22,859.90,-0.36,880.00,851.00,858.30,"9,805","8,436,807.30"
75,2024-12-19,863.00,-1.03,889.00,863.00,889.00,"14,929","12,968,878.70"
76,2024-12-18,872.00,-0.23,906.00,869.00,890.00,"15,372","13,516,822.90"
77,2024-12-17,874.00,-0.68,892.00,866.00,866.00,"5,442","4,772,608.50"
78,2024-12-16,880.00,-2.44,902.00,875.10,902.00,"17,167","15,184,602.30"
79,2024-12-12,902.00,-2.91,936.00,902.00,910.50,"9,209","8,438,764.20"
80,2024-12-11,929.00,0.87,931.00,910.00,910.10,"6,725","6,215,769.00"
81,2024-12-10,921.00,0.99,922.00,907.50,912.00,"8,045","7,348,171.50"
82,2024-12-09,912.00,0.77,922.90,900.00,900.00,"10,415","9,493,895.40"
83,2024-12-08,905.00,-1.74,938.00,905.00,921.00,"19,069","17,471,286.20"
84,2024-12-05,921.00,-2.85,952.80,920.10,935.00,"15,208","14,127,275.30"
85,2024-12-04,948.00,-2.47,977.00,948.00,972.00,"21,334","20,499,505.50"
86,2024-12-03,972.00,-2.1,"1,002.00",960.00,"1,000.00","21,704","21,157,396.10"
87,2024-12-02,992.90,4.53,"1,025.00",950.00,963.00,"74,336","73,595,183.80"
88,2024-12-01,949.90,3.93,969.00,922.00,932.20,"67,386","64,014,826.40"
89,2024-11-28,914.00,-2.45,947.00,901.60,920.00,"14,780","13,510,394.30"
90,2024-11-27,937.00,0.97,945.90,927.10,945.90,"10,062","9,395,768.30"
91,2024-11-26,928.00,3.34,930.00,905.00,915.00,"15,621","14,324,367.80"
92,2024-11-25,898.00,0.9,918.00,878.10,900.00,"18,293","16,517,875.50"
93,2024-11-24,890.00,-1.11,905.00,880.10,904.00,"21,979","19,624,534.30"
94,2024-11-21,900.00,-2.28,930.00,896.80,929.00,"20,904","19,002,357.30"
95,2024-11-20,921.00,2.91,921.00,892.00,909.00,"17,378","15,718,356.40"
96,2024-11-19,895.00,-5.49,940.00,895.00,930.10,"38,900","35,579,913.50"
97,2024-11-17,947.00,-0.21,985.80,942.00,965.00,"25,601","24,571,275.20"
98,2024-11-14,949.00,0.53,966.00,935.00,946.40,"37,284","35,468,731.30"
99,2024-11-13,944.00,2.61,965.00,905.10,905.10,"53,834","50,742,996.90"
100,2024-11-12,920.00,2.2,930.00,902.00,905.00,"35,727","32,859,051.40"
103,2024-11-11,900.20,0.13,918.00,897.00,899.00,"17,241","15,623,863.50"
104,2024-11-10,899.00,2.51,899.00,876.10,877.00,"16,147","14,342,523.70"
105,2024-11-06,877.00,1.98,877.00,850.00,876.00,"4,632","3,998,334.00"
