#,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
1,2025/04/17,679.49,1.38,683.50,666.00,680.00,"24,755","16,736,019.50"
2,2025/04/16,670.26,-1.21,680.00,668.40,680.00,"10,581","7,110,607.40"
3,2025/04/15,678.48,2.97,700.00,660.00,670.00,"31,114","21,130,077.40"
4,2025/04/13,658.90,-0.51,675.00,655.20,655.20,"15,436","10,209,578.20"
5,2025/04/10,662.27,0.15,683.90,660.00,674.50,"12,415","8,248,432.10"
6,2025/04/09,661.30,-0.14,675.00,660.00,675.00,"11,472","7,623,166.20"
7,2025/04/08,662.25,-0.17,669.00,655.10,660.00,"14,942","9,843,284.90"
8,2025/04/07,663.40,-1.21,683.00,662.10,683.00,"14,550","9,713,605.20"
9,2025/04/03,671.52,-1.8,697.90,670.30,690.00,"26,834","18,375,085.50"
10,2025/04/02,683.83,3.39,699.00,664.00,674.50,"34,750","23,698,637.30"
11,2025/04/01,661.43,-2,675.00,660.00,675.00,"16,675","11,070,053.50"
12,2025/03/30,674.90,1.4,680.00,665.00,665.00,"19,716","13,312,504.00"
13,2025/03/27,665.59,0.85,670.00,658.00,663.00,"11,616","7,739,725.80"
14,2025/03/26,660.00,0.97,667.00,650.00,663.00,"14,004","9,216,646.30"
15,2025/03/25,653.67,-3.37,676.50,652.10,676.50,"22,810","15,016,074.00"
16,2025/03/24,676.45,2.9,679.00,648.10,658.00,"19,636","13,094,476.30"
17,2025/03/23,657.36,-3.39,680.00,656.60,668.00,"24,668","16,384,788.70"
18,2025/03/20,680.41,-1.82,699.00,677.00,699.00,"35,551","24,296,674.90"
19,2025/03/19,693.00,-1.56,710.00,692.00,704.00,"23,346","16,305,622.40"
20,2025/03/18,704.00,-0.14,716.90,702.00,707.20,"12,066","8,531,123.30"
21,2025/03/17,705.00,-0.41,720.90,701.00,701.00,"15,655","11,102,332.10"
22,2025/03/16,707.90,-0.31,714.00,700.00,710.10,"20,873","14,710,611.80"
23,2025/03/12,710.10,0.41,718.00,708.00,711.00,"20,698","14,737,047.70"
24,2025/03/11,707.20,-2.02,734.90,705.00,727.00,"27,101","19,366,610.60"
25,2025/03/10,721.80,-0.85,742.30,716.40,729.00,"23,912","17,323,291.80"
26,2025/03/09,728.00,-1.25,750.00,726.10,750.00,"20,888","15,264,139.20"
27,2025/03/06,737.20,-0.91,756.00,737.00,750.00,"16,543","12,285,225.20"
28,2025/03/05,744.00,-1.33,757.90,737.10,754.00,"29,193","21,684,060.40"
29,2025/03/04,754.00,-2.33,780.00,750.00,772.00,"31,720","24,329,796.70"
30,2025/03/03,772.00,0.26,796.00,770.00,775.00,"62,911","49,395,681.60"
31,2025/03/02,770.00,5.77,770.00,740.00,742.50,"51,357","38,776,142.70"
32,2025/02/27,728.00,-0.01,755.00,713.60,742.60,"36,875","26,844,408.20"
33,2025/02/25,728.10,-1.87,749.70,728.10,735.00,"36,374","26,780,087.70"
34,2025/02/24,742.00,-0.54,760.90,736.10,760.90,"27,096","20,168,327.70"
35,2025/02/23,746.00,-1.32,761.00,738.00,740.90,"36,842","27,558,139.80"
36,2025/02/20,756.00,-0.4,783.00,745.00,759.00,"45,207","34,411,140.50"
37,2025/02/18,759.00,-2.32,785.00,756.00,785.00,"35,681","27,253,125.60"
38,2025/02/17,777.00,-2.14,811.00,768.50,794.00,"53,584","42,012,098.20"
39,2025/02/16,794.00,7.81,799.00,721.80,721.80,"113,622","88,008,639.80"
40,2025/02/13,736.50,1.59,745.00,732.50,739.00,"56,510","41,768,559.00"
41,2025/02/12,725.00,-0.14,740.50,722.00,740.50,"25,851","18,831,773.80"
42,2025/02/11,726.00,-0.45,749.00,720.00,738.90,"21,983","15,909,408.70"
43,2025/02/10,729.30,-1.45,755.00,729.30,740.00,"26,930","19,938,059.10"
44,2025/02/09,740.00,0.95,755.10,720.00,736.10,"46,194","34,013,623.50"
45,2025/02/06,733.00,0.98,765.00,726.10,730.00,"85,559","63,873,136.50"
46,2025/02/05,725.90,3.4,760.00,691.00,705.00,"51,229","36,798,941.90"
