#,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
1,2025/04/17,215.28,0.02,221.90,215.10,217.00,"151,475","33,016,251.90"
2,2025/04/16,215.24,3.3,216.00,208.10,212.50,"131,308","27,910,166.50"
3,2025/04/15,208.37,0.58,213.00,207.00,209.00,"104,691","22,020,539.10"
4,2025/04/13,207.16,-0.1,211.00,206.70,209.00,"56,126","11,654,615.50"
5,2025/04/10,207.36,0,210.90,206.00,209.00,"105,479","21,891,284.30"
6,2025/04/09,207.35,-0.31,211.70,206.60,211.70,"77,694","16,185,720.30"
7,2025/04/08,208.00,0.21,209.00,205.80,207.40,"105,237","21,769,814.90"
8,2025/04/07,207.57,0.01,211.10,204.00,204.00,"119,747","24,910,803.70"
9,2025/04/03,207.54,-1.24,213.90,206.00,213.90,"154,519","32,258,867.00"
10,2025/04/02,210.15,-0.53,215.00,207.00,215.00,"87,191","18,302,596.60"
11,2025/04/01,211.28,-1.53,216.00,209.10,210.30,"80,514","17,020,394.50"
12,2025/03/30,214.56,1.52,218.80,207.50,211.00,"156,202","33,758,079.30"
13,2025/03/27,211.35,1.44,212.00,205.70,207.10,"106,788","22,444,580.30"
14,2025/03/26,208.34,1.48,210.00,205.30,208.00,"71,355","14,854,393.00"
15,2025/03/25,205.31,-1.99,209.70,204.00,206.00,"86,398","17,793,239.90"
16,2025/03/24,209.48,1.67,213.00,202.10,206.00,"107,413","22,462,339.80"
17,2025/03/23,206.04,-3.44,217.60,205.10,217.60,"152,842","31,881,274.30"
18,2025/03/20,213.38,-0.66,217.80,213.00,216.00,"102,458","21,991,706.00"
19,2025/03/19,214.80,-0.56,218.00,213.00,216.10,"129,144","27,790,181.10"
20,2025/03/18,216.00,0.65,219.30,215.00,215.00,"86,003","18,684,660.40"
21,2025/03/17,214.60,-0.19,219.20,213.00,214.00,"105,773","22,843,717.00"
22,2025/03/16,215.00,-1.83,221.30,213.10,219.00,"155,901","33,649,646.60"
23,2025/03/12,219.00,3.45,220.00,212.00,212.00,"159,009","34,297,109.20"
24,2025/03/11,211.70,-2.22,219.50,211.00,216.60,"154,812","33,079,292.40"
25,2025/03/10,216.50,-2.48,225.00,214.00,225.00,"207,088","45,398,019.00"
26,2025/03/09,222.00,-2.84,230.00,219.00,229.00,"247,313","55,352,270.90"
27,2025/03/06,228.50,0,231.50,226.20,226.30,"206,883","47,310,757.30"
28,2025/03/05,228.50,-0.65,235.80,226.90,234.60,"304,912","70,343,006.60"
29,2025/03/04,230.00,0.88,239.90,225.00,232.50,"627,467","147,142,118.40"
30,2025/03/03,228.00,-4.16,240.00,227.40,240.00,"361,772","83,831,993.90"
31,2025/03/02,237.90,5.59,243.00,229.80,229.80,"553,805","130,164,233.20"
32,2025/02/27,225.30,9.96,225.30,204.50,206.80,"664,456","144,993,814.00"
33,2025/02/25,204.90,1.44,206.00,202.60,206.00,"170,263","34,743,130.10"
34,2025/02/24,202.00,-0.79,206.50,200.50,200.50,"200,729","40,997,799.30"
35,2025/02/23,203.60,0.3,203.90,199.00,203.00,"145,420","29,335,172.70"
36,2025/02/20,203.00,-0.98,209.10,202.10,209.10,"123,991","25,231,435.70"
37,2025/02/18,205.00,-1.35,210.00,205.00,209.00,"271,389","56,150,607.30"
38,2025/02/17,207.80,-1.05,209.00,205.00,205.80,"162,781","33,703,280.30"
39,2025/02/16,210.00,1.45,210.80,203.10,207.00,"85,457","17,648,875.80"
40,2025/02/13,207.00,-0.48,208.00,206.00,206.00,"20,254","4,191,223.50"
41,2025/02/12,208.00,0.05,212.00,206.00,212.00,"34,107","7,081,933.70"
42,2025/02/11,207.90,0.29,209.00,207.00,207.10,"26,948","5,595,630.10"
43,2025/02/10,207.30,-1.75,218.00,207.00,214.00,"36,656","7,723,167.50"
44,2025/02/09,211.00,-1.86,216.00,211.00,215.00,"28,060","5,982,119.90"
45,2025/02/06,215.00,0.19,219.00,213.00,217.00,"71,452","15,474,087.40"
46,2025/02/05,214.60,0.28,218.00,211.00,212.00,"60,330","13,021,684.30"
47,2025/02/04,214.00,0,217.90,211.00,217.90,"44,789","9,568,769.00"
48,2025/02/03,214.00,-0.47,220.90,214.00,219.00,"77,615","16,793,556.70"
49,2025/02/02,215.00,2.38,221.00,210.00,212.00,"152,957","33,175,349.60"
50,2025/01/28,210.00,1.45,211.00,207.00,211.00,"48,038","10,055,319.80"
51,2025/01/27,207.00,0.83,213.50,206.00,209.40,"48,613","10,166,958.00"
52,2025/01/26,205.30,-1.82,210.00,205.00,208.00,"38,737","8,017,491.40"
53,2025/01/23,209.10,-0.43,218.00,207.30,214.00,"37,490","7,875,543.10"
