#,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
1,2025/04/17,399.54,1.15,403.00,394.20,401.00,"117,791","47,035,027.80"
2,2025/04/16,394.99,-0.16,403.00,390.00,403.00,"58,933","23,234,397.00"
3,2025/04/15,395.61,1.81,402.00,384.10,396.00,"131,387","51,897,675.30"
4,2025/04/13,388.59,0.44,393.00,384.80,385.50,"71,820","27,785,194.10"
5,2025/04/10,386.89,-0.72,392.00,385.20,390.00,"71,834","27,824,147.40"
6,2025/04/09,389.68,-0.09,395.00,388.10,391.00,"67,285","26,282,018.00"
7,2025/04/08,390.05,-0.03,393.00,384.20,393.00,"86,945","33,658,131.50"
8,2025/04/07,390.16,-1.33,399.00,389.00,396.00,"76,857","30,118,502.00"
9,2025/04/03,395.43,-0.23,405.00,388.50,388.50,"94,468","37,592,743.00"
10,2025/04/02,396.34,-0.16,402.10,392.20,397.00,"61,569","24,538,932.80"
11,2025/04/01,396.97,-2.05,408.00,395.00,405.00,"95,440","38,101,600.90"
12,2025/03/30,405.28,-0.12,415.00,400.00,401.30,"137,611","56,246,460.20"
13,2025/03/27,405.76,2.23,408.00,391.50,391.50,"206,869","83,374,080.60"
14,2025/03/26,396.91,2.81,403.50,383.00,388.00,"78,912","31,124,045.60"
15,2025/03/25,386.05,-3.68,399.00,385.00,398.00,"176,737","69,014,979.10"
16,2025/03/24,400.81,0.67,405.00,391.00,391.00,"115,424","46,188,681.50"
17,2025/03/23,398.16,-2.98,411.00,396.30,411.00,"299,984","120,104,956.40"
18,2025/03/20,410.39,-1.82,422.00,409.20,418.00,"225,151","93,220,167.10"
19,2025/03/19,418.00,0.34,431.70,408.30,408.30,"287,403","121,015,016.80"
20,2025/03/18,416.60,-0.81,428.40,416.00,428.40,"93,125","39,117,736.40"
21,2025/03/17,420.00,-5.41,440.00,417.00,436.10,"524,637","223,556,630.70"
22,2025/03/16,444.00,-5.11,465.00,435.20,458.60,"829,355","373,075,970.50"
23,2025/03/12,467.90,4.82,488.00,455.30,455.30,"817,090","384,322,638.50"
24,2025/03/11,446.40,9.98,446.40,409.00,414.00,"991,444","433,417,784.40"
25,2025/03/10,405.90,-3.82,428.80,405.20,422.00,"281,330","116,477,606.50"
26,2025/03/09,422.00,-1.63,435.00,415.00,429.00,"257,645","109,063,134.70"
27,2025/03/06,429.00,7.84,434.00,398.00,404.00,"492,632","206,912,757.10"
28,2025/03/05,397.80,-1.53,407.90,392.00,407.80,"191,274","75,497,009.00"
29,2025/03/04,404.00,0.1,411.00,401.10,403.60,"79,949","32,405,141.60"
30,2025/03/03,403.60,-2.04,416.00,403.00,412.00,"44,732","18,185,221.60"
31,2025/03/02,412.00,3,415.00,399.00,403.00,"90,859","37,067,940.00"
32,2025/02/27,400.00,1.81,402.00,395.00,398.00,"57,939","23,070,444.60"
33,2025/02/25,392.90,0.2,399.70,392.00,399.70,"31,635","12,486,500.30"
34,2025/02/24,392.10,0.28,406.00,387.00,387.00,"47,283","18,718,317.40"
35,2025/02/23,391.00,-2.52,403.00,390.10,393.10,"107,553","42,560,449.70"
36,2025/02/20,401.10,-1.45,409.70,401.10,407.00,"54,995","22,205,356.10"
37,2025/02/18,407.00,-2.86,421.00,405.10,421.00,"71,114","29,078,690.30"
38,2025/02/17,419.00,1.45,420.50,407.20,415.00,"99,556","41,127,104.40"
39,2025/02/16,413.00,1.98,413.10,403.00,405.00,"59,294","24,157,724.60"
40,2025/02/13,405.00,-1.48,415.00,405.00,415.00,"35,728","14,623,797.30"
41,2025/02/12,411.10,-0.44,423.30,407.20,415.00,"118,343","49,178,569.50"
42,2025/02/11,412.90,5.6,412.90,390.00,390.10,"69,676","27,692,661.20"
43,2025/02/10,391.00,-1.76,407.00,389.00,398.00,"53,360","21,069,946.70"
44,2025/02/09,398.00,-1.17,409.00,397.00,407.00,"41,688","16,795,527.30"
45,2025/02/06,402.70,-2.26,420.00,402.40,420.00,"73,695","30,250,679.40"
46,2025/02/05,412.00,0.73,415.00,403.00,409.00,"31,236","12,759,180.80"
47,2025/02/04,409.00,-1.89,421.00,407.00,416.00,"68,048","28,056,345.00"
48,2025/02/03,416.90,-0.22,443.00,409.00,417.80,"135,576","56,938,442.10"
49,2025/02/02,417.80,3.93,420.30,403.00,410.00,"99,231","41,067,204.60"
50,2025/01/28,402.00,4.42,409.00,386.50,386.90,"161,943","64,769,423.80"
51,2025/01/27,385.00,4.48,389.90,366.00,366.00,"104,771","39,513,083.40"
52,2025/01/26,368.50,0.08,371.00,366.10,368.00,"43,872","16,176,502.50"
53,2025/01/23,368.20,-2.33,382.00,368.00,382.00,"24,649","9,201,552.00"
54,2025/01/22,377.00,1.97,378.80,365.20,365.20,"44,890","16,766,117.80"
55,2025/01/21,369.70,1.15,371.00,364.00,365.00,"43,602","15,998,765.20"
56,2025/01/20,365.50,-0.68,373.10,364.40,373.10,"20,208","7,399,555.50"
57,2025/01/19,368.00,0.82,370.00,362.10,365.00,"32,425","11,904,105.00"
58,2025/01/16,365.00,-1.08,374.50,363.60,370.10,"27,984","10,257,732.70"
59,2025/01/15,369.00,0.54,374.30,368.20,374.30,"15,896","5,883,969.70"
60,2025/01/13,367.00,-0.68,374.90,365.00,374.00,"48,325","17,781,821.40"
61,2025/01/12,369.50,-2.76,379.10,369.50,376.50,"53,481","19,909,581.80"
62,2025/01/09,380.00,-2.06,393.00,380.00,393.00,"39,381","15,083,964.90"
63,2025/01/08,388.00,3.19,392.00,374.00,379.90,"56,114","21,583,682.50"
64,2025/01/07,376.00,0,381.70,372.20,376.00,"27,740","10,442,313.80"
65,2025/01/06,376.00,2.37,378.00,364.00,365.00,"28,419","10,591,164.30"
66,2025/01/05,367.30,-0.46,372.80,367.10,368.50,"20,595","7,604,930.10"
67,2025/01/02,369.00,1.12,372.10,361.30,365.00,"26,738","9,817,483.60"
68,2025/01/01,364.90,0.8,370.00,360.10,367.00,"33,723","12,321,754.70"
69,2024/12/31,362.00,-4.15,372.90,358.70,371.10,"44,801","16,317,571.60"
70,2024/12/29,389.00,-0.05,399.00,387.00,396.00,"55,303","21,665,932.30"
71,2024/12/26,389.20,-0.56,394.00,384.00,385.20,"24,142","9,386,972.40"
72,2024/12/24,391.40,-0.41,402.00,388.40,393.00,"41,290","16,373,920.60"
73,2024/12/23,393.00,2.34,393.00,382.60,386.00,"17,687","6,867,056.80"
74,2024/12/22,384.00,-1.54,396.00,380.50,386.00,"35,279","13,551,379.90"
75,2024/12/19,390.00,-1.24,396.80,384.10,396.00,"46,747","18,174,779.60"
76,2024/12/18,394.90,-0.03,402.00,390.20,397.00,"42,086","16,693,419.60"
77,2024/12/17,395.00,0.25,400.00,388.10,388.10,"21,264","8,422,622.90"
78,2024/12/16,394.00,-2.72,407.00,391.50,407.00,"48,371","19,173,490.80"
79,2024/12/12,405.00,-2.36,415.00,403.10,415.00,"40,078","16,347,085.70"
80,2024/12/11,414.80,1.17,414.80,405.20,405.20,"19,201","7,890,158.00"
81,2024/12/10,410.00,-0.46,418.00,405.00,418.00,"28,382","11,585,584.30"
82,2024/12/09,411.90,-0.75,418.00,410.00,417.00,"38,120","15,732,069.60"
83,2024/12/08,415.00,-2.35,429.90,410.00,417.30,"67,822","28,390,863.70"
84,2024/12/05,425.00,0.47,428.00,416.20,420.10,"119,589","50,404,407.60"
85,2024/12/04,423.00,-2.67,443.20,422.00,443.20,"75,877","32,462,615.30"
86,2024/12/03,434.60,0.14,442.60,425.50,442.40,"52,538","22,740,394.20"
87,2024/12/02,434.00,-2.67,460.00,432.00,450.00,"208,230","93,410,120.70"
88,2024/12/01,445.90,3.75,447.00,416.00,422.00,"226,995","99,810,063.70"
89,2024/11/28,429.80,0.89,447.00,417.50,417.50,"230,299","100,270,925.00"
90,2024/11/27,426.00,2.4,430.00,414.00,418.00,"68,958","29,175,323.70"
91,2024/11/26,416.00,0.97,420.20,413.00,420.20,"35,943","14,921,032.70"
92,2024/11/25,412.00,0.49,416.00,407.20,408.10,"28,261","11,640,367.40"
93,2024/11/24,410.00,-1.8,423.00,408.00,418.00,"40,794","16,849,239.90"
94,2024/11/21,417.50,-2.2,434.00,415.00,427.00,"82,844","34,999,195.60"
95,2024/11/20,426.90,3.37,429.90,410.10,411.00,"87,734","36,954,711.00"
96,2024/11/19,413.00,-3.73,427.00,413.00,425.10,"60,731","25,380,235.20"
97,2024/11/17,429.00,0.94,438.00,423.10,433.00,"67,830","29,223,457.30"
98,2024/11/14,425.00,0.71,432.00,420.00,422.00,"86,086","36,813,913.50"
99,2024/11/13,422.00,1.25,424.30,412.00,413.00,"40,448","16,915,090.10"
100,2024/11/12,416.80,0.43,420.80,413.00,420.00,"58,859","24,603,733.80"
101,2024/11/11,415.00,-0.12,428.00,412.60,422.90,"69,667","29,332,881.40"
102,2024/11/10,415.50,3.05,415.50,400.60,404.00,"70,814","29,060,566.70"
103,2024/11/06,403.20,1.43,408.90,395.40,400.00,"21,090","8,466,307.90"
104,2024/11/05,397.50,0.13,401.00,394.00,394.00,"20,371","8,125,392.80"
105,2024/10/30,397.00,-2.17,409.00,395.10,403.00,"31,943","12,858,657.70"
106,2024/10/29,405.80,1.96,406.00,399.00,399.00,"36,242","14,630,071.60"
107,2024/10/28,398.00,1.4,400.00,394.00,399.50,"35,472","14,090,972.30"
108,2024/10/27,392.50,-1.31,402.00,392.10,400.00,"21,213","8,408,063.80"
109,2024/10/24,397.70,-0.08,398.00,392.10,398.00,"19,590","7,724,154.00"
