#,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
1,2025/04/17,418.67,0.77,422.00,415.10,415.10,"22,615","9,475,488.60"
2,2025/04/16,415.46,0.23,417.00,412.00,412.00,"18,584","7,702,358.30"
3,2025/04/15,414.51,0.32,417.00,410.10,411.00,"20,553","8,538,554.70"
4,2025/04/13,413.19,-0.08,418.00,412.00,413.00,"20,122","8,316,511.00"
5,2025/04/10,413.51,-0.27,422.90,412.70,422.90,"23,520","9,732,186.00"
6,2025/04/09,414.63,0.33,421.00,413.20,421.00,"14,040","5,827,832.30"
7,2025/04/08,413.27,0.01,416.00,410.10,410.70,"35,687","14,700,201.40"
8,2025/04/07,413.22,-0.76,421.00,412.00,421.00,"35,374","14,655,518.20"
9,2025/04/03,416.38,-0.56,426.50,415.30,426.50,"61,251","25,566,330.40"
10,2025/04/02,418.71,0.55,424.00,415.70,424.00,"33,967","14,237,635.20"
11,2025/04/01,416.40,-1.29,428.00,416.00,421.00,"28,449","11,887,772.50"
12,2025/03/30,421.84,0.8,427.00,418.00,418.00,"50,757","21,479,497.10"
13,2025/03/27,418.50,0.8,423.00,413.00,423.00,"40,907","17,055,335.90"
14,2025/03/26,415.17,0.94,417.00,403.10,403.10,"46,222","19,062,575.80"
15,2025/03/25,411.30,-1.78,425.00,410.00,425.00,"41,736","17,265,132.60"
16,2025/03/24,418.76,0.37,422.90,414.50,415.50,"36,695","15,365,514.20"
17,2025/03/23,417.22,-0.4,421.90,416.00,418.88,"52,221","21,860,732.18"
18,2025/03/20,418.88,-0.27,423.90,417.70,420.00,"50,651","21,210,462.00"
19,2025/03/19,420.00,-0.47,424.00,419.90,422.00,"35,061","14,757,506.80"
20,2025/03/18,422.00,0.24,429.00,420.50,425.00,"31,892","13,467,018.00"
21,2025/03/17,421.00,-0.47,423.00,419.10,421.10,"57,036","23,992,337.50"
22,2025/03/16,423.00,-1.56,429.90,419.90,429.70,"96,970","40,899,199.60"
23,2025/03/12,429.70,1.61,429.70,419.20,419.20,"79,579","33,645,734.60"
24,2025/03/11,422.90,-1.19,434.90,419.70,434.90,"103,974","43,976,534.50"
25,2025/03/10,428.00,-2.05,445.60,427.30,445.60,"87,177","37,598,154.70"
26,2025/03/09,442.40,-0.58,453.90,442.10,453.90,"130,124","58,034,387.10"
27,2025/03/06,445.00,-0.89,456.00,443.00,450.00,"151,048","67,664,900.20"
