SN,Date,LTP,%change,High,Low,Open,Qty.,Turnover
1,2023/12/21,353.00,9.29,354.00,307.80,316.60,"50,740","16,082,106.70"
2,2023/12/20,323.00,9.98,323.00,299.50,299.50,"77,158","24,404,783.20"
3,2023/12/19,293.70,9.59,293.70,273.30,273.30,"79,411","22,692,485.30"
4,2023/12/17,261.00,6.57,261.10,231.00,240.10,"25,493","6,369,424.50"
5,2023/12/14,244.90,2.17,244.90,233.00,235.00,"11,905","2,845,817.50"
6,2023/12/13,239.70,-1.64,257.00,233.10,240.00,"19,775","4,799,058.00"
7,2023/12/12,243.70,3.7,244.90,223.10,230.30,"15,443","3,695,741.40"
8,2023/12/11,235.00,1.73,244.60,222.60,235.00,"20,242","4,685,752.00"
9,2023/12/10,231.00,9.69,231.60,212.00,214.80,"2,300","510,328.00"
10,2023/12/07,210.60,0.77,216.00,207.00,207.00,"9,642","2,040,225.30"
11,2023/12/06,209.00,1.75,209.00,201.40,201.40,"9,731","1,991,740.30"
12,2023/12/05,205.40,-1.72,206.00,201.50,205.00,"2,843","578,407.50"
13,2023/12/04,209.00,4.5,209.00,196.00,197.00,"6,723","1,383,956.50"
14,2023/12/03,200.00,-0.99,212.00,194.10,200.00,"1,487","296,260.00"
15,2023/11/30,202.00,-3.81,211.00,199.00,211.00,"5,119","1,031,229.00"
16,2023/11/29,210.00,-1.87,216.00,205.00,210.00,"3,350","696,025.80"
17,2023/11/28,214.00,2.39,214.00,205.00,210.00,"3,159","660,017.10"
18,2023/11/27,209.00,0.48,211.90,203.90,203.90,"4,872","1,014,433.40"
19,2023/11/26,208.00,6.12,211.00,193.30,198.00,"13,300","2,755,770.10"
20,2023/11/23,196.00,1.55,199.40,188.00,190.00,"1,677","325,363.00"
21,2023/11/22,193.00,-0.46,195.00,187.00,190.10,"2,695","517,704.00"
22,2023/11/21,193.90,-0.56,193.90,184.00,191.10,"2,317","433,098.00"
23,2023/11/20,195.00,-1.42,199.90,192.00,193.90,"2,872","561,361.20"
24,2023/11/09,197.80,1.96,197.80,190.10,191.00,670,"128,310.40"
25,2023/11/08,194.00,-0.46,198.60,187.50,191.10,"3,100","599,816.00"
26,2023/11/07,194.90,1.72,197.00,188.00,188.00,"2,980","568,809.20"
27,2023/11/06,191.60,-1.54,198.40,190.80,190.80,"2,730","524,786.30"
28,2023/11/05,194.60,-1.67,194.60,182.70,194.00,"1,460","276,545.30"
29,2023/11/02,197.90,1.75,198.30,190.00,190.70,"2,610","503,320.00"
30,2023/11/01,194.50,-3.67,197.90,190.20,197.90,"1,900","366,004.00"
31,2023/10/31,201.90,1.25,203.00,190.00,195.50,"2,650","511,423.50"
32,2023/10/30,199.40,-1.77,207.00,192.10,207.00,"1,023","201,051.50"
33,2023/10/29,203.00,2.78,213.00,192.00,195.00,"1,098","219,676.40"
34,2023/10/19,197.50,-2.95,202.90,191.90,199.50,"1,701","337,169.50"
35,2023/10/18,203.50,4.9,205.00,191.30,194.00,"2,558","509,690.50"
36,2023/10/17,194.00,1.31,199.20,188.00,188.00,"2,340","451,377.50"
37,2023/10/16,191.50,-3.28,198.00,191.10,195.00,"10,190","1,954,805.50"
38,2023/10/12,198.00,-4.49,203.20,198.00,203.20,"4,160","826,533.40"
39,2023/10/11,207.30,2.62,207.30,198.00,198.00,"2,656","536,690.80"
40,2023/10/10,202.00,-1.46,204.00,198.10,201.00,"5,436","1,089,559.50"
41,2023/10/09,205.00,-0.1,206.30,201.10,201.10,"4,510","914,561.80"
42,2023/10/08,205.20,-4.56,219.30,205.20,219.30,"9,172","1,903,895.10"
43,2023/10/05,215.00,0,218.50,211.00,218.50,"8,375","1,778,821.30"
44,2023/10/04,215.00,0,221.00,210.10,218.00,"6,284","1,341,830.20"
45,2023/10/03,215.00,-1.96,223.60,209.00,223.60,"5,272","1,130,154.50"
46,2023/10/02,219.30,4.83,224.00,204.00,208.00,"7,943","1,704,633.50"
47,2023/10/01,209.20,-6.86,220.20,209.20,220.20,"11,355","2,411,575.00"
48,2023/09/27,224.60,-1.01,226.00,216.40,223.00,"12,870","2,851,149.10"
49,2023/09/26,226.90,5.53,228.40,216.00,219.30,"18,663","4,175,970.30"
50,2023/09/25,215.00,1.42,220.50,208.00,216.20,"8,973","1,914,847.90"
51,2023/09/24,212.00,-2.3,223.30,206.00,221.30,"9,576","2,049,844.50"
52,2023/09/21,217.00,6.37,224.00,208.00,208.00,"11,010","2,392,701.10"
53,2023/09/19,204.00,8.51,204.00,184.20,184.30,"10,300","2,027,321.20"
54,2023/09/18,188.00,1.62,189.00,181.00,188.70,"2,855","525,130.80"
55,2023/09/17,185.00,-5.61,198.90,185.00,195.00,"1,855","350,141.00"
56,2023/09/13,196.00,6,199.00,181.70,181.70,"3,525","681,921.40"
57,2023/09/12,184.90,-1.65,187.60,180.70,184.30,"5,067","932,953.50"
58,2023/09/10,174.00,0.93,174.90,170.30,173.20,"1,410","243,539.00"
59,2023/09/07,172.40,-2.65,177.10,172.40,173.60,"2,854","498,195.00"
60,2023/09/05,177.10,-1.61,178.00,174.60,176.40,"3,111","548,953.30"
61,2023/09/04,180.00,-1.1,187.20,173.10,180.00,"3,755","671,828.80"
62,2023/09/03,182.00,-1.67,185.00,181.50,181.50,"2,477","452,003.50"
63,2023/08/30,185.10,0,192.40,185.00,188.80,"4,304","800,551.80"
64,2023/08/29,185.10,-2.58,189.00,185.00,187.10,"5,148","959,377.80"
65,2023/08/28,190.00,-0.52,194.80,187.50,187.50,"1,758","333,854.00"
66,2023/08/24,201.00,-1.95,205.00,198.00,205.00,"6,632","1,333,029.70"
67,2023/08/23,205.00,3.54,206.70,196.00,196.00,"6,000","1,228,438.00"
68,2023/08/22,198.00,1.8,201.00,190.30,191.00,"2,840","547,498.00"
69,2023/08/21,194.50,-1.27,198.00,190.50,194.00,"7,752","1,501,113.30"
70,2023/08/20,197.00,-1.25,203.40,196.10,197.00,"3,433","679,309.60"
71,2023/08/17,199.50,-1.24,204.50,198.00,198.10,"3,820","762,030.00"
72,2023/08/16,202.00,-0.98,203.00,196.40,200.00,"4,964","988,054.20"
73,2023/08/15,204.00,-1.92,207.00,203.00,204.00,"5,339","1,093,707.50"
74,2023/08/14,208.00,-0.14,214.20,206.30,206.30,"5,109","1,065,289.00"
75,2023/08/13,208.30,-2.21,217.00,208.30,217.00,"4,667","983,555.50"
76,2023/08/10,213.00,-3.58,222.90,212.00,220.10,"6,125","1,325,334.80"
77,2023/08/09,220.90,0.5,220.90,211.50,215.60,"3,668","789,130.00"
78,2023/08/08,219.80,-2.31,224.00,215.30,220.60,"6,590","1,439,572.50"
