SN,Date,LTP,%change,High,Low,Open,Qty.,Turnover
1,2023/12/21,579.80,-7.44,637.00,576.00,613.90,"142,338","83,534,318.20"
2,2023/12/20,626.40,5.24,626.40,567.00,577.00,"148,885","87,445,390.40"
3,2023/12/19,573.00,-1.16,575.00,540.00,568.20,"147,141","82,126,464.00"
4,2023/12/17,527.00,-0.38,527.00,502.10,518.50,"52,501","27,360,132.80"
5,2023/12/14,529.00,-1.12,534.50,523.10,526.00,"40,145","21,188,968.80"
6,2023/12/13,535.00,-1.83,555.90,531.50,555.90,"44,435","24,053,895.70"
7,2023/12/12,545.00,0.55,552.80,532.20,552.00,"80,529","44,052,469.40"
8,2023/12/11,542.00,0,550.00,520.00,550.00,"112,438","59,762,382.60"
9,2023/12/10,542.00,6.9,547.00,517.10,517.10,"6,573","3,543,184.30"
10,2023/12/07,507.00,2.22,511.00,487.10,496.00,"28,712","14,489,560.20"
11,2023/12/06,496.00,0.81,498.00,487.20,493.00,"13,854","6,822,627.60"
12,2023/12/05,492.00,-1.4,507.90,486.70,490.00,"23,778","11,763,171.60"
13,2023/12/04,499.00,0.81,504.00,488.00,495.00,"16,130","8,045,922.70"
14,2023/12/03,495.00,0,495.00,485.10,495.00,"9,740","4,755,518.90"
15,2023/11/30,495.00,-0.28,496.90,487.00,496.40,"11,765","5,768,555.00"
16,2023/11/29,496.40,-2.03,512.00,494.00,506.70,"13,150","6,562,329.40"
17,2023/11/28,506.70,-1.42,517.90,497.60,514.00,"31,690","15,878,603.50"
18,2023/11/27,514.00,-0.58,527.30,506.60,527.30,"17,858","9,169,673.10"
19,2023/11/26,517.00,4.23,518.00,490.00,496.00,"33,278","17,024,805.30"
20,2023/11/23,496.00,4.25,498.00,467.00,467.00,"15,648","7,613,603.10"
21,2023/11/22,475.80,1.26,475.90,465.00,469.90,"10,236","4,811,276.60"
22,2023/11/21,469.90,-0.86,483.40,466.10,483.40,"9,082","4,251,714.20"
23,2023/11/20,474.00,1.28,476.40,468.00,470.00,"9,409","4,424,809.80"
24,2023/11/09,468.00,-1.89,479.60,465.00,470.00,"6,263","2,934,406.20"
25,2023/11/08,477.00,-0.62,480.00,470.40,470.40,"5,714","2,709,924.20"
26,2023/11/07,480.00,0.63,485.00,468.00,468.00,"12,041","5,782,265.80"
27,2023/11/06,477.00,1.92,480.00,468.00,468.00,"3,214","1,523,179.60"
28,2023/11/05,468.00,-1.89,477.00,460.00,477.00,"7,426","3,453,122.50"
29,2023/11/02,477.00,-0.83,481.00,469.00,481.00,"32,374","15,345,200.00"
30,2023/11/01,481.00,0.21,487.00,472.00,472.00,"15,338","7,346,498.90"
31,2023/10/31,480.00,-3.96,498.00,479.30,490.00,"35,212","17,011,487.90"
32,2023/10/30,499.80,0.77,499.90,482.00,496.00,"4,293","2,101,865.30"
33,2023/10/29,496.00,-1.78,505.00,490.00,505.00,"7,162","3,532,247.30"
34,2023/10/19,505.00,-2.32,516.00,505.00,510.00,"5,618","2,857,686.00"
35,2023/10/18,517.00,3.82,517.00,491.00,498.00,"19,289","9,845,156.70"
36,2023/10/17,498.00,1.24,509.70,490.00,490.00,"10,296","5,160,839.20"
37,2023/10/16,491.90,-2.57,509.00,491.00,498.00,"15,405","7,629,593.50"
38,2023/10/12,504.90,-1.17,510.90,500.70,510.90,"13,946","7,004,483.90"
39,2023/10/11,510.90,0.57,512.00,498.00,508.00,"20,094","10,140,937.60"
40,2023/10/10,508.00,-1.32,517.90,500.30,514.80,"19,313","9,790,589.90"
41,2023/10/09,514.80,-0.79,525.00,507.00,518.90,"18,814","9,629,676.70"
42,2023/10/08,518.90,-2.15,530.30,515.00,530.30,"19,025","9,905,199.60"
43,2023/10/05,530.30,-1.61,539.00,530.10,539.00,"27,690","14,747,146.00"
44,2023/10/04,539.00,1.32,543.00,528.00,528.00,"6,695","3,584,799.80"
45,2023/10/03,532.00,-1.37,540.00,531.00,539.40,"15,132","8,050,288.50"
46,2023/10/02,539.40,1.11,542.90,524.00,525.00,"18,948","10,096,716.10"
47,2023/10/01,533.50,-2.02,537.70,530.00,537.10,"17,303","9,215,395.00"
48,2023/09/27,544.50,-1.93,565.00,544.00,565.00,"17,287","9,445,259.40"
49,2023/09/26,555.20,0.58,563.00,554.00,561.90,"21,309","11,878,629.90"
50,2023/09/25,552.00,-0.9,564.90,546.00,557.00,"24,837","13,787,003.20"
51,2023/09/24,557.00,-0.36,565.00,548.10,561.00,"37,227","20,765,233.90"
52,2023/09/21,559.00,4.66,566.20,536.00,544.70,"41,568","23,075,471.80"
53,2023/09/19,534.10,0.77,554.90,525.00,540.00,"21,071","11,365,477.30"
54,2023/09/18,530.00,0.38,535.00,525.00,528.00,"12,099","6,421,628.70"
55,2023/09/17,528.00,-4.17,546.00,528.00,546.00,"25,930","13,876,318.30"
56,2023/09/13,551.00,3.38,551.90,532.00,533.00,"19,979","10,909,241.40"
57,2023/09/12,533.00,-0.56,542.90,528.30,536.00,"26,699","14,316,986.20"
58,2023/09/10,518.20,0.82,525.00,514.00,514.00,"24,496","12,728,372.40"
59,2023/09/07,514.00,-1.72,525.00,514.00,523.00,"26,241","13,520,409.10"
60,2023/09/05,523.00,-1.32,539.00,520.10,536.90,"21,893","11,479,275.70"
61,2023/09/04,530.00,-0.04,537.90,523.00,530.20,"26,996","14,277,552.10"
62,2023/09/03,530.20,-2.89,546.70,530.00,535.90,"25,530","13,684,149.00"
63,2023/08/30,546.00,-0.18,554.00,542.00,547.00,"20,328","11,072,824.00"
64,2023/08/29,547.00,0.9,547.90,535.50,535.50,"15,655","8,531,783.50"
65,2023/08/28,542.10,-0.17,550.00,541.00,549.00,"19,672","10,744,426.50"
66,2023/08/24,549.00,-2.16,565.00,544.00,561.10,"34,643","19,197,202.10"
67,2023/08/23,561.10,2.94,566.00,552.30,556.00,"25,125","14,118,510.50"
68,2023/08/22,545.10,-0.18,559.90,539.00,557.00,"32,843","17,897,879.30"
69,2023/08/21,546.10,-1.07,558.90,546.10,548.00,"31,811","17,509,075.20"
70,2023/08/20,552.00,-1.6,566.00,550.00,561.00,"26,869","14,875,818.20"
71,2023/08/17,561.00,1.08,567.00,555.00,566.00,"51,580","28,906,119.40"
72,2023/08/16,555.00,-2.12,567.00,555.00,567.00,"29,520","16,486,666.20"
73,2023/08/15,567.00,-2.39,580.90,563.50,580.90,"21,265","12,119,178.10"
74,2023/08/14,580.90,-0.53,593.00,574.10,589.00,"37,485","21,963,462.50"
75,2023/08/13,584.00,2.28,591.60,567.30,568.00,"56,695","32,844,714.10"
76,2023/08/10,571.00,0.53,580.00,565.00,568.00,"30,842","17,728,828.00"
77,2023/08/09,568.00,2.77,570.00,548.60,552.70,"46,538","25,816,294.70"
78,2023/08/08,552.70,-1.83,574.00,548.20,570.00,"47,564","26,481,757.10"
79,2023/08/07,563.00,-0.9,579.10,561.60,570.00,"23,362","13,298,825.20"
80,2023/08/06,568.10,-3.55,590.00,561.20,589.00,"47,743","27,225,489.20"
81,2023/08/03,589.00,0.86,607.40,583.40,595.50,"48,895","28,806,807.90"
82,2023/08/02,584.00,1.74,584.00,567.10,574.00,"34,799","20,044,622.40"
83,2023/08/01,574.00,-2.71,610.90,568.00,599.50,"62,212","36,266,230.80"
84,2023/07/31,590.00,1.71,600.00,580.00,580.10,"25,601","15,146,939.50"
85,2023/07/30,580.10,-2.34,605.80,579.20,604.00,"101,444","59,505,442.30"
86,2023/07/27,594.00,-2.3,615.00,592.00,608.00,"65,045","39,038,465.30"
87,2023/07/26,608.00,-0.16,617.90,604.10,609.00,"55,717","33,992,565.10"
88,2023/07/25,609.00,-2.4,629.00,608.30,624.00,"59,017","36,248,005.10"
89,2023/07/24,624.00,-0.95,633.00,620.00,630.00,"58,605","36,682,227.50"
90,2023/07/23,630.00,1.45,636.00,618.00,629.00,"48,763","30,630,924.10"
91,2023/07/20,621.00,-1.43,635.90,618.10,620.00,"49,922","31,087,993.00"
92,2023/07/19,630.00,-0.16,639.80,621.10,621.10,"54,187","34,149,167.50"
93,2023/07/18,631.00,1.45,640.20,621.00,622.00,"109,534","69,184,309.40"
94,2023/07/17,622.00,1.97,625.00,609.00,610.00,"42,837","26,480,422.10"
95,2023/07/16,610.00,-0.26,627.90,604.70,623.80,"42,814","26,293,965.30"
96,2023/07/13,611.60,-2.44,637.00,611.60,630.00,"58,784","36,653,762.10"
97,2023/07/12,626.90,2.1,638.70,614.00,614.00,"66,632","41,650,288.50"
101,2023/07/11,614.00,-1.46,625.50,614.00,617.00,"59,519","36,951,882.60"
102,2023/07/10,623.10,0.34,633.00,617.00,627.00,"83,233","52,017,003.80"
103,2023/07/09,621.00,3.16,624.00,602.00,602.00,"73,559","45,300,396.40"
104,2023/07/06,602.00,-0.17,615.00,585.00,615.00,"68,144","40,897,566.20"
105,2023/07/05,603.00,-3.37,627.00,601.00,624.00,"96,235","58,653,522.10"
106,2023/07/04,624.00,0.16,635.00,614.00,623.10,"68,639","42,656,793.80"
107,2023/07/03,623.00,-0.64,642.60,618.00,625.00,"125,976","79,339,760.40"
108,2023/07/02,627.00,1.01,645.20,615.00,625.00,"262,138","166,757,292.40"
109,2023/06/28,620.70,1.09,637.00,603.10,620.00,"171,380","106,571,208.90"
