Symbol,Date,Open,High,Low,Close,Percent Change,Volume
NEPSE,2025-04-20,2724.51,2731.81,2700.85,2706.04,-0.61,"8,433,589,785.29"
NEPSE,2025-04-17,2701.23,2740.13,2697.63,2722.73,0.98,"10,797,363,282.32"
NEPSE,2025-04-16,2702.46,2704.97,2685.36,2696.23,0.26,"7,265,122,241.80"
NEPSE,2025-04-15,2678.52,2704.58,2669.22,2689.22,1.01,"8,544,357,887.81"
NEPSE,2025-04-13,2673.01,2676.7,2657.32,2662.08,-0.32,"6,280,296,245.03"
NEPSE,2025-04-10,2677.58,2687.92,2667.0,2670.7,-0.2,"5,637,981,250.23"
NEPSE,2025-04-09,2681.8,2701.12,2671.65,2676.28,0.36,"4,484,619,740.83"
NEPSE,2025-04-08,2671.62,2674.88,2631.68,2666.61,-0.12,"5,309,568,997.49"
NEPSE,2025-04-07,2702.09,2710.13,2667.56,2670.06,-1.23,"5,658,973,766.40"
NEPSE,2025-04-03,2700.23,2732.85,2700.23,2703.39,0.12,"7,844,642,487.27"
NEPSE,2025-04-02,2693.13,2712.25,2669.06,2700.04,0.89,"5,444,435,901.36"
NEPSE,2025-04-01,2691.6,2696.5,2654.57,2676.17,-0.62,"5,797,791,700.14"
NEPSE,2025-03-30,2661.63,2718.95,2657.88,2693.12,1.11,"7,568,226,197.37"
NEPSE,2025-03-27,2632.13,2666.17,2621.46,2663.3,1.58,"5,223,083,340.93"
NEPSE,2025-03-26,2580.19,2625.6,2579.45,2621.86,1.51,"4,204,408,894.90"
NEPSE,2025-03-25,2652.87,2652.87,2581.32,2582.73,-2.11,"5,180,718,708.10"
NEPSE,2025-03-24,2610.46,2645.99,2592.32,2640.78,0.99,"4,483,599,004.49"
NEPSE,2025-03-23,2667.61,2669.0,2614.09,2614.68,-2.04,"6,320,141,365.60"
NEPSE,2025-03-20,2679.97,2685.87,2666.69,2669.31,-0.47,"4,561,311,282.77"
NEPSE,2025-03-19,2699.26,2706.58,2676.3,2682.15,-0.55,"5,143,997,643.36"
NEPSE,2025-03-18,2721.82,2723.89,2690.58,2697.04,-0.28,"4,346,632,263.57"
NEPSE,2025-03-17,2715.94,2732.51,2699.2,2704.7,-0.37,"5,408,314,075.31"
NEPSE,2025-03-16,2735.97,2739.55,2693.55,2714.85,-0.79,"6,836,640,407.59"
NEPSE,2025-03-12,2718.13,2745.58,2717.29,2736.48,0.63,"8,235,268,755.31"
NEPSE,2025-03-11,2752.31,2762.25,2712.74,2719.2,-1.17,"8,391,149,050.00"
NEPSE,2025-03-10,2770.17,2791.03,2743.65,2751.42,-0.74,"8,378,055,057.57"
NEPSE,2025-03-09,2819.88,2819.92,2766.08,2772.1,-1.64,"10,093,654,129.61"
NEPSE,2025-03-06,2822.74,2834.07,2811.37,2818.43,-0.09,"10,101,817,681.95"
NEPSE,2025-03-05,2846.92,2850.16,2808.75,2821.13,-0.88,"10,972,654,473.07"
NEPSE,2025-03-04,2877.22,2894.62,2842.78,2846.3,-1.05,"12,946,493,939.18"
NEPSE,2025-03-03,2900.23,2929.21,2867.46,2876.66,-0.47,"14,284,510,595.52"
NEPSE,2025-03-02,2829.12,2890.28,2826.86,2890.28,2.67,"14,250,475,736.95"
NEPSE,2025-02-27,2786.65,2827.15,2785.98,2815.04,1.77,"11,392,401,815.91"
NEPSE,2025-02-25,2759.08,2781.95,2758.84,2765.88,0.25,"9,909,386,227.97"
NEPSE,2025-02-24,2754.55,2785.1,2746.0,2758.75,0.12,"11,085,464,758.61"
NEPSE,2025-02-23,2724.09,2768.9,2690.42,2755.4,0.42,"11,548,337,612.87"
NEPSE,2025-02-20,2738.91,2752.35,2720.69,2743.74,0.11,"8,627,687,599.86"
