SN,Date,LTP,%change,High,Low,Open,Qty.,Turnover
1,2023/12/21,792.00,-7.26,840.00,791.00,840.00,"3,505","2,818,082.70"
2,2023/12/20,854.00,7.83,857.00,737.50,777.00,"4,700","3,777,203.50"
3,2023/12/19,792.00,10,792.00,703.00,718.00,"3,042","2,206,472.10"
4,2023/12/17,675.00,-1.96,700.00,660.00,700.00,"1,595","1,062,728.50"
5,2023/12/14,688.50,-2.75,721.00,656.00,721.00,"3,568","2,386,841.80"
6,2023/12/13,708.00,4.42,733.30,658.10,690.50,"1,861","1,273,960.00"
7,2023/12/12,678.00,1.97,678.00,627.30,665.00,"2,777","1,820,577.00"
8,2023/12/11,664.90,5.99,670.50,615.00,620.00,"4,357","2,739,684.40"
9,2023/12/10,627.30,2,627.30,625.00,625.00,170,"106,375.00"
10,2023/12/07,615.00,-1.91,639.50,591.10,615.00,"2,052","1,252,243.00"
11,2023/12/06,627.00,2.79,627.00,595.00,597.80,"2,685","1,618,363.00"
12,2023/12/05,610.00,-8.81,680.00,603.00,680.00,"3,673","2,251,987.00"
13,2023/12/04,668.90,-0.31,669.00,660.00,664.00,94,"62,514.60"
14,2023/12/03,671.00,-2.33,684.40,670.00,673.30,220,"148,208.50"
15,2023/11/30,687.00,-1.72,687.00,687.00,687.00,10,"6,870.00"
16,2023/11/29,699.00,-1.27,707.80,694.00,694.00,216,"150,347.00"
17,2023/11/28,708.00,1.87,708.00,695.00,705.00,94,"66,080.00"
18,2023/11/27,695.00,0.72,695.00,695.00,695.00,100,"69,500.00"
19,2023/11/26,690.00,0,690.00,680.00,681.00,56,"38,290.00"
20,2023/11/23,690.00,2.99,697.00,683.40,683.40,119,"82,159.00"
21,2023/11/22,670.00,-1.47,676.00,670.00,676.00,208,"139,960.00"
22,2023/11/21,680.00,-1.31,680.10,680.00,680.00,130,"88,410.00"
23,2023/11/20,689.00,-2.12,689.90,676.30,689.90,143,"97,851.00"
24,2023/11/09,703.90,0.13,703.90,690.10,690.10,140,"98,054.60"
25,2023/11/08,703.00,-1.94,715.00,703.00,715.00,20,"14,180.00"
26,2023/11/07,716.90,3.9,717.00,703.00,703.00,330,"236,067.50"
27,2023/11/06,690.00,2.03,690.00,677.00,689.00,54,"37,048.00"
28,2023/11/05,676.30,-1.99,676.40,676.30,676.40,60,"40,581.20"
29,2023/11/02,690.00,0.73,690.00,690.00,690.00,10,"6,900.00"
30,2023/11/01,685.00,-3.44,696.00,685.00,695.30,80,"55,034.00"
31,2023/10/31,709.40,-0.04,723.80,709.40,723.80,64,"45,603.20"
32,2023/10/30,709.70,-0.04,709.70,695.80,695.80,69,"48,410.00"
33,2023/10/29,710.00,-0.77,710.00,710.00,710.00,24,"17,040.00"
34,2023/10/19,715.50,-2,715.50,715.50,715.50,10,"7,155.00"
35,2023/10/17,730.10,-2,758.00,730.10,758.00,585,"435,146.50"
36,2023/10/12,745.00,-4.49,764.40,735.00,764.40,291,"219,017.80"
37,2023/10/11,780.00,0,780.00,765.00,765.00,30,"23,100.00"
38,2023/10/10,780.00,0,780.00,750.00,765.00,53,"40,350.00"
39,2023/10/09,780.00,1.56,780.00,726.00,755.00,220,"166,020.00"
40,2023/10/05,768.00,1.86,769.00,730.10,769.00,289,"214,622.60"
41,2023/10/03,754.00,-3.95,785.00,754.00,785.00,44,"33,563.40"
