SN,Date,LTP,%change,High,Low,Open,Qty.,Turnover
1,2023/12/21,212.00,-2.03,217.00,210.80,215.20,"83,847","17,834,793.10"
2,2023/12/20,216.40,-1.14,223.00,210.20,223.00,"91,596","19,916,652.50"
3,2023/12/19,218.90,4.74,219.80,210.00,210.00,"99,719","21,669,963.70"
4,2023/12/17,206.00,-0.82,208.00,199.60,203.60,"23,306","4,754,407.50"
5,2023/12/14,207.70,-1,209.90,207.00,208.00,"15,409","3,205,279.00"
6,2023/12/13,209.80,1.6,210.00,206.00,209.90,"32,115","6,668,353.70"
7,2023/12/12,206.50,-0.34,208.00,204.00,207.00,"36,739","7,572,076.30"
8,2023/12/11,207.20,0.05,215.00,205.00,211.20,"53,328","11,048,124.80"
9,2023/12/10,207.10,4.12,207.10,198.00,198.00,"1,740","354,141.00"
10,2023/12/07,198.90,0.2,200.90,196.30,200.90,"15,581","3,090,267.60"
11,2023/12/06,198.50,-0.65,199.90,196.10,197.50,"11,914","2,356,132.60"
12,2023/12/05,199.80,0.15,201.00,196.10,198.10,"11,461","2,284,005.00"
13,2023/12/04,199.50,1.27,200.00,196.00,197.00,"27,732","5,470,006.70"
14,2023/12/03,197.00,-0.71,198.10,195.90,198.00,"20,400","4,019,030.70"
15,2023/11/30,198.40,-0.6,199.60,196.00,199.00,"20,933","4,123,733.60"
16,2023/11/29,199.60,0,202.00,198.10,199.60,"9,913","1,976,018.50"
17,2023/11/28,199.60,-2.16,204.00,199.00,204.00,"17,432","3,488,523.30"
18,2023/11/27,204.00,-0.73,208.00,201.10,206.00,"26,379","5,365,583.50"
19,2023/11/26,205.50,3.79,205.50,197.50,200.00,"30,912","6,244,045.80"
20,2023/11/23,198.00,0,199.00,196.00,199.00,"17,391","3,436,675.50"
21,2023/11/22,198.00,-0.5,199.90,197.00,199.70,"17,526","3,472,267.60"
22,2023/11/21,199.00,-0.3,200.00,196.00,200.00,"13,041","2,580,445.10"
23,2023/11/20,199.60,0.71,202.00,199.00,202.00,"11,853","2,365,260.50"
24,2023/11/09,198.20,0.05,201.30,196.00,200.00,"25,161","4,980,098.00"
25,2023/11/08,198.10,0.1,215.20,195.20,196.00,"18,278","3,635,409.10"
26,2023/11/07,197.90,-0.05,201.00,195.10,200.90,"19,292","3,799,546.50"
27,2023/11/06,198.00,1.54,214.00,194.10,197.90,"22,725","4,484,427.60"
28,2023/11/05,195.00,-1.22,200.00,193.60,198.00,"42,761","8,343,590.80"
29,2023/11/02,197.40,-0.7,199.00,196.00,199.00,"16,464","3,248,139.10"
30,2023/11/01,198.80,-0.1,200.00,197.00,200.00,"14,778","2,929,019.40"
31,2023/10/31,199.00,-0.5,200.00,198.00,198.00,"12,374","2,461,396.20"
32,2023/10/30,200.00,-0.1,201.00,198.50,199.10,"27,696","5,525,650.90"
33,2023/10/29,200.20,-2.15,203.80,200.20,203.80,"12,410","2,506,860.50"
34,2023/10/19,204.60,0.64,205.90,200.00,205.90,"31,250","6,295,419.80"
35,2023/10/18,203.30,1.19,204.90,199.00,200.90,"21,236","4,298,689.60"
36,2023/10/17,200.90,0.95,200.90,193.00,200.00,"70,472","13,887,365.80"
37,2023/10/16,199.00,-0.55,200.00,198.50,199.10,"16,355","3,258,325.00"
38,2023/10/12,200.10,-0.94,203.00,199.00,201.00,"31,001","6,204,931.00"
39,2023/10/11,202.00,0.9,202.40,199.50,202.40,"21,752","4,367,205.20"
40,2023/10/10,200.20,-0.84,202.90,199.70,200.00,"31,945","6,431,587.80"
41,2023/10/09,201.90,-0.54,203.00,200.00,202.00,"32,454","6,513,289.90"
42,2023/10/08,203.00,-0.39,204.30,201.00,204.00,"36,272","7,335,003.00"
